    Energy    <xanes>    
   7072.00  1.3773914E-04
   7072.50  1.3940714E-04
   7073.00  1.4111400E-04
   7073.50  1.4286111E-04
   7074.00  1.4464988E-04
   7074.50  1.4648184E-04
   7075.00  1.4835857E-04
   7075.50  1.5028172E-04
   7076.00  1.5225303E-04
   7076.50  1.5427434E-04
   7077.00  1.5634758E-04
   7077.50  1.5847475E-04
   7078.00  1.6065800E-04
   7078.50  1.6289957E-04
   7079.00  1.6520183E-04
   7079.50  1.6756726E-04
   7080.00  1.6999850E-04
   7080.50  1.7249833E-04
   7081.00  1.7506969E-04
   7081.50  1.7771569E-04
   7082.00  1.8043962E-04
   7082.50  1.8324497E-04
   7083.00  1.8613543E-04
   7083.50  1.8911494E-04
   7084.00  1.9218765E-04
   7084.50  1.9535801E-04
   7085.00  1.9863073E-04
   7085.50  2.0201084E-04
   7086.00  2.0550369E-04
   7086.50  2.0911502E-04
   7087.00  2.1285094E-04
   7087.50  2.1671799E-04
   7088.00  2.2072319E-04
   7088.50  2.2487404E-04
   7089.00  2.2917862E-04
   7089.50  2.3364561E-04
   7090.00  2.3828434E-04
   7090.50  2.4310491E-04
   7091.00  2.4811817E-04
   7091.50  2.5333590E-04
   7092.00  2.5877082E-04
   7092.50  2.6443677E-04
   7093.00  2.7034875E-04
   7093.50  2.7652311E-04
   7094.00  2.8297770E-04
   7094.50  2.8973200E-04
   7095.00  2.9680735E-04
   7095.50  3.0422720E-04
   7096.00  3.1201731E-04
   7096.50  3.2020614E-04
   7097.00  3.2882510E-04
   7097.50  3.3790907E-04
   7098.00  3.4749680E-04
   7098.50  3.5763155E-04
   7099.00  3.6836172E-04
   7099.50  3.7974166E-04
   7100.00  3.9183267E-04
   7100.50  4.0470415E-04
   7101.00  4.1843501E-04
   7101.50  4.3311545E-04
   7102.00  4.4884906E-04
   7102.50  4.6575555E-04
   7103.00  4.8397412E-04
   7103.50  5.0366781E-04
   7104.00  5.2502905E-04
   7104.50  5.4828705E-04
   7105.00  5.7371756E-04
   7105.50  6.0165624E-04
   7106.00  6.3251722E-04
   7106.50  6.6681965E-04
   7107.00  7.0522684E-04
   7107.10  7.1347266E-04
   7107.20  7.2192458E-04
   7107.30  7.3059123E-04
   7107.40  7.3948180E-04
   7107.50  7.4860608E-04
   7107.60  7.5797450E-04
   7107.70  7.6759819E-04
   7107.80  7.7748908E-04
   7107.90  7.8765994E-04
   7108.00  7.9812446E-04
   7108.10  8.0889737E-04
   7108.20  8.1999457E-04
   7108.30  8.3143318E-04
   7108.40  8.4323176E-04
   7108.50  8.5541042E-04
   7108.60  8.6799105E-04
   7108.70  8.8099749E-04
   7108.80  8.9445580E-04
   7108.90  9.0839458E-04
   7109.00  9.2284523E-04
   7109.10  9.3784245E-04
   7109.20  9.5342461E-04
   7109.30  9.6963439E-04
   7109.40  9.8651937E-04
   7109.50  1.0041329E-03
   7109.60  1.0225348E-03
   7109.70  1.0417931E-03
   7109.80  1.0619846E-03
   7109.90  1.0831974E-03
   7110.00  1.1055323E-03
   7110.10  1.1291058E-03
   7110.20  1.1540533E-03
   7110.30  1.1805330E-03
   7110.40  1.2087311E-03
   7110.50  1.2388680E-03
   7110.60  1.2712065E-03
   7110.70  1.3060619E-03
   7110.80  1.3438153E-03
   7110.90  1.3849291E-03
   7111.00  1.4299671E-03
   7111.10  1.4796180E-03
   7111.20  1.5347207E-03
   7111.30  1.5962892E-03
   7111.40  1.6655272E-03
   7111.50  1.7438200E-03
   7111.60  1.8326826E-03
   7111.70  1.9336506E-03
   7111.80  2.0481155E-03
   7111.90  2.1771496E-03
   7112.00  2.3213252E-03
   7112.10  2.4798744E-03
   7112.20  2.6498933E-03
   7112.30  2.8251356E-03
   7112.40  2.9950997E-03
   7112.50  3.1456447E-03
   7112.60  3.2622238E-03
   7112.70  3.3351999E-03
   7112.80  3.3643006E-03
   7112.90  3.3589214E-03
   7113.00  3.3340601E-03
   7113.10  3.3049604E-03
   7113.20  3.2835587E-03
   7113.30  3.2775312E-03
   7113.40  3.2910097E-03
   7113.50  3.3258157E-03
   7113.60  3.3825551E-03
   7113.70  3.4613823E-03
   7113.80  3.5624673E-03
   7113.90  3.6862596E-03
   7114.00  3.8336324E-03
   7114.10  4.0059650E-03
   7114.20  4.2051953E-03
   7114.30  4.4338594E-03
   7114.40  4.6951244E-03
   7114.50  4.9928080E-03
   7114.60  5.3313735E-03
   7114.70  5.7158738E-03
   7114.80  6.1518105E-03
   7114.90  6.6448518E-03
   7115.00  7.2003460E-03
   7115.10  7.8225605E-03
   7115.20  8.5136011E-03
   7115.30  9.2720442E-03
   7115.40  1.0091460E-02
   7115.50  1.0959216E-02
   7115.60  1.1856143E-02
   7115.70  1.2757678E-02
   7115.80  1.3636783E-02
   7115.90  1.4468230E-02
   7116.00  1.5233043E-02
   7116.10  1.5921418E-02
   7116.20  1.6532861E-02
   7116.30  1.7073427E-02
   7116.40  1.7551261E-02
   7116.50  1.7972191E-02
   7116.60  1.8336911E-02
   7116.70  1.8640455E-02
   7116.80  1.8873865E-02
   7116.90  1.9027327E-02
   7117.00  1.9093731E-02
   7117.20  1.8966555E-02
   7117.40  1.8563485E-02
   7117.60  1.8034628E-02
   7117.80  1.7538963E-02
   7118.00  1.7190118E-02
   7118.20  1.7041218E-02
   7118.40  1.7093896E-02
   7118.60  1.7311631E-02
   7118.80  1.7633322E-02
   7119.00  1.7997618E-02
   7119.20  1.8379135E-02
   7119.40  1.8810778E-02
   7119.60  1.9368671E-02
   7119.80  2.0132688E-02
   7120.00  2.1151170E-02
   7120.20  2.2421793E-02
   7120.40  2.3888699E-02
   7120.60  2.5458438E-02
   7120.80  2.7032487E-02
   7121.00  2.8538936E-02
   7121.20  2.9944850E-02
   7121.40  3.1249401E-02
   7121.60  3.2471048E-02
   7121.80  3.3638132E-02
   7122.00  3.4783535E-02
   7122.20  3.5940604E-02
   7122.40  3.7138678E-02
   7122.60  3.8398582E-02
   7122.80  3.9729434E-02
   7123.00  4.1127900E-02
   7123.20  4.2580150E-02
   7123.40  4.4065728E-02
   7123.60  4.5561568E-02
   7123.80  4.7043751E-02
   7124.00  4.8485041E-02
   7124.20  4.9848259E-02
   7124.40  5.1078461E-02
   7124.60  5.2098937E-02
   7124.80  5.2815796E-02
   7125.00  5.3133063E-02
   7125.20  5.2975443E-02
   7125.40  5.2310956E-02
   7125.60  5.1163848E-02
   7125.80  4.9611799E-02
   7126.00  4.7768913E-02
   7126.20  4.5762187E-02
   7126.40  4.3710199E-02
   7126.60  4.1709355E-02
   7126.80  3.9828560E-02
   7127.00  3.8110261E-02
   7127.20  3.6575019E-02
   7127.40  3.5227257E-02
   7127.60  3.4060722E-02
   7127.80  3.3062990E-02
   7128.00  3.2218814E-02
   7128.20  3.1512383E-02
   7128.40  3.0928669E-02
   7128.60  3.0454087E-02
   7128.80  3.0076659E-02
   7129.00  2.9785873E-02
   7129.20  2.9572392E-02
   7129.40  2.9427714E-02
   7129.60  2.9343865E-02
   7129.80  2.9313155E-02
   7130.00  2.9328029E-02
   7130.20  2.9380998E-02
   7130.40  2.9464646E-02
   7130.60  2.9571700E-02
   7130.80  2.9695138E-02
   7131.00  2.9828323E-02
   7131.20  2.9965145E-02
   7131.40  3.0100151E-02
   7131.60  3.0228648E-02
   7131.80  3.0346774E-02
   7132.00  3.0451528E-02
   7133.00  3.0722967E-02
   7134.00  3.0552348E-02
   7135.00  2.9887524E-02
   7136.00  2.8629681E-02
   7137.00  2.6936587E-02
   7138.00  2.5201244E-02
   7139.00  2.3726309E-02
   7140.00  2.2608743E-02
   7141.00  2.1825511E-02
   7142.00  2.1329285E-02
   7143.00  2.1087513E-02
   7144.00  2.1079366E-02
   7145.00  2.1282467E-02
   7146.00  2.1669801E-02
   7147.00  2.2215965E-02
   7148.00  2.2900445E-02
   7149.00  2.3703333E-02
   7150.00  2.4599998E-02
   7151.00  2.5561765E-02
   7152.00  2.6563674E-02
   7153.00  2.7594699E-02
   7154.00  2.8663041E-02
   7155.00  2.9791401E-02
   7156.00  3.1003089E-02
   7157.00  3.2304370E-02
   7158.00  3.3668734E-02
   7159.00  3.5026854E-02
   7160.00  3.6266125E-02
   7161.00  3.7245820E-02
   7162.00  3.7831396E-02
   7163.00  3.7938410E-02
   7164.00  3.7562372E-02
   7165.00  3.6775732E-02
   7166.00  3.5698176E-02
   7167.00  3.4464284E-02
   7168.00  3.3204494E-02
   7169.00  3.2036020E-02
   7170.00  3.1053845E-02
   7171.00  3.0319881E-02
   7172.00  2.9855979E-02
   7173.00  2.9645510E-02
   7174.00  2.9643199E-02
   7175.00  2.9789657E-02
   7176.00  3.0026142E-02
   7177.00  3.0305300E-02
   7178.00  3.0595143E-02
   7179.00  3.0876588E-02
   7180.00  3.1138137E-02
   7181.00  3.1372277E-02
   7182.00  3.1575836E-02
   7183.00  3.1752118E-02
   7184.00  3.1910420E-02
   7185.00  3.2061019E-02
   7186.00  3.2208369E-02
   7187.00  3.2347024E-02
   7188.00  3.2462627E-02
   7189.00  3.2536945E-02
   7190.00  3.2553983E-02
   7191.00  3.2504407E-02
   7192.00  3.2387180E-02
   7193.00  3.2209085E-02
   7194.00  3.1983648E-02
   7195.00  3.1730367E-02
   7196.00  3.1474074E-02
   7197.00  3.1243597E-02
   7198.00  3.1069241E-02
   7199.00  3.0979362E-02
   7200.00  3.0996817E-02
   7201.00  3.1135968E-02
   7202.00  3.1400551E-02
   7203.00  3.1782240E-02
   7204.00  3.2259721E-02
   7205.00  3.2798492E-02
   7206.00  3.3352475E-02
   7207.00  3.3869153E-02
   7208.00  3.4299153E-02
   7209.00  3.4608278E-02
   7210.00  3.4786453E-02
   7211.00  3.4848113E-02
   7212.00  3.4823661E-02
