    Energy    <xanes>    
   7072.00  1.3052218E-04
   7072.50  1.3208910E-04
   7073.00  1.3369139E-04
   7073.50  1.3533024E-04
   7074.00  1.3700690E-04
   7074.50  1.3872269E-04
   7075.00  1.4047898E-04
   7075.50  1.4227720E-04
   7076.00  1.4411885E-04
   7076.50  1.4600552E-04
   7077.00  1.4793884E-04
   7077.50  1.4992057E-04
   7078.00  1.5195251E-04
   7078.50  1.5403659E-04
   7079.00  1.5617481E-04
   7079.50  1.5836929E-04
   7080.00  1.6062226E-04
   7080.50  1.6293606E-04
   7081.00  1.6531316E-04
   7081.50  1.6775617E-04
   7082.00  1.7026784E-04
   7082.50  1.7285108E-04
   7083.00  1.7550897E-04
   7083.50  1.7824474E-04
   7084.00  1.8106184E-04
   7084.50  1.8396392E-04
   7085.00  1.8695484E-04
   7085.50  1.9003871E-04
   7086.00  1.9321988E-04
   7086.50  1.9650299E-04
   7087.00  1.9989297E-04
   7087.50  2.0339509E-04
   7088.00  2.0701494E-04
   7088.50  2.1075851E-04
   7089.00  2.1463220E-04
   7089.50  2.1864286E-04
   7090.00  2.2279781E-04
   7090.50  2.2710493E-04
   7091.00  2.3157266E-04
   7091.50  2.3621009E-04
   7092.00  2.4102701E-04
   7092.50  2.4603395E-04
   7093.00  2.5124233E-04
   7093.50  2.5666446E-04
   7094.00  2.6231370E-04
   7094.50  2.6820455E-04
   7095.00  2.7435277E-04
   7095.50  2.8077552E-04
   7096.00  2.8749155E-04
   7096.50  2.9452134E-04
   7097.00  3.0188735E-04
   7097.50  3.0961426E-04
   7098.00  3.1772923E-04
   7098.50  3.2626226E-04
   7099.00  3.3524655E-04
   7099.50  3.4471895E-04
   7100.00  3.5472052E-04
   7100.50  3.6529712E-04
   7101.00  3.7650016E-04
   7101.50  3.8838751E-04
   7102.00  4.0102456E-04
   7102.50  4.1448555E-04
   7103.00  4.2885516E-04
   7103.50  4.4423047E-04
   7104.00  4.6072352E-04
   7104.50  4.7846439E-04
   7105.00  4.9760529E-04
   7105.50  5.1832584E-04
   7106.00  5.4084015E-04
   7106.50  5.6540650E-04
   7107.00  5.9234098E-04
   7107.10  5.9804506E-04
   7107.20  6.0386288E-04
   7107.30  6.0979822E-04
   7107.40  6.1585506E-04
   7107.50  6.2203759E-04
   7107.60  6.2835023E-04
   7107.70  6.3479763E-04
   7107.80  6.4138472E-04
   7107.90  6.4811672E-04
   7108.00  6.5499918E-04
   7108.10  6.6203798E-04
   7108.20  6.6923938E-04
   7108.30  6.7661009E-04
   7108.40  6.8415725E-04
   7108.50  6.9188854E-04
   7108.60  6.9981220E-04
   7108.70  7.0793715E-04
   7108.80  7.1627299E-04
   7108.90  7.2483017E-04
   7109.00  7.3362007E-04
   7109.10  7.4265513E-04
   7109.20  7.5194902E-04
   7109.30  7.6151681E-04
   7109.40  7.7137525E-04
   7109.50  7.8154297E-04
   7109.60  7.9204092E-04
   7109.70  8.0289271E-04
   7109.80  8.1412519E-04
   7109.90  8.2576909E-04
   7110.00  8.3785984E-04
   7110.10  8.5043863E-04
   7110.20  8.6355374E-04
   7110.30  8.7726221E-04
   7110.40  8.9163200E-04
   7110.50  9.0674476E-04
   7110.60  9.2269929E-04
   7110.70  9.3961587E-04
   7110.80  9.5764154E-04
   7110.90  9.7695610E-04
   7111.00  9.9777821E-04
   7111.10  1.0203696E-03
   7111.20  1.0450329E-03
   7111.30  1.0720949E-03
   7111.40  1.1018563E-03
   7111.50  1.1344851E-03
   7111.60  1.1698226E-03
   7111.70  1.2071088E-03
   7111.80  1.2447416E-03
   7111.90  1.2803499E-03
   7112.00  1.3114887E-03
   7112.10  1.3367915E-03
   7112.20  1.3565183E-03
   7112.30  1.3723960E-03
   7112.40  1.3867088E-03
   7112.50  1.4014751E-03
   7112.60  1.4181036E-03
   7112.70  1.4374226E-03
   7112.80  1.4598563E-03
   7112.90  1.4855983E-03
   7113.00  1.5147372E-03
   7113.10  1.5473322E-03
   7113.20  1.5834557E-03
   7113.30  1.6232163E-03
   7113.40  1.6667695E-03
   7113.50  1.7143249E-03
   7113.60  1.7661501E-03
   7113.70  1.8225760E-03
   7113.80  1.8840007E-03
   7113.90  1.9508945E-03
   7114.00  2.0238047E-03
   7114.10  2.1033591E-03
   7114.20  2.1902675E-03
   7114.30  2.2853189E-03
   7114.40  2.3893715E-03
   7114.50  2.5033306E-03
   7114.60  2.6281124E-03
   7114.70  2.7645908E-03
   7114.80  2.9135288E-03
   7114.90  3.0755073E-03
   7115.00  3.2508730E-03
   7115.10  3.4397404E-03
   7115.20  3.6420818E-03
   7115.30  3.8579177E-03
   7115.40  4.0875726E-03
   7115.50  4.3319104E-03
   7115.60  4.5924427E-03
   7115.70  4.8712335E-03
   7115.80  5.1706004E-03
   7115.90  5.4926875E-03
   7116.00  5.8390272E-03
   7116.10  6.2102079E-03
   7116.20  6.6057423E-03
   7116.30  7.0241861E-03
   7116.40  7.4634945E-03
   7116.50  7.9215118E-03
   7116.60  8.3963976E-03
   7116.70  8.8867642E-03
   7116.80  9.3913844E-03
   7116.90  9.9085394E-03
   7117.00  1.0435273E-02
   7117.20  1.1496885E-02
   7117.40  1.2519185E-02
   7117.60  1.3430463E-02
   7117.80  1.4162091E-02
   7118.00  1.4673943E-02
   7118.20  1.4986100E-02
   7118.40  1.5181827E-02
   7118.60  1.5364553E-02
   7118.80  1.5612243E-02
   7119.00  1.5967614E-02
   7119.20  1.6449954E-02
   7119.40  1.7062079E-02
   7119.60  1.7791173E-02
   7119.80  1.8613749E-02
   7120.00  1.9505168E-02
   7120.20  2.0446925E-02
   7120.40  2.1428372E-02
   7120.60  2.2443164E-02
   7120.80  2.3481183E-02
   7121.00  2.4518760E-02
   7121.20  2.5513178E-02
   7121.40  2.6407004E-02
   7121.60  2.7143178E-02
   7121.80  2.7685712E-02
   7122.00  2.8036252E-02
   7122.20  2.8236948E-02
   7122.40  2.8357112E-02
   7122.60  2.8470447E-02
   7122.80  2.8633682E-02
   7123.00  2.8874523E-02
   7123.20  2.9191386E-02
   7123.40  2.9562682E-02
   7123.60  2.9960448E-02
   7123.80  3.0362207E-02
   7124.00  3.0756952E-02
   7124.20  3.1144948E-02
   7124.40  3.1533773E-02
   7124.60  3.1933441E-02
   7124.80  3.2352474E-02
   7125.00  3.2795656E-02
   7125.20  3.3263389E-02
   7125.40  3.3752199E-02
   7125.60  3.4255969E-02
   7125.80  3.4767593E-02
   7126.00  3.5280786E-02
   7126.20  3.5791631E-02
   7126.40  3.6299377E-02
   7126.60  3.6806199E-02
   7126.80  3.7316002E-02
   7127.00  3.7832681E-02
   7127.20  3.8358386E-02
   7127.40  3.8892219E-02
   7127.60  3.9429606E-02
   7127.80  3.9962378E-02
   7128.00  4.0479412E-02
   7128.20  4.0967648E-02
   7128.40  4.1413279E-02
   7128.60  4.1802929E-02
   7128.80  4.2124730E-02
   7129.00  4.2369206E-02
   7129.20  4.2529908E-02
   7129.40  4.2603739E-02
   7129.60  4.2590960E-02
   7129.80  4.2494884E-02
   7130.00  4.2321335E-02
   7130.20  4.2077971E-02
   7130.40  4.1773583E-02
   7130.60  4.1417460E-02
   7130.80  4.1018883E-02
   7131.00  4.0586772E-02
   7131.20  4.0129480E-02
   7131.40  3.9654719E-02
   7131.60  3.9169553E-02
   7131.80  3.8680438E-02
   7132.00  3.8193257E-02
   7133.00  3.5950781E-02
   7134.00  3.4275345E-02
   7135.00  3.3182714E-02
   7136.00  3.2470865E-02
   7137.00  3.1938246E-02
   7138.00  3.1466973E-02
   7139.00  3.1006303E-02
   7140.00  3.0534108E-02
   7141.00  3.0037181E-02
   7142.00  2.9509810E-02
   7143.00  2.8954394E-02
   7144.00  2.8380158E-02
   7145.00  2.7804953E-02
   7146.00  2.7256567E-02
   7147.00  2.6766280E-02
   7148.00  2.6357956E-02
   7149.00  2.6042717E-02
   7150.00  2.5822158E-02
   7151.00  2.5694212E-02
   7152.00  2.5655793E-02
   7153.00  2.5701912E-02
   7154.00  2.5824403E-02
   7155.00  2.6012401E-02
   7156.00  2.6254326E-02
   7157.00  2.6539971E-02
   7158.00  2.6861605E-02
   7159.00  2.7213980E-02
   7160.00  2.7593805E-02
   7161.00  2.7999048E-02
   7162.00  2.8427735E-02
   7163.00  2.8876103E-02
   7164.00  2.9336794E-02
   7165.00  2.9798365E-02
   7166.00  3.0246672E-02
   7167.00  3.0667518E-02
   7168.00  3.1049196E-02
   7169.00  3.1383937E-02
   7170.00  3.1668056E-02
   7171.00  3.1901191E-02
   7172.00  3.2085150E-02
   7173.00  3.2222784E-02
   7174.00  3.2317128E-02
   7175.00  3.2371053E-02
   7176.00  3.2387621E-02
   7177.00  3.2371095E-02
   7178.00  3.2328227E-02
   7179.00  3.2269159E-02
   7180.00  3.2207386E-02
   7181.00  3.2158508E-02
   7182.00  3.2137926E-02
   7183.00  3.2158129E-02
   7184.00  3.2226452E-02
   7185.00  3.2344007E-02
   7186.00  3.2505911E-02
   7187.00  3.2702432E-02
   7188.00  3.2920456E-02
   7189.00  3.3144930E-02
   7190.00  3.3360182E-02
   7191.00  3.3551146E-02
   7192.00  3.3704560E-02
   7193.00  3.3810118E-02
   7194.00  3.3861519E-02
   7195.00  3.3857150E-02
   7196.00  3.3800050E-02
   7197.00  3.3696967E-02
   7198.00  3.3556742E-02
   7199.00  3.3388593E-02
   7200.00  3.3200898E-02
   7201.00  3.3000685E-02
   7202.00  3.2793680E-02
   7203.00  3.2584556E-02
   7204.00  3.2377134E-02
   7205.00  3.2174483E-02
   7206.00  3.1979002E-02
   7207.00  3.1792552E-02
   7208.00  3.1616630E-02
   7209.00  3.1452512E-02
   7210.00  3.1301308E-02
   7211.00  3.1163889E-02
   7212.00  3.1040757E-02
