    Energy    <xanes>    
   7072.00  1.3013501E-04
   7072.50  1.3171847E-04
   7073.00  1.3333800E-04
   7073.50  1.3499482E-04
   7074.00  1.3669022E-04
   7074.50  1.3842553E-04
   7075.00  1.4020217E-04
   7075.50  1.4202160E-04
   7076.00  1.4388538E-04
   7076.50  1.4579511E-04
   7077.00  1.4775251E-04
   7077.50  1.4975933E-04
   7078.00  1.5181747E-04
   7078.50  1.5392888E-04
   7079.00  1.5609563E-04
   7079.50  1.5831988E-04
   7080.00  1.6060394E-04
   7080.50  1.6295020E-04
   7081.00  1.6536121E-04
   7081.50  1.6783965E-04
   7082.00  1.7038834E-04
   7082.50  1.7301027E-04
   7083.00  1.7570859E-04
   7083.50  1.7848664E-04
   7084.00  1.8134797E-04
   7084.50  1.8429630E-04
   7085.00  1.8733563E-04
   7085.50  1.9047014E-04
   7086.00  1.9370434E-04
   7086.50  1.9704296E-04
   7087.00  2.0049109E-04
   7087.50  2.0405410E-04
   7088.00  2.0773776E-04
   7088.50  2.1154820E-04
   7089.00  2.1549198E-04
   7089.50  2.1957611E-04
   7090.00  2.2380812E-04
   7090.50  2.2819604E-04
   7091.00  2.3274852E-04
   7091.50  2.3747486E-04
   7092.00  2.4238505E-04
   7092.50  2.4748985E-04
   7093.00  2.5280089E-04
   7093.50  2.5833074E-04
   7094.00  2.6409297E-04
   7094.50  2.7010233E-04
   7095.00  2.7637481E-04
   7095.50  2.8292780E-04
   7096.00  2.8978026E-04
   7096.50  2.9695287E-04
   7097.00  3.0446827E-04
   7097.50  3.1235126E-04
   7098.00  3.2062906E-04
   7098.50  3.2933166E-04
   7099.00  3.3849215E-04
   7099.50  3.4814712E-04
   7100.00  3.5833717E-04
   7100.50  3.6910744E-04
   7101.00  3.8050833E-04
   7101.50  3.9259621E-04
   7102.00  4.0543442E-04
   7102.50  4.1909434E-04
   7103.00  4.3365679E-04
   7103.50  4.4921362E-04
   7104.00  4.6586974E-04
   7104.50  4.8374561E-04
   7105.00  5.0298039E-04
   7105.50  5.2373583E-04
   7106.00  5.4620150E-04
   7106.50  5.7060152E-04
   7107.00  5.9720382E-04
   7107.10  6.0281594E-04
   7107.20  6.0853182E-04
   7107.30  6.1435451E-04
   7107.40  6.2028718E-04
   7107.50  6.2633316E-04
   7107.60  6.3249593E-04
   7107.70  6.3877912E-04
   7107.80  6.4518656E-04
   7107.90  6.5172226E-04
   7108.00  6.5839044E-04
   7108.10  6.6519555E-04
   7108.20  6.7214226E-04
   7108.30  6.7923554E-04
   7108.40  6.8648062E-04
   7108.50  6.9388307E-04
   7108.60  7.0144878E-04
   7108.70  7.0918407E-04
   7108.80  7.1709566E-04
   7108.90  7.2519077E-04
   7109.00  7.3347713E-04
   7109.10  7.4196313E-04
   7109.20  7.5065781E-04
   7109.30  7.5957101E-04
   7109.40  7.6871351E-04
   7109.50  7.7809710E-04
   7109.60  7.8773481E-04
   7109.70  7.9764112E-04
   7109.80  8.0783219E-04
   7109.90  8.1832620E-04
   7110.00  8.2914376E-04
   7110.10  8.4030841E-04
   7110.20  8.5184724E-04
   7110.30  8.6379173E-04
   7110.40  8.7617875E-04
   7110.50  8.8905186E-04
   7110.60  9.0246300E-04
   7110.70  9.1647454E-04
   7110.80  9.3116191E-04
   7110.90  9.4661664E-04
   7111.00  9.6294990E-04
   7111.10  9.8029580E-04
   7111.20  9.9881341E-04
   7111.30  1.0186846E-03
   7111.40  1.0401028E-03
   7111.50  1.0632437E-03
   7111.60  1.0882078E-03
   7111.70  1.1149327E-03
   7111.80  1.1430941E-03
   7111.90  1.1720595E-03
   7112.00  1.2010380E-03
   7112.10  1.2292007E-03
   7112.20  1.2557725E-03
   7112.30  1.2802122E-03
   7112.40  1.3022298E-03
   7112.50  1.3218070E-03
   7112.60  1.3392415E-03
   7112.70  1.3551549E-03
   7112.80  1.3704035E-03
   7112.90  1.3859108E-03
   7113.00  1.4024991E-03
   7113.10  1.4207902E-03
   7113.20  1.4411890E-03
   7113.30  1.4639232E-03
   7113.40  1.4891009E-03
   7113.50  1.5167645E-03
   7113.60  1.5469299E-03
   7113.70  1.5796122E-03
   7113.80  1.6148400E-03
   7113.90  1.6526635E-03
   7114.00  1.6931580E-03
   7114.10  1.7364263E-03
   7114.20  1.7825996E-03
   7114.30  1.8318391E-03
   7114.40  1.8843374E-03
   7114.50  1.9403209E-03
   7114.60  2.0000535E-03
   7114.70  2.0638401E-03
   7114.80  2.1320321E-03
   7114.90  2.2050340E-03
   7115.00  2.2833104E-03
   7115.10  2.3673953E-03
   7115.20  2.4579033E-03
   7115.30  2.5555417E-03
   7115.40  2.6611259E-03
   7115.50  2.7755954E-03
   7115.60  2.9000301E-03
   7115.70  3.0356658E-03
   7115.80  3.1839045E-03
   7115.90  3.3463135E-03
   7116.00  3.5246050E-03
   7116.10  3.7205821E-03
   7116.20  3.9360350E-03
   7116.30  4.1725725E-03
   7116.40  4.4313891E-03
   7116.50  4.7129999E-03
   7116.60  5.0170382E-03
   7116.70  5.3422663E-03
   7116.80  5.6869566E-03
   7116.90  6.0496655E-03
   7117.00  6.4301593E-03
   7117.20  7.2526558E-03
   7117.40  8.1832644E-03
   7117.60  9.2492752E-03
   7117.80  1.0455387E-02
   7118.00  1.1784990E-02
   7118.20  1.3210234E-02
   7118.40  1.4707617E-02
   7118.60  1.6279494E-02
   7118.80  1.7958458E-02
   7119.00  1.9783331E-02
   7119.20  2.1760375E-02
   7119.40  2.3823637E-02
   7119.60  2.5821718E-02
   7119.80  2.7565990E-02
   7120.00  2.8922418E-02
   7120.20  2.9875691E-02
   7120.40  3.0516856E-02
   7120.60  3.0970998E-02
   7120.80  3.1326293E-02
   7121.00  3.1612442E-02
   7121.20  3.1823210E-02
   7121.40  3.1947536E-02
   7121.60  3.1986331E-02
   7121.80  3.1955852E-02
   7122.00  3.1886118E-02
   7122.20  3.1817256E-02
   7122.40  3.1793213E-02
   7122.60  3.1853584E-02
   7122.80  3.2024950E-02
   7123.00  3.2313922E-02
   7123.20  3.2706095E-02
   7123.40  3.3173932E-02
   7123.60  3.3690408E-02
   7123.80  3.4239889E-02
   7124.00  3.4819529E-02
   7124.20  3.5432145E-02
   7124.40  3.6077421E-02
   7124.60  3.6747506E-02
