    Energy    <xanes>    
   7072.00  1.3954799E-04
   7072.50  1.4125421E-04
   7073.00  1.4300034E-04
   7073.50  1.4478776E-04
   7074.00  1.4661796E-04
   7074.50  1.4849247E-04
   7075.00  1.5041292E-04
   7075.50  1.5238100E-04
   7076.00  1.5439850E-04
   7076.50  1.5646728E-04
   7077.00  1.5858932E-04
   7077.50  1.6076667E-04
   7078.00  1.6300152E-04
   7078.50  1.6529616E-04
   7079.00  1.6765298E-04
   7079.50  1.7007455E-04
   7080.00  1.7256355E-04
   7080.50  1.7512279E-04
   7081.00  1.7775528E-04
   7081.50  1.8046418E-04
   7082.00  1.8325283E-04
   7082.50  1.8612477E-04
   7083.00  1.8908376E-04
   7083.50  1.9213379E-04
   7084.00  1.9527907E-04
   7084.50  1.9852409E-04
   7085.00  2.0187363E-04
   7085.50  2.0533277E-04
   7086.00  2.0890691E-04
   7086.50  2.1260184E-04
   7087.00  2.1642372E-04
   7087.50  2.2037912E-04
   7088.00  2.2447508E-04
   7088.50  2.2871916E-04
   7089.00  2.3311944E-04
   7089.50  2.3768461E-04
   7090.00  2.4242399E-04
   7090.50  2.4734763E-04
   7091.00  2.5246635E-04
   7091.50  2.5779184E-04
   7092.00  2.6333673E-04
   7092.50  2.6911468E-04
   7093.00  2.7514051E-04
   7093.50  2.8143030E-04
   7094.00  2.8800157E-04
   7094.50  2.9487337E-04
   7095.00  3.0206655E-04
   7095.50  3.0960386E-04
   7096.00  3.1751028E-04
   7096.50  3.2581323E-04
   7097.00  3.3454291E-04
   7097.50  3.4373263E-04
   7098.00  3.5341925E-04
   7098.50  3.6364368E-04
   7099.00  3.7445139E-04
   7099.50  3.8589313E-04
   7100.00  3.9802569E-04
   7100.50  4.1091287E-04
   7101.00  4.2462652E-04
   7101.50  4.3924796E-04
   7102.00  4.5486956E-04
   7102.50  4.7159668E-04
   7103.00  4.8955014E-04
   7103.50  5.0886915E-04
   7104.00  5.2971501E-04
   7104.50  5.5227581E-04
   7105.00  5.7677234E-04
   7105.50  6.0346571E-04
   7106.00  6.3266734E-04
   7106.50  6.6475208E-04
   7107.00  7.0017606E-04
   7107.10  7.0770879E-04
   7107.20  7.1540222E-04
   7107.30  7.2326165E-04
   7107.40  7.3129266E-04
   7107.50  7.3950108E-04
   7107.60  7.4789302E-04
   7107.70  7.5647491E-04
   7107.80  7.6525347E-04
   7107.90  7.7423577E-04
   7108.00  7.8342925E-04
   7108.10  7.9284173E-04
   7108.20  8.0248145E-04
   7108.30  8.1235711E-04
   7108.40  8.2247787E-04
   7108.50  8.3285343E-04
   7108.60  8.4349403E-04
   7108.70  8.5441053E-04
   7108.80  8.6561443E-04
   7108.90  8.7711798E-04
   7109.00  8.8893417E-04
   7109.10  9.0107685E-04
   7109.20  9.1356081E-04
   7109.30  9.2640186E-04
   7109.40  9.3961695E-04
   7109.50  9.5322426E-04
   7109.60  9.6724339E-04
   7109.70  9.8169551E-04
   7109.80  9.9660352E-04
   7109.90  1.0119923E-03
   7110.00  1.0278892E-03
   7110.10  1.0443237E-03
   7110.20  1.0613289E-03
   7110.30  1.0789409E-03
   7110.40  1.0972002E-03
   7110.50  1.1161520E-03
   7110.60  1.1358473E-03
   7110.70  1.1563440E-03
   7110.80  1.1777080E-03
   7110.90  1.2000149E-03
   7111.00  1.2233511E-03
   7111.10  1.2478148E-03
   7111.20  1.2735156E-03
   7111.30  1.3005707E-03
   7111.40  1.3290952E-03
   7111.50  1.3591854E-03
   7111.60  1.3908937E-03
   7111.70  1.4242081E-03
   7111.80  1.4590670E-03
   7111.90  1.4955385E-03
   7112.00  1.5336169E-03
   7112.10  1.5733231E-03
   7112.20  1.6147500E-03
   7112.30  1.6580357E-03
   7112.40  1.7033396E-03
   7112.50  1.7508417E-03
   7112.60  1.8007636E-03
   7112.70  1.8533941E-03
   7112.80  1.9090994E-03
   7112.90  1.9683130E-03
   7113.00  2.0315163E-03
   7113.10  2.0992239E-03
   7113.20  2.1719814E-03
   7113.30  2.2503751E-03
   7113.40  2.3350484E-03
