    Energy    <xanes>    
   7072.00  2.6800269E-04
   7072.50  2.7129613E-04
   7073.00  2.7466640E-04
   7073.50  2.7811620E-04
   7074.00  2.8164836E-04
   7074.50  2.8526585E-04
   7075.00  2.8897179E-04
   7075.50  2.9276944E-04
   7076.00  2.9666224E-04
   7076.50  3.0065379E-04
   7077.00  3.0474787E-04
   7077.50  3.0894848E-04
   7078.00  3.1325980E-04
   7078.50  3.1768625E-04
   7079.00  3.2223248E-04
   7079.50  3.2690341E-04
   7080.00  3.3170421E-04
   7080.50  3.3664036E-04
   7081.00  3.4171764E-04
   7081.50  3.4694217E-04
   7082.00  3.5232042E-04
   7082.50  3.5785925E-04
   7083.00  3.6356596E-04
   7083.50  3.6944825E-04
   7084.00  3.7551434E-04
   7084.50  3.8177296E-04
   7085.00  3.8823339E-04
   7085.50  3.9490553E-04
   7086.00  4.0179995E-04
   7086.50  4.0892792E-04
   7087.00  4.1630148E-04
   7087.50  4.2393355E-04
   7088.00  4.3183793E-04
   7088.50  4.4002946E-04
   7089.00  4.4852408E-04
   7089.50  4.5733890E-04
   7090.00  4.6649240E-04
   7090.50  4.7600448E-04
   7091.00  4.8589667E-04
   7091.50  4.9619225E-04
   7092.00  5.0691646E-04
   7092.50  5.1809671E-04
   7093.00  5.2976281E-04
   7093.50  5.4194727E-04
   7094.00  5.5468558E-04
   7094.50  5.6801660E-04
   7095.00  5.8198292E-04
   7095.50  5.9663143E-04
   7096.00  6.1201375E-04
   7096.50  6.2818698E-04
   7097.00  6.4521438E-04
   7097.50  6.6316628E-04
   7098.00  6.8212110E-04
   7098.50  7.0216661E-04
   7099.00  7.2340136E-04
   7099.50  7.4593648E-04
   7100.00  7.6989780E-04
   7100.50  7.9542846E-04
   7101.00  8.2269211E-04
   7101.50  8.5187686E-04
   7102.00  8.8320025E-04
   7102.50  9.1691554E-04
   7103.00  9.5331973E-04
   7103.50  9.9276402E-04
   7104.00  1.0356676E-03
   7104.50  1.0825358E-03
   7105.00  1.1339860E-03
   7105.50  1.1907819E-03
   7106.00  1.2538849E-03
   7106.50  1.3245283E-03
   7107.00  1.4043320E-03
   7107.10  1.4215718E-03
   7107.20  1.4392838E-03
   7107.30  1.4574904E-03
   7107.40  1.4762158E-03
   7107.50  1.4954857E-03
   7107.60  1.5153278E-03
   7107.70  1.5357723E-03
   7107.80  1.5568514E-03
   7107.90  1.5786001E-03
   7108.00  1.6010565E-03
   7108.10  1.6242619E-03
   7108.20  1.6482614E-03
   7108.30  1.6731042E-03
   7108.40  1.6988442E-03
   7108.50  1.7255410E-03
   7108.60  1.7532598E-03
   7108.70  1.7820731E-03
   7108.80  1.8120611E-03
   7108.90  1.8433135E-03
   7109.00  1.8759302E-03
   7109.10  1.9100237E-03
   7109.20  1.9457206E-03
   7109.30  1.9831646E-03
   7109.40  2.0225189E-03
   7109.50  2.0639705E-03
   7109.60  2.1077343E-03
   7109.70  2.1540590E-03
   7109.80  2.2032336E-03
   7109.90  2.2555966E-03
   7110.00  2.3115468E-03
   7110.10  2.3715569E-03
   7110.20  2.4361915E-03
   7110.30  2.5061289E-03
   7110.40  2.5821900E-03
   7110.50  2.6653746E-03
   7110.60  2.7569070E-03
   7110.70  2.8582930E-03
