    Energy    <xanes>    
  16348.00  3.7427115E-04
  16348.50  3.7975704E-04
  16349.00  3.8539302E-04
  16349.50  3.9118513E-04
  16350.00  3.9713976E-04
  16350.50  4.0326360E-04
  16351.00  4.0956376E-04
  16351.50  4.1604769E-04
  16352.00  4.2272329E-04
  16352.50  4.2959890E-04
  16353.00  4.3668332E-04
  16353.50  4.4398588E-04
  16354.00  4.5151645E-04
  16354.50  4.5928548E-04
  16355.00  4.6730406E-04
  16355.50  4.7558396E-04
  16356.00  4.8413766E-04
  16356.50  4.9297844E-04
  16357.00  5.0212042E-04
  16357.50  5.1157864E-04
  16358.00  5.2136910E-04
  16358.50  5.3150888E-04
  16359.00  5.4201620E-04
  16359.50  5.5291054E-04
  16360.00  5.6421271E-04
  16360.50  5.7594500E-04
  16361.00  5.8813128E-04
  16361.50  6.0079714E-04
  16362.00  6.1397008E-04
  16362.50  6.2767963E-04
  16363.00  6.4195758E-04
  16363.50  6.5683815E-04
  16364.00  6.7235827E-04
  16364.50  6.8855777E-04
  16365.00  7.0547974E-04
  16365.50  7.2317079E-04
  16366.00  7.4168143E-04
  16366.50  7.6106647E-04
  16367.00  7.8138544E-04
  16367.50  8.0270311E-04
  16368.00  8.2509004E-04
  16368.50  8.4862319E-04
  16369.00  8.7338666E-04
  16369.50  8.9947242E-04
  16370.00  9.2698126E-04
  16370.50  9.5602376E-04
  16371.00  9.8672144E-04
  16371.50  1.0192080E-03
  16372.00  1.0536309E-03
  16372.50  1.0901529E-03
  16373.00  1.1289537E-03
  16373.50  1.1702326E-03
  16374.00  1.2142104E-03
  16374.50  1.2611322E-03
  16375.00  1.3112704E-03
  16375.50  1.3649284E-03
  16376.00  1.4224439E-03
  16376.50  1.4841934E-03
  16377.00  1.5505970E-03
  16377.50  1.6221232E-03
  16378.00  1.6992945E-03
  16378.50  1.7826930E-03
  16379.00  1.8729664E-03
  16379.50  1.9708330E-03
  16380.00  2.0770870E-03
  16380.50  2.1926011E-03
  16381.00  2.3183267E-03
  16381.50  2.4552905E-03
  16382.00  2.6045831E-03
  16382.50  2.7673387E-03
  16383.00  2.9447013E-03
  16383.10  2.9820250E-03
  16383.20  3.0199858E-03
  16383.30  3.0585919E-03
  16383.40  3.0978512E-03
  16383.50  3.1377715E-03
  16383.60  3.1783601E-03
  16383.70  3.2196239E-03
  16383.80  3.2615697E-03
  16383.90  3.3042037E-03
  16384.00  3.3475315E-03
  16384.10  3.3915584E-03
  16384.20  3.4362890E-03
  16384.30  3.4817273E-03
  16384.40  3.5278768E-03
  16384.50  3.5747399E-03
  16384.60  3.6223187E-03
  16384.70  3.6706140E-03
  16384.80  3.7196260E-03
  16384.90  3.7693539E-03
