    Energy    <xanes>    
  30451.00  2.6754737E-04
  30451.50  2.7157013E-04
  30452.00  2.7570551E-04
  30452.50  2.7995817E-04
  30453.00  2.8433302E-04
  30453.50  2.8883524E-04
  30454.00  2.9347030E-04
  30454.50  2.9824399E-04
  30455.00  3.0316242E-04
  30455.50  3.0823208E-04
  30456.00  3.1345981E-04
  30456.50  3.1885290E-04
  30457.00  3.2441903E-04
  30457.50  3.3016641E-04
  30458.00  3.3610373E-04
  30458.50  3.4224023E-04
  30459.00  3.4858576E-04
  30459.50  3.5515080E-04
  30460.00  3.6194653E-04
  30460.50  3.6898488E-04
  30461.00  3.7627860E-04
  30461.50  3.8384130E-04
  30462.00  3.9168758E-04
  30462.50  3.9983306E-04
  30463.00  4.0829451E-04
  30463.50  4.1708993E-04
  30464.00  4.2623868E-04
  30464.50  4.3576158E-04
  30465.00  4.4568108E-04
  30465.50  4.5602141E-04
  30466.00  4.6680874E-04
  30466.50  4.7807136E-04
  30467.00  4.8983996E-04
  30467.50  5.0214780E-04
  30468.00  5.1503102E-04
  30468.50  5.2852894E-04
  30469.00  5.4268443E-04
  30469.50  5.5754425E-04
  30470.00  5.7315955E-04
  30470.50  5.8958633E-04
  30471.00  6.0688603E-04
  30471.50  6.2512618E-04
  30472.00  6.4438116E-04
  30472.50  6.6473301E-04
  30473.00  6.8627247E-04
  30473.50  7.0910003E-04
  30474.00  7.3332729E-04
  30474.50  7.5907842E-04
  30475.00  7.8649193E-04
  30475.50  8.1572264E-04
  30476.00  8.4694410E-04
  30476.50  8.8035125E-04
  30477.00  9.1616371E-04
  30477.50  9.5462951E-04
  30478.00  9.9602950E-04
  30478.50  1.0406826E-03
  30479.00  1.0889520E-03
  30479.50  1.1412524E-03
  30480.00  1.1980584E-03
  30480.50  1.2599151E-03
  30481.00  1.3274498E-03
  30481.50  1.4013863E-03
  30482.00  1.4825612E-03
  30482.50  1.5719436E-03
  30483.00  1.6706570E-03
  30483.50  1.7800043E-03
  30484.00  1.9014953E-03
  30484.50  2.0368752E-03
  30485.00  2.1881512E-03
  30485.50  2.3576133E-03
  30486.00  2.5478402E-03
  30486.10  2.5886235E-03
  30486.20  2.6303745E-03
  30486.30  2.6731173E-03
  30486.40  2.7168763E-03
  30486.50  2.7616761E-03
  30486.60  2.8075417E-03
  30486.70  2.8544978E-03
  30486.80  2.9025695E-03
  30486.90  2.9517815E-03
  30487.00  3.0021586E-03
  30487.10  3.0537254E-03
  30487.20  3.1065059E-03
  30487.30  3.1605239E-03
  30487.40  3.2158026E-03
  30487.50  3.2723644E-03
  30487.60  3.3302308E-03
  30487.70  3.3894223E-03
  30487.80  3.4499582E-03
  30487.90  3.5118564E-03
  30488.00  3.5751332E-03
  30488.10  3.6398029E-03
  30488.20  3.7058779E-03
  30488.30  3.7733683E-03
  30488.40  3.8422813E-03
  30488.50  3.9126214E-03
  30488.60  3.9843900E-03
  30488.70  4.0575850E-03
  30488.80  4.1322001E-03
  30488.90  4.2082255E-03
  30489.00  4.2856463E-03
  30489.10  4.3644433E-03
  30489.20  4.4445917E-03
  30489.30  4.5260614E-03
  30489.40  4.6088165E-03
  30489.50  4.6928149E-03
  30489.60  4.7780078E-03
  30489.70  4.8643398E-03
  30489.80  4.9517484E-03
  30489.90  5.0401636E-03
  30490.00  5.1295079E-03
  30490.10  5.2196960E-03
  30490.20  5.3106347E-03
  30490.30  5.4022228E-03
  30490.40  5.4943509E-03
  30490.50  5.5869017E-03
  30490.60  5.6797497E-03
  30490.70  5.7727617E-03
  30490.80  5.8657967E-03
  30490.90  5.9587065E-03
  30491.00  6.0513359E-03
  30491.10  6.1435045E-03
  30491.20  6.2350198E-03
  30491.30  6.3256992E-03
  30491.40  6.4153560E-03
  30491.50  6.5037998E-03
  30491.60  6.5908380E-03
  30491.70  6.6762767E-03
  30491.80  6.7599226E-03
  30491.90  6.8415838E-03
  30492.00  6.9210714E-03
  30492.10  6.9982016E-03
  30492.20  7.0727967E-03
  30492.30  7.1446868E-03
  30492.40  7.2137120E-03
  30492.50  7.2797234E-03
  30492.60  7.3425851E-03
  30492.70  7.4021754E-03
  30492.80  7.4583886E-03
  30492.90  7.5111358E-03
  30493.00  7.5603463E-03
  30493.10  7.6059684E-03
  30493.20  7.6479702E-03
  30493.30  7.6863396E-03
  30493.40  7.7210852E-03
  30493.50  7.7522353E-03
  30493.60  7.7798383E-03
  30493.70  7.8039618E-03
  30493.80  7.8246917E-03
  30493.90  7.8421310E-03
  30494.00  7.8563987E-03
  30494.10  7.8676282E-03
  30494.20  7.8759655E-03
  30494.30  7.8815679E-03
  30494.40  7.8846016E-03
  30494.50  7.8852400E-03
  30494.60  7.8836622E-03
  30494.70  7.8800504E-03
  30494.80  7.8745888E-03
  30494.90  7.8674616E-03
  30495.00  7.8588511E-03
  30495.10  7.8489367E-03
  30495.20  7.8378934E-03
  30495.30  7.8258905E-03
  30495.40  7.8130907E-03
  30495.50  7.7996491E-03
  30495.60  7.7857128E-03
  30495.70  7.7714199E-03
  30495.80  7.7568995E-03
  30495.90  7.7422712E-03
  30496.00  7.7276453E-03
  30496.20  7.6987922E-03
  30496.40  7.6710305E-03
  30496.60  7.6449037E-03
  30496.80  7.6208181E-03
  30497.00  7.5990544E-03
  30497.20  7.5797805E-03
  30497.40  7.5630643E-03
  30497.60  7.5488867E-03
  30497.80  7.5371543E-03
  30498.00  7.5277106E-03
  30498.20  7.5203476E-03
  30498.40  7.5148157E-03
  30498.60  7.5108342E-03
  30498.80  7.5080999E-03
  30499.00  7.5062955E-03
  30499.20  7.5050975E-03
  30499.40  7.5041827E-03
  30499.60  7.5032343E-03
  30499.80  7.5019463E-03
  30500.00  7.5000282E-03
  30500.20  7.4972079E-03
  30500.40  7.4932345E-03
  30500.60  7.4878803E-03
  30500.80  7.4809426E-03
  30501.00  7.4722453E-03
  30501.20  7.4616400E-03
  30501.40  7.4490072E-03
  30501.60  7.4342567E-03
  30501.80  7.4173289E-03
  30502.00  7.3981945E-03
  30502.20  7.3768545E-03
  30502.40  7.3533397E-03
  30502.60  7.3277091E-03
  30502.80  7.3000487E-03
  30503.00  7.2704689E-03
  30503.20  7.2391016E-03
  30503.40  7.2060975E-03
  30503.60  7.1716223E-03
  30503.80  7.1358530E-03
  30504.00  7.0989750E-03
  30504.20  7.0611774E-03
  30504.40  7.0226508E-03
  30504.60  6.9835836E-03
  30504.80  6.9441595E-03
  30505.00  6.9045551E-03
  30505.20  6.8649381E-03
  30505.40  6.8254661E-03
  30505.60  6.7862850E-03
  30505.80  6.7475286E-03
  30506.00  6.7093179E-03
  30506.20  6.6717614E-03
  30506.40  6.6349545E-03
  30506.60  6.5989802E-03
  30506.80  6.5639090E-03
  30507.00  6.5297999E-03
  30507.20  6.4967003E-03
  30507.40  6.4646468E-03
  30507.60  6.4336658E-03
  30507.80  6.4037743E-03
  30508.00  6.3749800E-03
  30508.20  6.3472824E-03
  30508.40  6.3206733E-03
  30508.60  6.2951374E-03
  30508.80  6.2706533E-03
  30509.00  6.2471938E-03
  30509.20  6.2247267E-03
  30509.40  6.2032159E-03
  30509.60  6.1826216E-03
  30509.80  6.1629013E-03
  30510.00  6.1440106E-03
  30510.20  6.1259037E-03
  30510.40  6.1085345E-03
  30510.60  6.0918566E-03
  30510.80  6.0758247E-03
  30511.00  6.0603949E-03
  30512.00  5.9908952E-03
  30513.00  5.9314108E-03
  30514.00  5.8800285E-03
  30515.00  5.8368059E-03
  30516.00  5.8028947E-03
  30517.00  5.7795867E-03
  30518.00  5.7676654E-03
  30519.00  5.7671288E-03
  30520.00  5.7771686E-03
  30521.00  5.7962737E-03
  30522.00  5.8223949E-03
  30523.00  5.8531658E-03
  30524.00  5.8861884E-03
  30525.00  5.9193579E-03
  30526.00  5.9511563E-03
  30527.00  5.9808316E-03
  30528.00  6.0084140E-03
  30529.00  6.0345771E-03
  30530.00  6.0603971E-03
  30531.00  6.0870733E-03
  30532.00  6.1156653E-03
  30533.00  6.1468771E-03
  30534.00  6.1809109E-03
  30535.00  6.2174089E-03
  30536.00  6.2554927E-03
  30537.00  6.2939039E-03
  30538.00  6.3312196E-03
  30539.00  6.3661026E-03
  30540.00  6.3975298E-03
  30541.00  6.4249494E-03
  30542.00  6.4483390E-03
  30543.00  6.4681592E-03
  30544.00  6.4852253E-03
  30545.00  6.5005308E-03
  30546.00  6.5150613E-03
  30547.00  6.5296311E-03
  30548.00  6.5447683E-03
  30549.00  6.5606569E-03
  30550.00  6.5771399E-03
  30551.00  6.5937726E-03
  30552.00  6.6099085E-03
  30553.00  6.6248000E-03
  30554.00  6.6376942E-03
  30555.00  6.6479116E-03
  30556.00  6.6549029E-03
  30557.00  6.6582853E-03
  30558.00  6.6578631E-03
  30559.00  6.6536378E-03
  30560.00  6.6458080E-03
  30561.00  6.6347588E-03
  30562.00  6.6210362E-03
  30563.00  6.6053058E-03
  30564.00  6.5882977E-03
  30565.00  6.5707456E-03
  30566.00  6.5533261E-03
  30567.00  6.5366097E-03
  30568.00  6.5210275E-03
  30569.00  6.5068575E-03
  30570.00  6.4942278E-03
  30571.00  6.4831353E-03
  30572.00  6.4734718E-03
  30573.00  6.4650540E-03
  30574.00  6.4576540E-03
  30575.00  6.4510250E-03
  30576.00  6.4449230E-03
  30577.00  6.4391213E-03
  30578.00  6.4334178E-03
  30579.00  6.4276359E-03
  30580.00  6.4216203E-03
  30581.00  6.4152324E-03
  30582.00  6.4083481E-03
  30583.00  6.4008624E-03
  30584.00  6.3926999E-03
  30585.00  6.3838289E-03
  30586.00  6.3742750E-03
  30587.00  6.3641270E-03
  30588.00  6.3535331E-03
  30589.00  6.3426861E-03
  30590.00  6.3318013E-03
  30591.00  6.3210927E-03
