    Energy    <xanes>    
   9619.00  2.8341676E-04
   9619.50  2.8713976E-04
   9620.00  2.9095483E-04
   9620.50  2.9486538E-04
   9621.00  2.9887498E-04
   9621.50  3.0298739E-04
   9622.00  3.0720656E-04
   9622.50  3.1153663E-04
   9623.00  3.1598196E-04
   9623.50  3.2054715E-04
   9624.00  3.2523703E-04
   9624.50  3.3005671E-04
   9625.00  3.3501156E-04
   9625.50  3.4010726E-04
   9626.00  3.4534981E-04
   9626.50  3.5074554E-04
   9627.00  3.5630117E-04
   9627.50  3.6202378E-04
   9628.00  3.6792091E-04
   9628.50  3.7400052E-04
   9629.00  3.8027108E-04
   9629.50  3.8674158E-04
   9630.00  3.9342158E-04
   9630.50  4.0032124E-04
   9631.00  4.0745141E-04
   9631.50  4.1482362E-04
   9632.00  4.2245022E-04
   9632.50  4.3034436E-04
   9633.00  4.3852013E-04
   9633.50  4.4699263E-04
   9634.00  4.5577801E-04
   9634.50  4.6489363E-04
   9635.00  4.7435815E-04
   9635.50  4.8419161E-04
   9636.00  4.9441566E-04
   9636.50  5.0505360E-04
   9637.00  5.1613066E-04
   9637.50  5.2767409E-04
   9638.00  5.3971346E-04
   9638.50  5.5228086E-04
   9639.00  5.6541119E-04
   9639.50  5.7914245E-04
   9640.00  5.9351614E-04
   9640.50  6.0857761E-04
   9641.00  6.2437658E-04
   9641.50  6.4096763E-04
   9642.00  6.5841083E-04
   9642.50  6.7677245E-04
   9643.00  6.9612578E-04
   9643.50  7.1655208E-04
   9644.00  7.3814172E-04
   9644.50  7.6099547E-04
   9645.00  7.8522608E-04
   9645.50  8.1096013E-04
   9646.00  8.3834020E-04
   9646.50  8.6752760E-04
   9647.00  8.9870549E-04
   9647.50  9.3208287E-04
   9648.00  9.6789938E-04
   9648.50  1.0064313E-03
   9649.00  1.0479988E-03
   9649.50  1.0929760E-03
   9650.00  1.1418025E-03
   9650.50  1.1949996E-03
   9651.00  1.2531912E-03
   9651.50  1.3171322E-03
   9652.00  1.3877478E-03
   9652.50  1.4661883E-03
   9653.00  1.5539112E-03
   9653.50  1.6528036E-03
   9654.00  1.7653784E-03
   9654.10  1.7899488E-03
   9654.20  1.8149782E-03
   9654.30  1.8404918E-03
   9654.40  1.8671111E-03
   9654.50  1.8951024E-03
   9654.60  1.9236682E-03
   9654.70  1.9528445E-03
   9654.80  1.9826705E-03
   9654.90  2.0139355E-03
   9655.00  2.0469845E-03
   9655.10  2.0808275E-03
   9655.20  2.1155238E-03
   9655.30  2.1511392E-03
   9655.36  2.1724820E-03
   9655.46  2.2110033E-03
   9655.56  2.2511403E-03
   9655.66  2.2930229E-03
   9655.76  2.3367970E-03
   9655.86  2.3826280E-03
   9655.96  2.4307037E-03
   9656.06  2.4812383E-03
   9656.16  2.5344766E-03
   9656.26  2.5906999E-03
   9656.36  2.6502313E-03
   9656.46  2.7134431E-03
   9656.56  2.7807632E-03
   9656.66  2.8526823E-03
   9656.76  2.9297585E-03
   9656.86  3.0126181E-03
   9656.96  3.1019489E-03
   9657.06  3.1984799E-03
   9657.16  3.3029391E-03
   9657.26  3.4159845E-03
   9657.36  3.5381023E-03
   9657.46  3.6694802E-03
   9657.56  3.8098796E-03
   9657.66  3.9585613E-03
   9657.76  4.1143298E-03
   9657.86  4.2755094E-03
   9657.96  4.4400607E-03
   9658.06  4.6058361E-03
   9658.16  4.7708459E-03
   9658.26  4.9336231E-03
   9658.36  5.0936768E-03
   9658.46  5.2518747E-03
   9658.56  5.4105032E-03
   9658.66  5.5728527E-03
   9658.76  5.7424029E-03
   9658.86  5.9218777E-03
   9658.96  6.1124793E-03
   9659.06  6.3135197E-03
   9659.16  6.5225534E-03
   9659.26  6.7358922E-03
   9659.36  6.9491330E-03
   9659.46  7.1579968E-03
   9659.56  7.3588843E-03
   9659.66  7.5491752E-03
   9659.76  7.7273615E-03
   9659.86  7.8931929E-03
   9659.96  8.0479377E-03
   9660.06  8.1946499E-03
   9660.16  8.3382035E-03
   9660.26  8.4849400E-03
