    Energy    <xanes>    
   6499.00  1.6245229E-03
   6499.50  1.6438668E-03
   6500.00  1.6636394E-03
   6500.50  1.6838551E-03
   6501.00  1.7045286E-03
   6501.50  1.7256754E-03
   6502.00  1.7473118E-03
   6502.50  1.7694548E-03
   6503.00  1.7921222E-03
   6503.50  1.8153325E-03
   6504.00  1.8391053E-03
   6504.50  1.8634610E-03
   6505.00  1.8884210E-03
   6505.50  1.9140079E-03
   6506.00  1.9402452E-03
   6506.50  1.9671579E-03
   6507.00  1.9947719E-03
   6507.50  2.0231149E-03
   6508.00  2.0522157E-03
   6508.50  2.0821047E-03
   6509.00  2.1128142E-03
   6509.50  2.1443779E-03
   6510.00  2.1768317E-03
   6510.50  2.2102133E-03
   6511.00  2.2445628E-03
   6511.50  2.2799224E-03
   6512.00  2.3163369E-03
   6512.50  2.3538539E-03
   6513.00  2.3925238E-03
   6513.50  2.4323999E-03
   6514.00  2.4735394E-03
   6514.50  2.5160026E-03
   6515.00  2.5598541E-03
   6515.50  2.6051626E-03
   6516.00  2.6520015E-03
   6516.50  2.7004492E-03
   6517.00  2.7505897E-03
   6517.50  2.8025129E-03
   6518.00  2.8563151E-03
   6518.50  2.9121000E-03
   6519.00  2.9699789E-03
   6519.50  3.0300719E-03
   6520.00  3.0925084E-03
   6520.50  3.1574284E-03
   6521.00  3.2249832E-03
   6521.50  3.2953371E-03
   6522.00  3.3686685E-03
   6522.50  3.4451716E-03
   6523.00  3.5250583E-03
   6523.50  3.6085604E-03
   6524.00  3.6959318E-03
   6524.50  3.7874516E-03
   6525.00  3.8834274E-03
   6525.50  3.9841989E-03
   6526.00  4.0901432E-03
   6526.50  4.2016795E-03
   6527.00  4.3192761E-03
   6527.50  4.4434585E-03
   6528.00  4.5748183E-03
   6528.50  4.7140256E-03
   6529.00  4.8618435E-03
   6529.50  5.0191464E-03
   6530.00  5.1869431E-03
   6530.50  5.3664073E-03
   6531.00  5.5589167E-03
   6531.50  5.7661057E-03
   6532.00  5.9899373E-03
   6532.50  6.2328026E-03
   6533.00  6.4976648E-03
   6533.50  6.7882711E-03
   6534.00  7.1094770E-03
   6534.10  7.1791957E-03
   6534.20  7.2495165E-03
   6534.30  7.3204721E-03
   6534.40  7.3922854E-03
   6534.50  7.4677662E-03
   6534.60  7.5461383E-03
   6534.70  7.6253069E-03
   6534.80  7.7053221E-03
   6534.90  7.7864460E-03
   6535.00  7.8721216E-03
   6535.10  7.9614536E-03
   6535.20  8.0518872E-03
   6535.30  8.1435035E-03
   6535.40  8.2366233E-03
   6535.44  8.2790891E-03
   6535.54  8.3790401E-03
   6535.64  8.4819757E-03
   6535.74  8.5880411E-03
   6535.84  8.6974667E-03
   6535.94  8.8111355E-03
   6536.04  8.9296158E-03
   6536.14  9.0524000E-03
   6536.24  9.1797797E-03
   6536.34  9.3121696E-03
   6536.44  9.4507438E-03
   6536.54  9.5964222E-03
   6536.64  9.7488374E-03
   6536.74  9.9086206E-03
   6536.84  1.0076611E-02
   6536.94  1.0254584E-02
   6536.95  1.0272177E-02
   6537.05  1.0462476E-02
   6537.15  1.0664893E-02
   6537.25  1.0881117E-02
   6537.35  1.1113181E-02
   6537.45  1.1364563E-02
   6537.55  1.1637445E-02
   6537.65  1.1935375E-02
   6537.75  1.2262962E-02
   6537.85  1.2625950E-02
   6537.95  1.3032658E-02
   6538.05  1.3491048E-02
   6538.15  1.4011889E-02
   6538.25  1.4608298E-02
   6538.35  1.5295085E-02
   6538.45  1.6088339E-02
   6538.55  1.6997482E-02
   6538.65  1.8020843E-02
   6538.75  1.9134452E-02
   6538.85  2.0284346E-02
   6538.95  2.1395089E-02
   6539.05  2.2393336E-02
   6539.15  2.3247508E-02
   6539.25  2.3982475E-02
   6539.35  2.4660958E-02
   6539.45  2.5350560E-02
   6539.55  2.6094761E-02
   6539.65  2.6916909E-02
   6539.75  2.7835277E-02
   6539.85  2.8879206E-02
   6539.95  3.0095157E-02
   6540.05  3.1529106E-02
   6540.15  3.3211895E-02
   6540.25  3.5138543E-02
   6540.35  3.7256064E-02
   6540.37  3.7577606E-02
   6540.47  3.9787697E-02
   6540.57  4.1952388E-02
   6540.67  4.3954850E-02
   6540.77  4.5695543E-02
   6540.87  4.7088944E-02
   6540.97  4.8059792E-02
   6541.07  4.8553238E-02
   6541.17  4.8556456E-02
   6541.27  4.8115028E-02
   6541.37  4.7331213E-02
   6541.47  4.6343632E-02
   6541.57  4.5293419E-02
   6541.67  4.4285988E-02
   6541.77  4.3366398E-02
   6541.87  4.2524650E-02
   6541.97  4.1728017E-02
