    Energy    <xanes>    
   6499.00  5.6199450E-04
   6499.50  5.6907301E-04
   6500.00  5.7632007E-04
   6500.50  5.8374172E-04
   6501.00  5.9134427E-04
   6501.50  5.9913435E-04
   6502.00  6.0711892E-04
   6502.50  6.1530527E-04
   6503.00  6.2370108E-04
   6503.50  6.3231439E-04
   6504.00  6.4115368E-04
   6504.50  6.5022787E-04
   6505.00  6.5954635E-04
   6505.50  6.6911901E-04
   6506.00  6.7895629E-04
   6506.50  6.8906918E-04
   6507.00  6.9946930E-04
   6507.50  7.1016895E-04
   6508.00  7.2118109E-04
   6508.50  7.3251947E-04
   6509.00  7.4419864E-04
   6509.50  7.5623402E-04
   6510.00  7.6864198E-04
   6510.50  7.8143988E-04
   6511.00  7.9464618E-04
   6511.50  8.0828053E-04
   6512.00  8.2236382E-04
   6512.50  8.3691833E-04
   6513.00  8.5196783E-04
   6513.50  8.6753769E-04
   6514.00  8.8365505E-04
   6514.50  9.0034893E-04
   6515.00  9.1765044E-04
   6515.50  9.3559295E-04
   6516.00  9.5421229E-04
   6516.50  9.7354699E-04
   6517.00  9.9363855E-04
   6517.50  1.0145317E-03
   6518.00  1.0362747E-03
   6518.50  1.0589199E-03
   6519.00  1.0825237E-03
   6519.50  1.1071475E-03
   6520.00  1.1328581E-03
   6520.50  1.1597278E-03
   6521.00  1.1878359E-03
   6521.50  1.2172687E-03
   6522.00  1.2481207E-03
   6522.50  1.2804957E-03
   6523.00  1.3145076E-03
   6523.50  1.3502820E-03
   6524.00  1.3879575E-03
   6524.50  1.4276874E-03
   6525.00  1.4696421E-03
   6525.50  1.5140111E-03
   6526.00  1.5610057E-03
   6526.50  1.6108629E-03
   6527.00  1.6638486E-03
   6527.50  1.7202625E-03
   6528.00  1.7804438E-03
   6528.50  1.8447777E-03
   6529.00  1.9137037E-03
   6529.50  1.9877256E-03
   6530.00  2.0674232E-03
   6530.50  2.1534684E-03
   6531.00  2.2466434E-03
   6531.50  2.3478654E-03
   6532.00  2.4582172E-03
   6532.50  2.5789877E-03
   6533.00  2.7117245E-03
   6533.50  2.8583055E-03
   6534.00  3.0210364E-03
   6534.10  3.0557613E-03
   6534.20  3.0912709E-03
   6534.30  3.1275926E-03
   6534.40  3.1647553E-03
   6534.50  3.2027893E-03
   6534.60  3.2417263E-03
   6534.70  3.2816001E-03
   6534.80  3.3224459E-03
   6534.90  3.3643010E-03
   6535.00  3.4072048E-03
   6535.10  3.4511989E-03
   6535.20  3.4963276E-03
   6535.30  3.5426374E-03
   6535.40  3.5901780E-03
   6535.50  3.6390022E-03
   6535.60  3.6891662E-03
   6535.70  3.7407300E-03
   6535.80  3.7937577E-03
   6535.90  3.8483181E-03
   6536.00  3.9044850E-03
   6536.10  3.9623380E-03
   6536.20  4.0219628E-03
   6536.30  4.0834525E-03
   6536.40  4.1469081E-03
   6536.50  4.2124398E-03
   6536.60  4.2801683E-03
   6536.70  4.3502264E-03
   6536.80  4.4227607E-03
   6536.90  4.4979344E-03
   6537.00  4.5759295E-03
   6537.10  4.6569512E-03
   6537.20  4.7412317E-03
   6537.30  4.8290359E-03
   6537.40  4.9206690E-03
   6537.50  5.0164851E-03
   6537.60  5.1168991E-03
   6537.70  5.2224014E-03
   6537.80  5.3335773E-03
   6537.90  5.4511304E-03
   6538.00  5.5759120E-03
   6538.10  5.7089541E-03
   6538.20  5.8515010E-03
   6538.30  6.0050271E-03
   6538.40  6.1712080E-03
   6538.50  6.3517881E-03
   6538.60  6.5482509E-03
   6538.70  6.7612194E-03
   6538.80  6.9896973E-03
   6538.90  7.2307171E-03
   6539.00  7.4805126E-03
   6539.10  7.7373853E-03
   6539.20  8.0024886E-03
   6539.30  8.2798043E-03
   6539.40  8.5724609E-03
   6539.50  8.8778612E-03
   6539.60  9.1843644E-03
   6539.70  9.4726143E-03
   6539.80  9.7239045E-03
   6539.90  9.9321370E-03
   6540.00  1.0109183E-02
   6540.10  1.0278272E-02
   6540.20  1.0462601E-02
   6540.30  1.0678596E-02
   6540.40  1.0935439E-02
   6540.50  1.1237503E-02
   6540.60  1.1586890E-02
   6540.70  1.1985126E-02
   6540.80  1.2434094E-02
   6540.90  1.2936486E-02
   6541.00  1.3496027E-02
   6541.10  1.4117579E-02
   6541.20  1.4807218E-02
   6541.30  1.5572281E-02
   6541.40  1.6421386E-02
   6541.50  1.7364388E-02
   6541.60  1.8412210E-02
   6541.70  1.9576498E-02
   6541.80  2.0869056E-02
   6541.90  2.2301141E-02
