    Energy    <xanes>    
   6499.00  5.6951410E-04
   6499.50  5.7650530E-04
   6500.00  5.8366059E-04
   6500.50  5.9098578E-04
   6501.00  5.9848696E-04
   6501.50  6.0617052E-04
   6502.00  6.1404314E-04
   6502.50  6.2211187E-04
   6503.00  6.3038406E-04
   6503.50  6.3886747E-04
   6504.00  6.4757025E-04
   6504.50  6.5650097E-04
   6505.00  6.6566863E-04
   6505.50  6.7508274E-04
   6506.00  6.8475331E-04
   6506.50  6.9469088E-04
   6507.00  7.0490661E-04
   6507.50  7.1541224E-04
   6508.00  7.2622023E-04
   6508.50  7.3734370E-04
   6509.00  7.4879659E-04
   6509.50  7.6059362E-04
   6510.00  7.7275045E-04
   6510.50  7.8528365E-04
   6511.00  7.9821083E-04
   6511.50  8.1155072E-04
   6512.00  8.2532324E-04
   6512.50  8.3954961E-04
   6513.00  8.5425244E-04
   6513.50  8.6945586E-04
   6514.00  8.8518566E-04
   6514.50  9.0146938E-04
   6515.00  9.1833656E-04
   6515.50  9.3581880E-04
   6516.00  9.5395006E-04
   6516.50  9.7276679E-04
   6517.00  9.9230821E-04
   6517.50  1.0126166E-03
   6518.00  1.0337374E-03
   6518.50  1.0557201E-03
   6519.00  1.0786177E-03
   6519.50  1.1024879E-03
   6520.00  1.1273935E-03
   6520.50  1.1534024E-03
   6521.00  1.1805887E-03
   6521.50  1.2090333E-03
   6522.00  1.2388246E-03
   6522.50  1.2700591E-03
   6523.00  1.3028431E-03
   6523.50  1.3372934E-03
   6524.00  1.3735386E-03
   6524.50  1.4117209E-03
   6525.00  1.4519977E-03
   6525.50  1.4945439E-03
   6526.00  1.5395543E-03
   6526.50  1.5872464E-03
   6527.00  1.6378640E-03
   6527.50  1.6916813E-03
   6528.00  1.7490073E-03
   6528.50  1.8101923E-03
   6529.00  1.8756346E-03
   6529.50  1.9457888E-03
   6530.00  2.0211769E-03
   6530.50  2.1024008E-03
   6531.00  2.1901584E-03
   6531.50  2.2852642E-03
   6532.00  2.3886746E-03
   6532.50  2.5015215E-03
   6533.00  2.6251554E-03
   6533.50  2.7612030E-03
   6534.00  2.9116458E-03
   6534.10  2.9436672E-03
   6534.20  2.9763825E-03
   6534.30  3.0098148E-03
   6534.40  3.0439885E-03
   6534.50  3.0789290E-03
   6534.60  3.1146632E-03
   6534.70  3.1512190E-03
   6534.80  3.1886260E-03
   6534.90  3.2269153E-03
   6535.00  3.2661197E-03
   6535.10  3.3062735E-03
   6535.20  3.3474133E-03
   6535.30  3.3895776E-03
   6535.40  3.4328071E-03
   6535.50  3.4771451E-03
   6535.60  3.5226374E-03
   6535.70  3.5693330E-03
   6535.80  3.6172838E-03
   6535.90  3.6665455E-03
   6536.00  3.7171776E-03
   6536.10  3.7692439E-03
   6536.20  3.8228131E-03
   6536.30  3.8779594E-03
   6536.40  3.9347631E-03
   6536.50  3.9933114E-03
   6536.60  4.0536998E-03
   6536.70  4.1160324E-03
   6536.80  4.1804242E-03
   6536.90  4.2470027E-03
   6537.00  4.3159097E-03
   6537.10  4.3873042E-03
   6537.20  4.4613660E-03
   6537.30  4.5382998E-03
   6537.40  4.6183405E-03
   6537.50  4.7017604E-03
   6537.60  4.7888783E-03
   6537.70  4.8800705E-03
   6537.80  4.9757863E-03
   6537.90  5.0765666E-03
   6538.00  5.1830678E-03
   6538.10  5.2960897E-03
   6538.20  5.4166069E-03
   6538.30  5.5457942E-03
   6538.40  5.6850307E-03
   6538.50  5.8358440E-03
   6538.60  5.9997305E-03
   6538.70  6.1777677E-03
   6538.80  6.3699846E-03
   6538.90  6.5746376E-03
   6539.00  6.7879757E-03
   6539.10  7.0048867E-03
   6539.20  7.2185033E-03
   6539.30  7.4218807E-03
   6539.40  7.6093856E-03
   6539.50  7.7783139E-03
   6539.60  7.9303725E-03
   6539.70  8.0719777E-03
   6539.80  8.2126253E-03
   6539.90  8.3620136E-03
   6540.00  8.5277331E-03
   6540.10  8.7146091E-03
   6540.20  8.9252988E-03
   6540.30  9.1612340E-03
   6540.40  9.4233810E-03
   6540.50  9.7127035E-03
   6540.60  1.0030401E-02
   6540.70  1.0378018E-02
   6540.80  1.0757486E-02
   6540.90  1.1171159E-02
   6541.00  1.1621854E-02
   6541.10  1.2112924E-02
   6541.20  1.2648341E-02
   6541.30  1.3232787E-02
   6541.40  1.3871726E-02
   6541.50  1.4571488E-02
   6541.60  1.5339360E-02
   6541.70  1.6183688E-02
   6541.80  1.7113993E-02
   6541.90  1.8141093E-02
   6542.00  1.9277225E-02
   6542.10  2.0536157E-02
   6542.20  2.1933285E-02
   6542.30  2.3485693E-02
   6542.40  2.5212152E-02
   6542.50  2.7133031E-02
   6542.60  2.9270053E-02
