    Energy    <xanes>    
   6499.00  6.0672259E-04
   6499.50  6.1405569E-04
   6500.00  6.2156179E-04
   6500.50  6.2924708E-04
   6501.00  6.3711808E-04
   6501.50  6.4518162E-04
   6502.00  6.5344486E-04
   6502.50  6.6191531E-04
   6503.00  6.7060089E-04
   6503.50  6.7950991E-04
   6504.00  6.8865110E-04
   6504.50  6.9803366E-04
   6505.00  7.0766730E-04
   6505.50  7.1756222E-04
   6506.00  7.2772920E-04
   6506.50  7.3817961E-04
   6507.00  7.4892548E-04
   6507.50  7.5997950E-04
   6508.00  7.7135510E-04
   6508.50  7.8306651E-04
   6509.00  7.9512880E-04
   6509.50  8.0755795E-04
   6510.00  8.2037092E-04
   6510.50  8.3358573E-04
   6511.00  8.4722153E-04
   6511.50  8.6129871E-04
   6512.00  8.7583899E-04
   6512.50  8.9086551E-04
   6513.00  9.0640300E-04
   6513.50  9.2247786E-04
   6514.00  9.3911834E-04
   6514.50  9.5635469E-04
   6515.00  9.7421933E-04
   6515.50  9.9274709E-04
   6516.00  1.0119754E-03
   6516.50  1.0319444E-03
   6517.00  1.0526977E-03
   6517.50  1.0742819E-03
   6518.00  1.0967477E-03
   6518.50  1.1201498E-03
   6519.00  1.1445476E-03
   6519.50  1.1700056E-03
   6520.00  1.1965937E-03
   6520.50  1.2243885E-03
   6521.00  1.2534732E-03
   6521.50  1.2839391E-03
   6522.00  1.3158860E-03
   6522.50  1.3494236E-03
   6523.00  1.3846729E-03
   6523.50  1.4217671E-03
   6524.00  1.4608536E-03
   6524.50  1.5020959E-03
   6525.00  1.5456760E-03
   6525.50  1.5917967E-03
   6526.00  1.6406849E-03
   6526.50  1.6925957E-03
   6527.00  1.7478163E-03
   6527.50  1.8066715E-03
   6528.00  1.8695305E-03
   6528.50  1.9368143E-03
   6529.00  2.0090057E-03
   6529.50  2.0866614E-03
   6530.00  2.1704264E-03
   6530.50  2.2610535E-03
   6531.00  2.3594274E-03
   6531.50  2.4665958E-03
   6532.00  2.5838109E-03
   6532.50  2.7125843E-03
   6533.00  2.8547633E-03
   6533.50  3.0126361E-03
   6534.00  3.1890853E-03
   6534.10  3.2269126E-03
   6534.20  3.2656620E-03
   6534.30  3.3053699E-03
   6534.40  3.3460749E-03
   6534.50  3.3878179E-03
   6534.60  3.4306424E-03
   6534.70  3.4745945E-03
   6534.80  3.5197235E-03
   6534.90  3.5660817E-03
   6535.00  3.6137252E-03
   6535.10  3.6627140E-03
   6535.20  3.7131125E-03
   6535.30  3.7649897E-03
   6535.40  3.8184201E-03
   6535.50  3.8734842E-03
   6535.60  3.9302690E-03
   6535.70  3.9888690E-03
   6535.80  4.0493870E-03
   6535.90  4.1119354E-03
   6536.00  4.1766373E-03
   6536.10  4.2436282E-03
   6536.20  4.3130577E-03
   6536.30  4.3850918E-03
   6536.40  4.4599152E-03
   6536.50  4.5377353E-03
   6536.60  4.6187851E-03
   6536.70  4.7033290E-03
   6536.80  4.7916681E-03
   6536.90  4.8841480E-03
   6537.00  4.9811683E-03
   6537.10  5.0831943E-03
   6537.20  5.1907724E-03
   6537.30  5.3045496E-03
   6537.40  5.4252990E-03
   6537.50  5.5539521E-03
   6537.60  5.6916414E-03
   6537.70  5.8397553E-03
   6537.80  6.0000073E-03
   6537.90  6.1745226E-03
   6538.00  6.3659386E-03
   6538.10  6.5775093E-03
   6538.20  6.8131772E-03
   6538.30  7.0775298E-03
   6538.40  7.3754689E-03
   6538.50  7.7112857E-03
   6538.60  8.0867428E-03
   6538.70  8.4979879E-03
   6538.80  8.9321210E-03
