    Energy    <xanes>    
   7072.00  2.4764160E-04
   7072.50  2.5054609E-04
   7073.00  2.5362171E-04
   7073.50  2.5676705E-04
   7074.00  2.5998445E-04
   7074.50  2.6327637E-04
   7075.00  2.6664537E-04
   7075.50  2.7009415E-04
   7076.00  2.7362550E-04
   7076.50  2.7724237E-04
   7077.00  2.8094784E-04
   7077.50  2.8474513E-04
   7078.00  2.8863764E-04
   7078.50  2.9262891E-04
   7079.00  2.9672268E-04
   7079.50  3.0092285E-04
   7080.00  3.0523355E-04
   7080.50  3.0965912E-04
   7081.00  3.1420409E-04
   7081.50  3.1887328E-04
   7082.00  3.2367173E-04
   7082.50  3.2860478E-04
   7083.00  3.3367806E-04
   7083.50  3.3889749E-04
   7084.00  3.4426936E-04
   7084.50  3.4980031E-04
   7085.00  3.5549734E-04
   7085.50  3.6136791E-04
   7086.00  3.6741989E-04
   7086.50  3.7366164E-04
   7087.00  3.8010204E-04
   7087.50  3.8675053E-04
   7088.00  3.9361713E-04
   7088.50  4.0071252E-04
   7089.00  4.0804810E-04
   7089.50  4.1563600E-04
   7090.00  4.2348918E-04
   7090.50  4.3162151E-04
   7091.00  4.4004781E-04
   7091.50  4.4878396E-04
   7092.00  4.5784702E-04
   7092.50  4.6725528E-04
   7093.00  4.7702842E-04
   7093.50  4.8718762E-04
   7094.00  4.9775572E-04
   7094.50  5.0875739E-04
   7095.00  5.2021928E-04
   7095.50  5.3217028E-04
   7096.00  5.4464171E-04
   7096.50  5.5766759E-04
   7097.00  5.7128496E-04
   7097.50  5.8553421E-04
   7098.00  6.0045946E-04
   7098.50  6.1610900E-04
   7099.00  6.3253580E-04
   7099.50  6.4979813E-04
   7100.00  6.6796017E-04
   7100.50  6.8709283E-04
   7101.00  7.0727468E-04
   7101.50  7.2859297E-04
   7102.00  7.5114492E-04
   7102.50  7.7503920E-04
   7103.00  8.0039768E-04
   7103.50  8.2735758E-04
   7104.00  8.5607400E-04
   7104.50  8.8672304E-04
   7105.00  9.1950565E-04
   7105.50  9.5465239E-04
   7106.00  9.9242949E-04
   7106.50  1.0331466E-03
   7107.00  1.0771670E-03
   7107.10  1.0864509E-03
   7107.20  1.0959417E-03
   7107.30  1.1055156E-03
   7107.40  1.1151748E-03
   7107.50  1.1249216E-03
   7107.54  1.1284138E-03
   7107.64  1.1385166E-03
   7107.74  1.1487955E-03
   7107.84  1.1592552E-03
   7107.94  1.1699010E-03
   7108.04  1.1807382E-03
   7108.14  1.1917723E-03
   7108.24  1.2030092E-03
   7108.34  1.2144550E-03
   7108.44  1.2261162E-03
   7108.54  1.2379995E-03
   7108.64  1.2501120E-03
   7108.74  1.2624612E-03
   7108.84  1.2750552E-03
   7108.94  1.2879023E-03
   7109.04  1.3010115E-03
   7109.14  1.3143924E-03
   7109.24  1.3280551E-03
   7109.34  1.3420107E-03
   7109.44  1.3562709E-03
   7109.54  1.3708485E-03
   7109.64  1.3857575E-03
   7109.74  1.4010129E-03
   7109.84  1.4166316E-03
   7109.94  1.4326321E-03
   7110.04  1.4490350E-03
   7110.14  1.4658634E-03
   7110.24  1.4831436E-03
   7110.34  1.5009058E-03
   7110.44  1.5191845E-03
   7110.54  1.5380200E-03
   7110.64  1.5574598E-03
   7110.74  1.5775600E-03
   7110.84  1.5983876E-03
   7110.94  1.6200226E-03
   7111.04  1.6425610E-03
   7111.14  1.6661157E-03
   7111.24  1.6908173E-03
   7111.34  1.7168078E-03
   7111.44  1.7442251E-03
   7111.54  1.7731682E-03
   7111.64  1.8036379E-03
   7111.74  1.8354582E-03
   7111.84  1.8682187E-03
   7111.94  1.9013165E-03
   7112.04  1.9341722E-03
   7112.14  1.9664616E-03
   7112.24  1.9981583E-03
   7112.34  2.0294934E-03
   7112.44  2.0607547E-03
   7112.54  2.0921680E-03
   7112.64  2.1239729E-03
   7112.74  2.1563270E-03
   7112.84  2.1894443E-03
   7112.94  2.2235910E-03
   7113.04  2.2590394E-03
   7113.14  2.2960340E-03
   7113.24  2.3347809E-03
   7113.34  2.3754517E-03
   7113.44  2.4181937E-03
   7113.54  2.4631404E-03
   7113.64  2.5104206E-03
   7113.74  2.5601661E-03
   7113.84  2.6125160E-03
   7113.94  2.6676206E-03
   7114.04  2.7256445E-03
   7114.14  2.7867689E-03
   7114.24  2.8511944E-03
   7114.34  2.9191437E-03
   7114.44  2.9908648E-03
   7114.54  3.0666346E-03
   7114.64  3.1467629E-03
   7114.74  3.2315958E-03
   7114.84  3.3215204E-03
