    Energy    <xanes>    
   6499.00  2.6914199E-04
   6499.50  2.7231628E-04
   6500.00  2.7560388E-04
   6500.50  2.7896687E-04
   6501.00  2.8240787E-04
   6501.50  2.8592959E-04
   6502.00  2.8953490E-04
   6502.50  2.9322680E-04
   6503.00  2.9700840E-04
   6503.50  3.0088300E-04
   6504.00  3.0485405E-04
   6504.50  3.0892518E-04
   6505.00  3.1310018E-04
   6505.50  3.1738305E-04
   6506.00  3.2177801E-04
   6506.50  3.2628948E-04
   6507.00  3.3092212E-04
   6507.50  3.3568084E-04
   6508.00  3.4057084E-04
   6508.50  3.4559757E-04
   6509.00  3.5076681E-04
   6509.50  3.5608467E-04
   6510.00  3.6155761E-04
   6510.50  3.6719246E-04
   6511.00  3.7299645E-04
   6511.50  3.7897728E-04
   6512.00  3.8514309E-04
   6512.50  3.9150252E-04
   6513.00  3.9806479E-04
   6513.50  4.0483968E-04
   6514.00  4.1183763E-04
   6514.50  4.1906975E-04
   6515.00  4.2654791E-04
   6515.50  4.3428481E-04
   6516.00  4.4229400E-04
   6516.50  4.5059001E-04
   6517.00  4.5918843E-04
   6517.50  4.6810599E-04
   6518.00  4.7736065E-04
   6518.50  4.8697178E-04
   6519.00  4.9696024E-04
   6519.50  5.0734855E-04
   6520.00  5.1816105E-04
   6520.50  5.2942409E-04
   6521.00  5.4116628E-04
   6521.50  5.5341867E-04
   6522.00  5.6621506E-04
   6522.50  5.7959232E-04
   6523.00  5.9359071E-04
   6523.50  6.0825434E-04
   6524.00  6.2363157E-04
   6524.50  6.3977562E-04
   6525.00  6.5674513E-04
   6525.50  6.7460493E-04
   6526.00  6.9342686E-04
   6526.50  7.1329075E-04
   6527.00  7.3428564E-04
   6527.50  7.5651107E-04
   6528.00  7.8007881E-04
   6528.50  8.0511476E-04
   6529.00  8.3176136E-04
   6529.50  8.6018045E-04
   6530.00  8.9055680E-04
   6530.50  9.2310245E-04
   6531.00  9.5806216E-04
   6531.50  9.9572020E-04
   6532.00  1.0364091E-03
   6532.50  1.0805208E-03
   6533.00  1.1285216E-03
   6533.50  1.1809718E-03
   6534.00  1.2385522E-03
   6534.10  1.2508841E-03
   6534.20  1.2634344E-03
   6534.30  1.2761505E-03
   6534.40  1.2890379E-03
   6534.50  1.3021024E-03
   6534.60  1.3157702E-03
   6534.70  1.3296952E-03
   6534.80  1.3438161E-03
   6534.90  1.3581399E-03
   6535.00  1.3726737E-03
   6535.10  1.3879272E-03
   6535.20  1.4034875E-03
   6535.30  1.4192821E-03
   6535.40  1.4353199E-03
   6535.50  1.4516104E-03
   6535.60  1.4687744E-03
