    Energy    <xanes>    
   7072.00  2.5565733E-04
   7072.50  2.5871970E-04
   7073.00  2.6185058E-04
   7073.50  2.6505225E-04
   7074.00  2.6832710E-04
   7074.50  2.7167763E-04
   7075.00  2.7510645E-04
   7075.50  2.7861629E-04
   7076.00  2.8221003E-04
   7076.50  2.8589065E-04
   7077.00  2.8966129E-04
   7077.50  2.9352525E-04
   7078.00  2.9748598E-04
   7078.50  3.0154709E-04
   7079.00  3.0571240E-04
   7079.50  3.0998590E-04
   7080.00  3.1437180E-04
   7080.50  3.1887451E-04
   7081.00  3.2349869E-04
   7081.50  3.2824924E-04
   7082.00  3.3313133E-04
   7082.50  3.3815041E-04
   7083.00  3.4331222E-04
   7083.50  3.4862286E-04
   7084.00  3.5408873E-04
   7084.50  3.5971663E-04
   7085.00  3.6551375E-04
   7085.50  3.7148771E-04
   7086.00  3.7764659E-04
   7086.50  3.8399897E-04
   7087.00  3.9055395E-04
   7087.50  3.9732122E-04
   7088.00  4.0431107E-04
   7088.50  4.1153448E-04
   7089.00  4.1900316E-04
   7089.50  4.2672958E-04
   7090.00  4.3472710E-04
   7090.50  4.4300999E-04
   7091.00  4.5159352E-04
   7091.50  4.6049407E-04
   7092.00  4.6972923E-04
   7092.50  4.7931789E-04
   7093.00  4.8928039E-04
   7093.50  4.9963862E-04
   7094.00  5.1041624E-04
   7094.50  5.2163878E-04
   7095.00  5.3333388E-04
   7095.50  5.4553152E-04
   7096.00  5.5826422E-04
   7096.50  5.7156737E-04
   7097.00  5.8547951E-04
   7097.50  6.0004275E-04
   7098.00  6.1530310E-04
   7098.50  6.3131102E-04
   7099.00  6.4812193E-04
   7099.50  6.6579685E-04
   7100.00  6.8440313E-04
   7100.50  7.0401529E-04
   7101.00  7.2471600E-04
   7101.50  7.4659728E-04
   7102.00  7.6976182E-04
   7102.50  7.9432464E-04
   7103.00  8.2041501E-04
   7103.50  8.4817878E-04
   7104.00  8.7778119E-04
   7104.50  9.0941030E-04
   7105.00  9.4328123E-04
   7105.50  9.7964141E-04
   7106.00  1.0187772E-03
   7106.50  1.0610226E-03
   7107.00  1.1067701E-03
   7107.10  1.1163794E-03
   7107.20  1.1261512E-03
   7107.30  1.1360899E-03
   7107.40  1.1461999E-03
   7107.50  1.1564859E-03
   7107.60  1.1669527E-03
   7107.70  1.1776052E-03
   7107.80  1.1884488E-03
   7107.90  1.1994888E-03
   7108.00  1.2107310E-03
   7108.10  1.2221813E-03
   7108.20  1.2338458E-03
   7108.30  1.2457312E-03
   7108.40  1.2578441E-03
   7108.50  1.2701918E-03
   7108.60  1.2827817E-03
   7108.70  1.2956217E-03
   7108.80  1.3087202E-03
   7108.90  1.3220860E-03
   7109.00  1.3357284E-03
   7109.10  1.3496573E-03
   7109.20  1.3638832E-03
   7109.30  1.3784174E-03
   7109.40  1.3932720E-03
   7109.50  1.4084597E-03
   7109.60  1.4239948E-03
   7109.70  1.4398922E-03
   7109.80  1.4561686E-03
   7109.90  1.4728420E-03
   7110.00  1.4899324E-03
   7110.10  1.5074622E-03
   7110.20  1.5254562E-03
   7110.30  1.5439425E-03
   7110.40  1.5629533E-03
   7110.50  1.5825253E-03
   7110.60  1.6027014E-03
   7110.70  1.6235317E-03
   7110.80  1.6450756E-03
   7110.90  1.6674033E-03
   7111.00  1.6905985E-03
   7111.10  1.7147602E-03
   7111.20  1.7400035E-03
   7111.30  1.7664571E-03
   7111.40  1.7942530E-03
   7111.50  1.8235028E-03
   7111.60  1.8542500E-03
   7111.70  1.8863985E-03
   7111.80  1.9196342E-03
   7111.90  1.9534049E-03
   7112.00  1.9870708E-03
   7112.10  2.0203091E-03
   7112.20  2.0529675E-03
   7112.30  2.0852464E-03
   7112.40  2.1175888E-03
   7112.50  2.1504923E-03
   7112.60  2.1843919E-03
   7112.70  2.2196234E-03
   7112.80  2.2564330E-03
   7112.90  2.2950032E-03
   7113.00  2.3354773E-03
   7113.10  2.3779803E-03
   7113.20  2.4226315E-03
   7113.30  2.4695532E-03
   7113.40  2.5188734E-03
   7113.50  2.5707280E-03
   7113.60  2.6252617E-03
   7113.70  2.6826308E-03
   7113.80  2.7430066E-03
   7113.90  2.8065780E-03
   7114.00  2.8735540E-03
   7114.10  2.9441660E-03
   7114.20  3.0186686E-03
   7114.30  3.0973408E-03
   7114.40  3.1804864E-03
   7114.50  3.2684357E-03
   7114.60  3.3615498E-03
   7114.70  3.4602276E-03
   7114.80  3.5649162E-03
   7114.90  3.6761200E-03
   7115.00  3.7944089E-03
   7115.10  3.9204264E-03
   7115.20  4.0548980E-03
   7115.30  4.1986417E-03
   7115.40  4.3525791E-03
   7115.50  4.5177501E-03
   7115.60  4.6953285E-03
   7115.70  4.8866395E-03
   7115.80  5.0931799E-03
   7115.90  5.3166379E-03
   7116.00  5.5589146E-03
   7116.10  5.8221441E-03
   7116.20  6.1087108E-03
   7116.30  6.4212612E-03
   7116.40  6.7627055E-03
   7116.50  7.1362009E-03
   7116.60  7.5451054E-03
   7116.70  7.9928807E-03
   7116.80  8.4829206E-03
   7116.90  9.0182763E-03
   7117.00  9.6012674E-03
   7117.20  1.0912830E-02
   7117.40  1.2403391E-02
   7117.60  1.4025692E-02
   7117.80  1.5719845E-02
   7118.00  1.7456877E-02
   7118.20  1.9261424E-02
   7118.40  2.1178008E-02
   7118.60  2.3209403E-02
   7118.80  2.5284074E-02
   7119.00  2.7275395E-02
   7119.20  2.9055956E-02
   7119.40  3.0555553E-02
   7119.60  3.1787917E-02
   7119.80  3.2826621E-02
   7120.00  3.3751993E-02
   7120.20  3.4615984E-02
   7120.40  3.5445579E-02
   7120.60  3.6264447E-02
   7120.80  3.7107431E-02
   7121.00  3.8023594E-02
   7121.20  3.9075090E-02
   7121.40  4.0334047E-02
   7121.60  4.1876004E-02
   7121.80  4.3771403E-02
   7122.00  4.6076670E-02
   7122.20  4.8823079E-02
   7122.40  5.2002591E-02
   7122.60  5.5555805E-02
   7122.80  5.9370406E-02
   7123.00  6.3294198E-02
   7123.20  6.7158453E-02
   7123.40  7.0801598E-02
   7123.60  7.4085331E-02
   7123.80  7.6903331E-02
   7124.00  7.9188177E-02
   7124.20  8.0919663E-02
   7124.40  8.2131962E-02
   7124.60  8.2913868E-02
   7124.80  8.3397224E-02
   7125.00  8.3733865E-02
   7125.20  8.4068126E-02
   7125.40  8.4514227E-02
   7125.60  8.5144019E-02
   7125.80  8.5985084E-02
   7126.00  8.7026082E-02
   7126.20  8.8225788E-02
   7126.40  8.9523009E-02
   7126.60  9.0845617E-02
   7126.80  9.2118092E-02
   7127.00  9.3267747E-02
   7127.20  9.4230013E-02
   7127.40  9.4952840E-02
   7127.60  9.5399837E-02
   7127.80  9.5551618E-02
   7128.00  9.5405082E-02
   7128.20  9.4970857E-02
   7128.40  9.4269627E-02
   7128.60  9.3328262E-02
   7128.80  9.2176579E-02
   7129.00  9.0845241E-02
   7129.20  8.9364802E-02
   7129.40  8.7765572E-02
   7129.60  8.6077783E-02
   7129.80  8.4331593E-02
   7130.00  8.2556675E-02
   7130.20  8.0781403E-02
   7130.40  7.9031804E-02
   7130.60  7.7330566E-02
   7130.80  7.5696315E-02
   7131.00  7.4143292E-02
   7131.20  7.2681446E-02
   7131.40  7.1316853E-02
   7131.60  7.0052342E-02
   7131.80  6.8888196E-02
   7132.00  6.7822818E-02
   7133.00  6.3852557E-02
   7134.00  6.1727947E-02
   7135.00  6.0867728E-02
   7136.00  6.0736341E-02
   7137.00  6.0919087E-02
   7138.00  6.1161253E-02
   7139.00  6.1305980E-02
   7140.00  6.1221570E-02
   7141.00  6.0792714E-02
   7142.00  5.9944207E-02
   7143.00  5.8662804E-02
   7144.00  5.7009540E-02
   7145.00  5.5113444E-02
   7146.00  5.3146213E-02
   7147.00  5.1287022E-02
   7148.00  4.9688463E-02
   7149.00  4.8455368E-02
   7150.00  4.7641100E-02
   7151.00  4.7256179E-02
   7152.00  4.7281021E-02
   7153.00  4.7677214E-02
   7154.00  4.8395238E-02
   7155.00  4.9378648E-02
   7156.00  5.0566216E-02
   7157.00  5.1893457E-02
   7158.00  5.3293166E-02
   7159.00  5.4695218E-02
   7160.00  5.6029268E-02
   7161.00  5.7233568E-02
   7162.00  5.8267159E-02
   7163.00  5.9118198E-02
   7164.00  5.9803613E-02
   7165.00  6.0361381E-02
   7166.00  6.0840203E-02
   7167.00  6.1290292E-02
   7168.00  6.1756057E-02
   7169.00  6.2270123E-02
   7170.00  6.2848952E-02
   7171.00  6.3491343E-02
   7172.00  6.4180758E-02
   7173.00  6.4891122E-02
   7174.00  6.5594408E-02
   7175.00  6.6267481E-02
   7176.00  6.6895829E-02
   7177.00  6.7473163E-02
   7178.00  6.7997970E-02
   7179.00  6.8469327E-02
   7180.00  6.8883941E-02
   7181.00  6.9235218E-02
   7182.00  6.9514351E-02
   7183.00  6.9712813E-02
   7184.00  6.9825006E-02
   7185.00  6.9849513E-02
   7186.00  6.9788101E-02
   7187.00  6.9643076E-02
   7188.00  6.9414816E-02
   7189.00  6.9101314E-02
   7190.00  6.8700217E-02
   7191.00  6.8212084E-02
   7192.00  6.7642958E-02
   7193.00  6.7005019E-02
   7194.00  6.6315437E-02
   7195.00  6.5594276E-02
   7196.00  6.4862367E-02
   7197.00  6.4139689E-02
   7198.00  6.3444359E-02
   7199.00  6.2792079E-02
   7200.00  6.2195718E-02
   7201.00  6.1664796E-02
   7202.00  6.1204828E-02
   7203.00  6.0816676E-02
   7204.00  6.0496281E-02
   7205.00  6.0235079E-02
   7206.00  6.0021254E-02
   7207.00  5.9841699E-02
   7208.00  5.9684272E-02
   7209.00  5.9539728E-02
   7210.00  5.9402704E-02
   7211.00  5.9271492E-02
   7212.00  5.9146858E-02
