    Energy    <xanes>    
   7072.00  9.9039390E-04
   7072.50  1.0024768E-03
   7073.00  1.0148300E-03
   7073.50  1.0274623E-03
   7074.00  1.0403832E-03
   7074.50  1.0536023E-03
   7075.00  1.0671300E-03
   7075.50  1.0809768E-03
   7076.00  1.0951539E-03
   7076.50  1.1096730E-03
   7077.00  1.1245463E-03
   7077.50  1.1397867E-03
   7078.00  1.1554075E-03
   7078.50  1.1714229E-03
   7079.00  1.1878476E-03
   7079.50  1.2046971E-03
   7080.00  1.2219879E-03
   7080.50  1.2397368E-03
   7081.00  1.2579621E-03
   7081.50  1.2766827E-03
   7082.00  1.2959186E-03
   7082.50  1.3156907E-03
   7083.00  1.3360213E-03
   7083.50  1.3569339E-03
   7084.00  1.3784531E-03
   7084.50  1.4006051E-03
   7085.00  1.4234176E-03
   7085.50  1.4469198E-03
   7086.00  1.4711427E-03
   7086.50  1.4961191E-03
   7087.00  1.5218838E-03
   7087.50  1.5484740E-03
   7088.00  1.5759289E-03
   7088.50  1.6042903E-03
   7089.00  1.6336028E-03
   7089.50  1.6639138E-03
   7090.00  1.6952739E-03
   7090.50  1.7277373E-03
   7091.00  1.7613618E-03
   7091.50  1.7962091E-03
   7092.00  1.8323455E-03
   7092.50  1.8698423E-03
   7093.00  1.9087756E-03
   7093.50  1.9492277E-03
   7094.00  1.9912869E-03
   7094.50  2.0350485E-03
   7095.00  2.0806155E-03
   7095.50  2.1280992E-03
   7096.00  2.1776201E-03
   7096.50  2.2293090E-03
   7097.00  2.2833080E-03
   7097.50  2.3397717E-03
   7098.00  2.3988688E-03
   7098.50  2.4607835E-03
   7099.00  2.5257176E-03
   7099.50  2.5938924E-03
   7100.00  2.6655513E-03
   7100.50  2.7409625E-03
   7101.00  2.8204225E-03
   7101.50  2.9042597E-03
   7102.00  2.9928391E-03
   7102.50  3.0865674E-03
   7103.00  3.1858996E-03
   7103.50  3.2913462E-03
   7104.00  3.4034825E-03
   7104.50  3.5229595E-03
   7105.00  3.6505175E-03
   7105.50  3.7870030E-03
   7106.00  3.9333900E-03
   7106.50  4.0908075E-03
   7107.00  4.2605762E-03
   7107.10  4.2961447E-03
   7107.20  4.3322825E-03
   7107.30  4.3690041E-03
   7107.40  4.4063244E-03
   7107.50  4.4442589E-03
