    Energy    <xanes>    
   7072.00  1.0064922E-03
   7072.50  1.0188309E-03
   7073.00  1.0314481E-03
   7073.50  1.0443531E-03
   7074.00  1.0575556E-03
   7074.50  1.0710658E-03
   7075.00  1.0848945E-03
   7075.50  1.0990526E-03
   7076.00  1.1135519E-03
   7076.50  1.1284045E-03
   7077.00  1.1436233E-03
   7077.50  1.1592217E-03
   7078.00  1.1752136E-03
   7078.50  1.1916139E-03
   7079.00  1.2084381E-03
   7079.50  1.2257025E-03
   7080.00  1.2434240E-03
   7080.50  1.2616208E-03
   7081.00  1.2803118E-03
   7081.50  1.2995169E-03
   7082.00  1.3192571E-03
   7082.50  1.3395547E-03
   7083.00  1.3604329E-03
   7083.50  1.3819166E-03
   7084.00  1.4040318E-03
   7084.50  1.4268062E-03
   7085.00  1.4502689E-03
   7085.50  1.4744510E-03
   7086.00  1.4993852E-03
   7086.50  1.5251064E-03
   7087.00  1.5516515E-03
   7087.50  1.5790599E-03
   7088.00  1.6073734E-03
   7088.50  1.6366364E-03
   7089.00  1.6668965E-03
   7089.50  1.6982043E-03
   7090.00  1.7306138E-03
   7090.50  1.7641829E-03
   7091.00  1.7989734E-03
   7091.50  1.8350515E-03
   7092.00  1.8724886E-03
   7092.50  1.9113608E-03
   7093.00  1.9517505E-03
   7093.50  1.9937461E-03
   7094.00  2.0374429E-03
   7094.50  2.0829441E-03
   7095.00  2.1303611E-03
   7095.50  2.1798146E-03
   7096.00  2.2314355E-03
   7096.50  2.2853661E-03
   7097.00  2.3417615E-03
   7097.50  2.4007905E-03
   7098.00  2.4626377E-03
   7098.50  2.5275054E-03
   7099.00  2.5956153E-03
   7099.50  2.6672113E-03
   7100.00  2.7425625E-03
   7100.50  2.8219658E-03
   7101.00  2.9057505E-03
   7101.50  2.9942824E-03
   7102.00  3.0879692E-03
   7102.50  3.1872667E-03
   7103.00  3.2926862E-03
   7103.50  3.4048035E-03
   7104.00  3.5242700E-03
   7104.50  3.6518253E-03
   7105.00  3.7883138E-03
   7105.50  3.9347048E-03
   7106.00  4.0921183E-03
   7106.50  4.2618576E-03
   7107.00  4.4454536E-03
   7107.10  4.4839896E-03
   7107.20  4.5231676E-03
   7107.30  4.5630041E-03
   7107.40  4.6035167E-03
   7107.50  4.6447234E-03
   7107.60  4.6866430E-03
   7107.70  4.7292951E-03
   7107.80  4.7727001E-03
   7107.90  4.8168792E-03
   7108.00  4.8618548E-03
   7108.10  4.9076501E-03
   7108.20  4.9542893E-03
   7108.30  5.0017981E-03
   7108.40  5.0502030E-03
   7108.50  5.0995323E-03
   7108.60  5.1498156E-03
   7108.70  5.2010840E-03
   7108.80  5.2533706E-03
   7108.90  5.3067102E-03
   7109.00  5.3611401E-03
   7109.10  5.4166996E-03
   7109.20  5.4734310E-03
   7109.30  5.5313793E-03
   7109.40  5.5905931E-03
   7109.50  5.6511248E-03
   7109.60  5.7130311E-03
   7109.70  5.7763738E-03
   7109.80  5.8412207E-03
   7109.90  5.9076463E-03
   7110.00  5.9757332E-03
   7110.10  6.0455738E-03
   7110.20  6.1172718E-03
   7110.30  6.1909449E-03
   7110.40  6.2667277E-03
   7110.50  6.3447757E-03
   7110.60  6.4252696E-03
   7110.70  6.5084222E-03
   7110.80  6.5944850E-03
   7110.90  6.6837583E-03
   7111.00  6.7766010E-03
   7111.10  6.8734417E-03
   7111.20  6.9747877E-03
   7111.30  7.0812236E-03
   7111.40  7.1933900E-03
   7111.50  7.3119162E-03
   7111.60  7.4372789E-03
   7111.70  7.5695611E-03
   7111.80  7.7081498E-03
   7111.90  7.8515290E-03
   7112.00  7.9975678E-03
   7112.10  8.1447610E-03
   7112.20  8.2915050E-03
   7112.30  8.4371030E-03
   7112.40  8.5818389E-03
   7112.50  8.7266030E-03
   7112.60  8.8725281E-03
   7112.70  9.0207641E-03
   7112.80  9.1723740E-03
   7112.90  9.3283013E-03
   7113.00  9.4893736E-03
   7113.10  9.6563204E-03
   7113.20  9.8297934E-03
   7113.30  1.0010388E-02
   7113.40  1.0198667E-02
   7113.50  1.0395187E-02
   7113.60  1.0600516E-02
   7113.70  1.0815249E-02
   7113.80  1.1040013E-02
   7113.90  1.1275463E-02
   7114.00  1.1522293E-02
   7114.10  1.1781243E-02
   7114.20  1.2053105E-02
   7114.30  1.2338740E-02
   7114.40  1.2639085E-02
   7114.50  1.2955170E-02
   7114.60  1.3288125E-02
   7114.70  1.3639194E-02
   7114.80  1.4009745E-02
   7114.90  1.4401275E-02
   7115.00  1.4815425E-02
   7115.10  1.5253991E-02
   7115.20  1.5718940E-02
   7115.30  1.6212432E-02
   7115.40  1.6736841E-02
   7115.50  1.7294784E-02
   7115.60  1.7889154E-02
   7115.70  1.8523157E-02
   7115.80  1.9200348E-02
   7115.90  1.9924677E-02
   7116.00  2.0700537E-02
   7116.10  2.1532809E-02
   7116.20  2.2426908E-02
   7116.30  2.3388792E-02
   7116.40  2.4424926E-02
   7116.50  2.5542164E-02
   7116.60  2.6747492E-02
   7116.70  2.8047643E-02
   7116.80  2.9448573E-02
   7116.90  3.0954924E-02
   7117.00  3.2569619E-02
   7117.20  3.6126904E-02
   7117.40  4.0114567E-02
   7117.60  4.4526426E-02
   7117.80  4.9382980E-02
   7118.00  5.4743290E-02
   7118.20  6.0692541E-02
   7118.40  6.7315758E-02
   7118.60  7.4671575E-02
   7118.80  8.2765185E-02
   7119.00  9.1517123E-02
   7119.20  1.0074398E-01
   7119.40  1.1016258E-01
   7119.60  1.1940651E-01
