    Energy    <xanes>    
  17958.00  5.9689630E-04
  17958.50  6.0382528E-04
  17959.00  6.1090596E-04
  17959.50  6.1814336E-04
  17960.00  6.2554269E-04
  17960.50  6.3310940E-04
  17961.00  6.4084921E-04
  17961.50  6.4876809E-04
  17962.00  6.5687227E-04
  17962.50  6.6516830E-04
  17963.00  6.7366303E-04
  17963.50  6.8236363E-04
  17964.00  6.9127765E-04
  17964.50  7.0041297E-04
  17965.00  7.0977791E-04
  17965.50  7.1938117E-04
  17966.00  7.2923194E-04
  17966.50  7.3933985E-04
  17967.00  7.4971505E-04
  17967.50  7.6036824E-04
  17968.00  7.7131070E-04
  17968.50  7.8255432E-04
  17969.00  7.9411167E-04
  17969.50  8.0599601E-04
  17970.00  8.1822138E-04
  17970.50  8.3080263E-04
  17971.00  8.4375549E-04
  17971.50  8.5709664E-04
  17972.00  8.7084376E-04
  17972.50  8.8501567E-04
  17973.00  8.9963234E-04
  17973.50  9.1471503E-04
  17974.00  9.3028640E-04
  17974.50  9.4637061E-04
  17975.00  9.6299345E-04
  17975.50  9.8018250E-04
  17976.00  9.9796726E-04
  17976.50  1.0163794E-03
  17977.00  1.0354527E-03
  17977.50  1.0552238E-03
  17978.00  1.0757319E-03
  17978.50  1.0970191E-03
  17979.00  1.1191312E-03
  17979.50  1.1421175E-03
  17980.00  1.1660315E-03
  17980.50  1.1909310E-03
  17981.00  1.2168791E-03
  17981.50  1.2439444E-03
  17982.00  1.2722019E-03
  17982.50  1.3017337E-03
  17983.00  1.3326295E-03
  17983.50  1.3649883E-03
  17984.00  1.3989193E-03
  17984.50  1.4345429E-03
  17985.00  1.4719930E-03
  17985.50  1.5114186E-03
  17986.00  1.5529860E-03
  17986.50  1.5968820E-03
  17987.00  1.6433170E-03
  17987.50  1.6925288E-03
  17988.00  1.7447885E-03
  17988.50  1.8004057E-03
  17989.00  1.8597373E-03
  17989.50  1.9231964E-03
  17990.00  1.9912659E-03
  17990.50  2.0645143E-03
  17991.00  2.1436173E-03
  17991.50  2.2293866E-03
  17992.00  2.3228090E-03
  17992.50  2.4250992E-03
  17993.00  2.5377749E-03
  17993.10  2.5617172E-03
  17993.20  2.5861679E-03
  17993.30  2.6111458E-03
  17993.40  2.6366706E-03
  17993.50  2.6627630E-03
  17993.60  2.6894449E-03
  17993.70  2.7167396E-03
  17993.80  2.7446714E-03
  17993.90  2.7732662E-03
  17994.00  2.8025514E-03
  17994.10  2.8325560E-03
  17994.20  2.8633106E-03
  17994.30  2.8948479E-03
  17994.40  2.9272023E-03
  17994.50  2.9604106E-03
  17994.60  2.9945116E-03
  17994.70  3.0295468E-03
  17994.80  3.0655601E-03
  17994.90  3.1025982E-03
  17995.00  3.1407109E-03
  17995.10  3.1799511E-03
  17995.20  3.2203748E-03
  17995.30  3.2620419E-03
  17995.40  3.3050158E-03
  17995.50  3.3493638E-03
  17995.60  3.3951574E-03
  17995.70  3.4424722E-03
  17995.80  3.4913881E-03
  17995.90  3.5419893E-03
  17996.00  3.5943644E-03
  17996.10  3.6486063E-03
  17996.20  3.7048115E-03
  17996.30  3.7630803E-03
  17996.40  3.8235160E-03
  17996.50  3.8862241E-03
  17996.60  3.9513108E-03
  17996.70  4.0188825E-03
  17996.80  4.0890432E-03
  17996.90  4.1618927E-03
  17997.00  4.2375243E-03
  17997.10  4.3160214E-03
  17997.20  4.3974543E-03
  17997.30  4.4818766E-03
  17997.40  4.5693210E-03
  17997.50  4.6597950E-03
  17997.60  4.7532767E-03
  17997.70  4.8497105E-03
  17997.80  4.9490036E-03
  17997.90  5.0510219E-03
  17998.00  5.1555884E-03
  17998.10  5.2625733E-03
  17998.20  5.3718003E-03
  17998.30  5.4829593E-03
  17998.40  5.5957054E-03
  17998.50  5.7096691E-03
  17998.60  5.8244686E-03
  17998.70  5.9397258E-03
  17998.80  6.0550829E-03
  17998.90  6.1702204E-03
  17999.00  6.2848720E-03
  17999.10  6.3988372E-03
  17999.20  6.5119876E-03
  17999.30  6.6242688E-03
  17999.40  6.7356958E-03
  17999.50  6.8463440E-03
  17999.60  6.9563382E-03
  17999.70  7.0658413E-03
  17999.80  7.1750456E-03
  17999.90  7.2841689E-03
  18000.00  7.3934559E-03
  18000.10  7.5031854E-03
  18000.20  7.6136817E-03
  18000.30  7.7253277E-03
  18000.40  7.8385766E-03
  18000.50  7.9539592E-03
  18000.60  8.0720850E-03
  18000.70  8.1936344E-03
  18000.80  8.3193439E-03
  18000.90  8.4499837E-03
  18001.00  8.5863316E-03
  18001.10  8.7291437E-03
  18001.20  8.8791263E-03
  18001.30  9.0369084E-03
  18001.40  9.2030190E-03
  18001.50  9.3778662E-03
  18001.60  9.5617213E-03
  18001.70  9.7547062E-03
  18001.80  9.9567843E-03
  18001.90  1.0167756E-02
  18002.00  1.0387258E-02
  18002.10  1.0614768E-02
  18002.20  1.0849618E-02
  18002.30  1.1091016E-02
  18002.40  1.1338069E-02
  18002.50  1.1589827E-02
  18002.60  1.1845324E-02
  18002.70  1.2103629E-02
  18002.80  1.2363903E-02
  18002.90  1.2625442E-02
  18003.00  1.2887727E-02
  18003.20  1.3413564E-02
  18003.40  1.3941815E-02
  18003.60  1.4476383E-02
  18003.80  1.5023707E-02
  18004.00  1.5591338E-02
  18004.20  1.6186512E-02
  18004.40  1.6815000E-02
  18004.60  1.7480323E-02
  18004.80  1.8183314E-02
  18005.00  1.8921951E-02
  18005.20  1.9691451E-02
  18005.40  2.0484641E-02
  18005.60  2.1292623E-02
  18005.80  2.2105734E-02
  18006.00  2.2914683E-02
  18006.20  2.3711711E-02
  18006.40  2.4491562E-02
  18006.60  2.5252076E-02
  18006.80  2.5994311E-02
  18007.00  2.6722196E-02
  18007.20  2.7441819E-02
  18007.40  2.8160529E-02
  18007.60  2.8886011E-02
  18007.80  2.9625491E-02
  18008.00  3.0385121E-02
  18008.20  3.1169588E-02
  18008.40  3.1981886E-02
  18008.60  3.2823209E-02
  18008.80  3.3692919E-02
  18009.00  3.4588556E-02
  18009.20  3.5505905E-02
  18009.40  3.6439129E-02
  18009.60  3.7381001E-02
  18009.80  3.8323254E-02
  18010.00  3.9257042E-02
  18010.20  4.0173479E-02
  18010.40  4.1064188E-02
  18010.60  4.1921797E-02
  18010.80  4.2740305E-02
  18011.00  4.3515262E-02
  18011.20  4.4243785E-02
  18011.40  4.4924401E-02
  18011.60  4.5556803E-02
  18011.80  4.6141561E-02
  18012.00  4.6679848E-02
  18012.20  4.7173211E-02
  18012.40  4.7623412E-02
  18012.60  4.8032311E-02
  18012.80  4.8401817E-02
  18013.00  4.8733847E-02
  18013.20  4.9030324E-02
  18013.40  4.9293171E-02
  18013.60  4.9524316E-02
  18013.80  4.9725701E-02
  18014.00  4.9899279E-02
  18014.20  5.0047027E-02
  18014.40  5.0170943E-02
  18014.60  5.0273044E-02
  18014.80  5.0355367E-02
  18015.00  5.0419954E-02
  18015.20  5.0468839E-02
  18015.40  5.0504026E-02
  18015.60  5.0527464E-02
  18015.80  5.0541018E-02
  18016.00  5.0546437E-02
  18016.20  5.0545328E-02
  18016.40  5.0539132E-02
  18016.60  5.0529110E-02
  18016.80  5.0516341E-02
  18017.00  5.0501722E-02
  18017.20  5.0485986E-02
  18017.40  5.0469727E-02
  18017.60  5.0453429E-02
  18017.80  5.0437496E-02
  18018.00  5.0422288E-02
  18019.00  5.0369658E-02
  18020.00  5.0394686E-02
  18021.00  5.0544564E-02
  18022.00  5.0820646E-02
  18023.00  5.1163295E-02
  18024.00  5.1476568E-02
  18025.00  5.1659027E-02
  18026.00  5.1622745E-02
  18027.00  5.1308316E-02
  18028.00  5.0702265E-02
  18029.00  4.9847353E-02
  18030.00  4.8832356E-02
  18031.00  4.7762207E-02
  18032.00  4.6725702E-02
  18033.00  4.5777647E-02
  18034.00  4.4938471E-02
  18035.00  4.4203849E-02
  18036.00  4.3556532E-02
  18037.00  4.2976627E-02
  18038.00  4.2449082E-02
  18039.00  4.1967560E-02
  18040.00  4.1534254E-02
  18041.00  4.1156579E-02
  18042.00  4.0842918E-02
  18043.00  4.0599450E-02
  18044.00  4.0428874E-02
  18045.00  4.0330674E-02
  18046.00  4.0302127E-02
  18047.00  4.0339412E-02
  18048.00  4.0438404E-02
  18049.00  4.0595022E-02
  18050.00  4.0805265E-02
  18051.00  4.1065212E-02
  18052.00  4.1371130E-02
  18053.00  4.1719578E-02
  18054.00  4.2107375E-02
  18055.00  4.2531427E-02
  18056.00  4.2988578E-02
  18057.00  4.3475589E-02
  18058.00  4.3989177E-02
  18059.00  4.4525900E-02
  18060.00  4.5081724E-02
  18061.00  4.5651256E-02
  18062.00  4.6226803E-02
  18063.00  4.6797552E-02
  18064.00  4.7349229E-02
  18065.00  4.7864581E-02
  18066.00  4.8324823E-02
  18067.00  4.8711894E-02
  18068.00  4.9011047E-02
  18069.00  4.9213176E-02
  18070.00  4.9316330E-02
  18071.00  4.9326127E-02
  18072.00  4.9255016E-02
  18073.00  4.9120566E-02
  18074.00  4.8943128E-02
  18075.00  4.8743340E-02
  18076.00  4.8539991E-02
  18077.00  4.8348601E-02
  18078.00  4.8180821E-02
  18079.00  4.8044492E-02
  18080.00  4.7944103E-02
  18081.00  4.7881396E-02
  18082.00  4.7855936E-02
  18083.00  4.7865557E-02
  18084.00  4.7906630E-02
