    Energy    <xanes>    
   7072.00  2.5626358E-04
   7072.50  2.5928233E-04
   7073.00  2.6236767E-04
   7073.50  2.6552178E-04
   7074.00  2.6874695E-04
   7074.50  2.7204559E-04
   7075.00  2.7542019E-04
   7075.50  2.7887338E-04
   7076.00  2.8240789E-04
   7076.50  2.8602659E-04
   7077.00  2.8973247E-04
   7077.50  2.9352869E-04
   7078.00  2.9741853E-04
   7078.50  3.0140546E-04
   7079.00  3.0549311E-04
   7079.50  3.0968527E-04
   7080.00  3.1398597E-04
   7080.50  3.1839940E-04
   7081.00  3.2293000E-04
   7081.50  3.2758242E-04
   7082.00  3.3236157E-04
   7082.50  3.3727264E-04
   7083.00  3.4232107E-04
   7083.50  3.4751263E-04
   7084.00  3.5285341E-04
   7084.50  3.5834984E-04
   7085.00  3.6400872E-04
   7085.50  3.6983727E-04
   7086.00  3.7584312E-04
   7086.50  3.8203437E-04
   7087.00  3.8841961E-04
   7087.50  3.9500799E-04
   7088.00  4.0180921E-04
   7088.50  4.0883362E-04
   7089.00  4.1609223E-04
   7089.50  4.2359679E-04
   7090.00  4.3135985E-04
   7090.50  4.3939483E-04
   7091.00  4.4771607E-04
   7091.50  4.5633896E-04
   7092.00  4.6527999E-04
   7092.50  4.7455690E-04
   7093.00  4.8418874E-04
   7093.50  4.9419605E-04
   7094.00  5.0460098E-04
   7094.50  5.1542748E-04
   7095.00  5.2670145E-04
   7095.50  5.3845098E-04
   7096.00  5.5070656E-04
   7096.50  5.6350139E-04
   7097.00  5.7687166E-04
   7097.50  5.9085691E-04
   7098.00  6.0550047E-04
   7098.50  6.2084989E-04
   7099.00  6.3695754E-04
   7099.50  6.5388121E-04
   7100.00  6.7168495E-04
   7100.50  6.9043992E-04
   7101.00  7.1022551E-04
   7101.50  7.3113064E-04
   7102.00  7.5325542E-04
   7102.50  7.7671310E-04
   7103.00  8.0163261E-04
   7103.50  8.2816172E-04
   7104.00  8.5647119E-04
   7104.50  8.8676025E-04
   7105.00  9.1926400E-04
   7105.50  9.5426378E-04
   7106.00  9.9210205E-04
   7106.50  1.0332047E-03
   7107.00  1.0781156E-03
   7107.10  1.0876140E-03
   7107.20  1.0972995E-03
   7107.30  1.1071794E-03
   7107.40  1.1172613E-03
   7107.50  1.1275536E-03
   7107.60  1.1380654E-03
   7107.70  1.1488062E-03
   7107.80  1.1597864E-03
   7107.90  1.1710173E-03
   7108.00  1.1825111E-03
   7108.10  1.1942811E-03
   7108.20  1.2063419E-03
   7108.30  1.2187093E-03
   7108.40  1.2314007E-03
   7108.50  1.2444355E-03
   7108.60  1.2578348E-03
   7108.70  1.2716223E-03
   7108.80  1.2858243E-03
   7108.90  1.3004701E-03
   7109.00  1.3155929E-03
   7109.10  1.3312300E-03
   7109.20  1.3474235E-03
   7109.30  1.3642217E-03
   7109.40  1.3816796E-03
   7109.50  1.3998606E-03
   7109.60  1.4188379E-03
   7109.70  1.4386968E-03
   7109.80  1.4595369E-03
   7109.90  1.4814755E-03
   7110.00  1.5046513E-03
   7110.10  1.5292295E-03
   7110.20  1.5554085E-03
   7110.30  1.5834271E-03
   7110.40  1.6135758E-03
   7110.50  1.6462092E-03
   7110.60  1.6817633E-03
   7110.70  1.7207770E-03
   7110.80  1.7639184E-03
   7110.90  1.8120176E-03
   7111.00  1.8661050E-03
   7111.10  1.9274491E-03
   7111.20  1.9975869E-03
   7111.30  2.0783194E-03
   7111.40  2.1716241E-03
   7111.50  2.2793987E-03
   7111.60  2.4029103E-03
   7111.70  2.5418448E-03
   7111.80  2.6930460E-03
   7111.90  2.8494747E-03
   7112.00  3.0003427E-03
   7112.10  3.1329837E-03
   7112.20  3.2354955E-03
