    Energy    <xanes>    
   7072.00  1.2977833E-04
   7072.50  1.3133458E-04
   7073.00  1.3292571E-04
   7073.50  1.3455287E-04
   7074.00  1.3621729E-04
   7074.50  1.3792024E-04
   7075.00  1.3966305E-04
   7075.50  1.4144712E-04
   7076.00  1.4327391E-04
   7076.50  1.4514495E-04
   7077.00  1.4706183E-04
   7077.50  1.4902623E-04
   7078.00  1.5103992E-04
   7078.50  1.5310475E-04
   7079.00  1.5522264E-04
   7079.50  1.5739564E-04
   7080.00  1.5962591E-04
   7080.50  1.6191568E-04
   7081.00  1.6426733E-04
   7081.50  1.6668337E-04
   7082.00  1.6916643E-04
   7082.50  1.7171928E-04
   7083.00  1.7434488E-04
   7083.50  1.7704630E-04
   7084.00  1.7982684E-04
   7084.50  1.8268995E-04
   7085.00  1.8563930E-04
   7085.50  1.8867879E-04
   7086.00  1.9181253E-04
   7086.50  1.9504490E-04
   7087.00  1.9838054E-04
   7087.50  2.0182440E-04
   7088.00  2.0538173E-04
   7088.50  2.0905813E-04
   7089.00  2.1285957E-04
   7089.50  2.1679242E-04
   7090.00  2.2086349E-04
   7090.50  2.2508006E-04
   7091.00  2.2944993E-04
   7091.50  2.3398145E-04
   7092.00  2.3868358E-04
   7092.50  2.4356598E-04
   7093.00  2.4863901E-04
   7093.50  2.5391384E-04
   7094.00  2.5940253E-04
   7094.50  2.6511810E-04
   7095.00  2.7107465E-04
   7095.50  2.7728746E-04
   7096.00  2.8377311E-04
   7096.50  2.9054963E-04
   7097.00  2.9763667E-04
   7097.50  3.0505568E-04
   7098.00  3.1283009E-04
   7098.50  3.2098561E-04
   7099.00  3.2955044E-04
   7099.50  3.3855565E-04
   7100.00  3.4803548E-04
   7100.50  3.5802785E-04
   7101.00  3.6857476E-04
   7101.50  3.7972296E-04
   7102.00  3.9152458E-04
   7102.50  4.0403797E-04
   7103.00  4.1732866E-04
   7103.50  4.3147049E-04
   7104.00  4.4654704E-04
   7104.50  4.6265329E-04
   7105.00  4.7989772E-04
