    Energy    <xanes>    
   7072.00  2.6242092E-04
   7072.50  2.6558835E-04
   7073.00  2.6882764E-04
   7073.50  2.7214124E-04
   7074.00  2.7553168E-04
   7074.50  2.7900164E-04
   7075.00  2.8255392E-04
   7075.50  2.8619144E-04
   7076.00  2.8991726E-04
   7076.50  2.9373460E-04
   7077.00  2.9764681E-04
   7077.50  3.0165743E-04
   7078.00  3.0577017E-04
   7078.50  3.0998893E-04
   7079.00  3.1431780E-04
   7079.50  3.1876108E-04
   7080.00  3.2332331E-04
   7080.50  3.2800926E-04
   7081.00  3.3282395E-04
   7081.50  3.3777269E-04
   7082.00  3.4286107E-04
   7082.50  3.4809499E-04
   7083.00  3.5348070E-04
   7083.50  3.5902480E-04
   7084.00  3.6473426E-04
   7084.50  3.7061648E-04
   7085.00  3.7667931E-04
   7085.50  3.8293105E-04
   7086.00  3.8938053E-04
   7086.50  3.9603713E-04
   7087.00  4.0291083E-04
   7087.50  4.1001225E-04
   7088.00  4.1735271E-04
   7088.50  4.2494428E-04
   7089.00  4.3279984E-04
   7089.50  4.4093319E-04
   7090.00  4.4935904E-04
   7090.50  4.5809321E-04
   7091.00  4.6715262E-04
   7091.50  4.7655546E-04
   7092.00  4.8632128E-04
   7092.50  4.9647113E-04
   7093.00  5.0702770E-04
   7093.50  5.1801547E-04
   7094.00  5.2946093E-04
   7094.50  5.4139273E-04
   7095.00  5.5384195E-04
   7095.50  5.6684235E-04
   7096.00  5.8043064E-04
   7096.50  5.9464685E-04
   7097.00  6.0953469E-04
   7097.50  6.2514195E-04
   7098.00  6.4152104E-04
   7098.50  6.5872953E-04
   7099.00  6.7683082E-04
   7099.50  6.9589484E-04
   7100.00  7.1599900E-04
   7100.50  7.3722913E-04
   7101.00  7.5968071E-04
   7101.50  7.8346027E-04
   7102.00  8.0868699E-04
   7102.50  8.3549472E-04
   7103.00  8.6403426E-04
   7103.50  8.9447619E-04
   7104.00  9.2701426E-04
   7104.50  9.6186955E-04
   7105.00  9.9929554E-04
   7105.50  1.0395845E-03
   7106.00  1.0830755E-03
   7106.50  1.1301646E-03
   7107.00  1.1813185E-03
   7107.10  1.1920841E-03
   7107.20  1.2030391E-03
   7107.30  1.2141885E-03
   7107.40  1.2255378E-03
   7107.50  1.2370924E-03
   7107.60  1.2488580E-03
   7107.70  1.2608407E-03
   7107.80  1.2730467E-03
   7107.90  1.2854825E-03
   7108.00  1.2981548E-03
   7108.10  1.3110709E-03
   7108.20  1.3242380E-03
   7108.30  1.3376639E-03
   7108.40  1.3513568E-03
   7108.50  1.3653252E-03
   7108.60  1.3795781E-03
   7108.70  1.3941249E-03
   7108.80  1.4089756E-03
   7108.90  1.4241407E-03
   7109.00  1.4396313E-03
   7109.10  1.4554593E-03
   7109.20  1.4716374E-03
   7109.30  1.4881788E-03
   7109.40  1.5050982E-03
   7109.50  1.5224109E-03
   7109.60  1.5401337E-03
   7109.70  1.5582848E-03
   7109.80  1.5768841E-03
   7109.90  1.5959534E-03
   7110.00  1.6155165E-03
   7110.10  1.6356005E-03
   7110.20  1.6562352E-03
   7110.30  1.6774546E-03
   7110.40  1.6992976E-03
   7110.50  1.7218088E-03
   7110.60  1.7450402E-03
   7110.70  1.7690527E-03
   7110.80  1.7939187E-03
   7110.90  1.8197239E-03
   7111.00  1.8465706E-03
   7111.10  1.8745799E-03
   7111.20  1.9038926E-03
   7111.30  1.9346656E-03
   7111.40  1.9670592E-03
   7111.50  2.0012065E-03
   7111.60  2.0371547E-03
   7111.70  2.0747772E-03
   7111.80  2.1136808E-03
   7111.90  2.1531817E-03
   7112.00  2.1925281E-03
   7112.10  2.2312302E-03
   7112.20  2.2689715E-03
   7112.30  2.3058843E-03
   7112.40  2.3424336E-03
   7112.50  2.3792231E-03
   7112.60  2.4168459E-03
   7112.70  2.4558096E-03
   7112.80  2.4965194E-03
   7112.90  2.5392902E-03
   7113.00  2.5843686E-03
   7113.10  2.6319524E-03
   7113.20  2.6822070E-03
   7113.30  2.7352774E-03
   7113.40  2.7912991E-03
   7113.50  2.8504073E-03
   7113.60  2.9127441E-03
   7113.70  2.9784642E-03
   7113.80  3.0477387E-03
   7113.90  3.1207578E-03
   7114.00  3.1977328E-03
   7114.10  3.2788991E-03
   7114.20  3.3645174E-03
   7114.30  3.4548767E-03
   7114.40  3.5502971E-03
   7114.50  3.6511326E-03
   7114.60  3.7577754E-03
   7114.70  3.8706600E-03
   7114.80  3.9902680E-03
   7114.90  4.1171345E-03
   7115.00  4.2518545E-03
   7115.10  4.3950905E-03
   7115.20  4.5475817E-03
