    Energy    <xanes>    
   7072.00  2.5870272E-04
   7072.50  2.6191119E-04
   7073.00  2.6519380E-04
   7073.50  2.6855309E-04
   7074.00  2.7199176E-04
   7074.50  2.7551261E-04
   7075.00  2.7911856E-04
   7075.50  2.8281271E-04
   7076.00  2.8659826E-04
   7076.50  2.9047861E-04
   7077.00  2.9445730E-04
   7077.50  2.9853807E-04
   7078.00  3.0272484E-04
   7078.50  3.0702172E-04
   7079.00  3.1143306E-04
   7079.50  3.1596341E-04
   7080.00  3.2061758E-04
   7080.50  3.2540065E-04
   7081.00  3.3031796E-04
   7081.50  3.3537516E-04
   7082.00  3.4057821E-04
   7082.50  3.4593342E-04
   7083.00  3.5144745E-04
   7083.50  3.5712738E-04
   7084.00  3.6298069E-04
   7084.50  3.6901532E-04
   7085.00  3.7523970E-04
   7085.50  3.8166278E-04
   7086.00  3.8829408E-04
   7086.50  3.9514375E-04
   7087.00  4.0222259E-04
   7087.50  4.0954210E-04
   7088.00  4.1711461E-04
   7088.50  4.2495324E-04
   7089.00  4.3307206E-04
   7089.50  4.4148614E-04
   7090.00  4.5021163E-04
   7090.50  4.5926588E-04
   7091.00  4.6866754E-04
   7091.50  4.7843670E-04
   7092.00  4.8859499E-04
   7092.50  4.9916577E-04
   7093.00  5.1017431E-04
   7093.50  5.2164796E-04
   7094.00  5.3361636E-04
   7094.50  5.4611174E-04
   7095.00  5.5916914E-04
   7095.50  5.7282678E-04
   7096.00  5.8712638E-04
   7096.50  6.0211359E-04
   7097.00  6.1783849E-04
   7097.50  6.3435608E-04
   7098.00  6.5172694E-04
   7098.50  6.7001795E-04
   7099.00  6.8930312E-04
   7099.50  7.0966455E-04
   7100.00  7.3119361E-04
   7100.50  7.5399224E-04
   7101.00  7.7817454E-04
   7101.50  8.0386862E-04
   7102.00  8.3121887E-04
   7102.50  8.6038855E-04
   7103.00  8.9156307E-04
   7103.50  9.2495382E-04
   7104.00  9.6080292E-04
   7104.50  9.9938905E-04
   7105.00  1.0410346E-03
   7105.50  1.0861149E-03
   7106.00  1.1350692E-03
   7106.50  1.1884154E-03
   7107.00  1.2467692E-03
   7107.10  1.2591033E-03
   7107.20  1.2716732E-03
   7107.30  1.2844859E-03
   7107.40  1.2975484E-03
   7107.50  1.3108680E-03
   7107.60  1.3244526E-03
   7107.70  1.3383100E-03
   7107.80  1.3524487E-03
   7107.90  1.3668773E-03
   7108.00  1.3816049E-03
   7108.10  1.3966409E-03
   7108.20  1.4119952E-03
   7108.30  1.4276782E-03
   7108.40  1.4437006E-03
   7108.50  1.4600737E-03
   7108.60  1.4768093E-03
   7108.70  1.4939199E-03
   7108.80  1.5114185E-03
   7108.90  1.5293187E-03
   7109.00  1.5476349E-03
   7109.10  1.5663822E-03
   7109.20  1.5855765E-03
   7109.30  1.6052348E-03
   7109.40  1.6253747E-03
   7109.50  1.6460151E-03
   7109.60  1.6671761E-03
   7109.70  1.6888789E-03
   7109.80  1.7111463E-03
   7109.90  1.7340025E-03
   7110.00  1.7574735E-03
   7110.10  1.7815875E-03
   7110.20  1.8063750E-03
   7110.30  1.8318688E-03
   7110.40  1.8581053E-03
   7110.50  1.8851242E-03
   7110.60  1.9129697E-03
   7110.70  1.9416908E-03
   7110.80  1.9713431E-03
   7110.90  2.0019891E-03
   7111.00  2.0337003E-03
   7111.10  2.0665577E-03
   7111.20  2.1006532E-03
   7111.30  2.1360884E-03
   7111.40  2.1729706E-03
   7111.50  2.2114016E-03
   7111.60  2.2514561E-03
   7111.70  2.2931476E-03
   7111.80  2.3363906E-03
   7111.90  2.3809866E-03
   7112.00  2.4267333E-03
   7112.10  2.4736967E-03
   7112.20  2.5218494E-03
   7112.30  2.5713020E-03
   7112.40  2.6222860E-03
   7112.50  2.6750800E-03
   7112.60  2.7299610E-03
   7112.70  2.7871861E-03
   7112.80  2.8469936E-03
   7112.90  2.9096115E-03
   7113.00  2.9752672E-03
   7113.10  3.0441949E-03
   7113.20  3.1166417E-03
   7113.30  3.1928717E-03
   7113.40  3.2731697E-03
   7113.50  3.3578438E-03
   7113.60  3.4472286E-03
   7113.70  3.5416877E-03
   7113.80  3.6416167E-03
   7113.90  3.7474482E-03
   7114.00  3.8596561E-03
   7114.10  3.9787622E-03
