    Energy    <xanes>    
   7072.00  1.2701812E-04
   7072.50  1.2850793E-04
   7073.00  1.3003031E-04
   7073.50  1.3158630E-04
   7074.00  1.3317703E-04
   7074.50  1.3480365E-04
   7075.00  1.3646738E-04
   7075.50  1.3816947E-04
   7076.00  1.3991126E-04
   7076.50  1.4169412E-04
   7077.00  1.4351952E-04
   7077.50  1.4538896E-04
   7078.00  1.4730404E-04
   7078.50  1.4926644E-04
   7079.00  1.5127789E-04
   7079.50  1.5334025E-04
   7080.00  1.5545543E-04
   7080.50  1.5762547E-04
   7081.00  1.5985251E-04
   7081.50  1.6213879E-04
   7082.00  1.6448668E-04
   7082.50  1.6689866E-04
   7083.00  1.6937738E-04
   7083.50  1.7192560E-04
   7084.00  1.7454625E-04
   7084.50  1.7724244E-04
   7085.00  1.8001743E-04
   7085.50  1.8287470E-04
   7086.00  1.8581792E-04
   7086.50  1.8885100E-04
   7087.00  1.9197806E-04
   7087.50  1.9520350E-04
   7088.00  1.9853201E-04
   7088.50  2.0196855E-04
   7089.00  2.0551843E-04
   7089.50  2.0918732E-04
   7090.00  2.1298126E-04
   7090.50  2.1690672E-04
   7091.00  2.2097062E-04
   7091.50  2.2518038E-04
   7092.00  2.2954398E-04
   7092.50  2.3406999E-04
   7093.00  2.3876764E-04
   7093.50  2.4364688E-04
   7094.00  2.4871848E-04
   7094.50  2.5399407E-04
   7095.00  2.5948629E-04
   7095.50  2.6520886E-04
   7096.00  2.7117671E-04
   7096.50  2.7740615E-04
   7097.00  2.8391503E-04
   7097.50  2.9072293E-04
   7098.00  2.9785140E-04
   7098.50  3.0532420E-04
   7099.00  3.1316769E-04
   7099.50  3.2141114E-04
   7100.00  3.3008724E-04
   7100.50  3.3923265E-04
   7101.00  3.4888870E-04
   7101.50  3.5910224E-04
   7102.00  3.6992676E-04
   7102.50  3.8142370E-04
   7103.00  3.9366431E-04
   7103.50  4.0673198E-04
   7104.00  4.2072536E-04
   7104.50  4.3576275E-04
   7105.00  4.5198809E-04
   7105.50  4.6957966E-04
   7106.00  4.8876296E-04
   7106.50  5.0983030E-04
   7107.00  5.3317183E-04
   7107.10  5.3815705E-04
   7107.20  5.4325931E-04
   7107.30  5.4848422E-04
   7107.40  5.5383787E-04
   7107.50  5.5932680E-04
   7107.60  5.6495813E-04
   7107.70  5.7073955E-04
   7107.80  5.7667945E-04
   7107.90  5.8278695E-04
   7108.00  5.8907202E-04
   7108.10  5.9554560E-04
   7108.20  6.0221965E-04
   7108.30  6.0910736E-04
   7108.40  6.1622327E-04
   7108.50  6.2358349E-04
   7108.60  6.3120585E-04
   7108.70  6.3911023E-04
   7108.80  6.4731879E-04
   7108.90  6.5585637E-04
   7109.00  6.6475085E-04
   7109.10  6.7403370E-04
   7109.20  6.8374050E-04
   7109.30  6.9391166E-04
   7109.40  7.0459328E-04
   7109.50  7.1583813E-04
   7109.60  7.2770689E-04
   7109.70  7.4026965E-04
   7109.80  7.5360773E-04
   7109.90  7.6781598E-04
