    Energy    <xanes>    
   7072.00  1.1722227E-03
   7072.50  1.1868268E-03
   7073.00  1.2017701E-03
   7073.50  1.2170643E-03
   7074.00  1.2327216E-03
   7074.50  1.2487550E-03
   7075.00  1.2651780E-03
   7075.50  1.2820047E-03
   7076.00  1.2992499E-03
   7076.50  1.3169292E-03
   7077.00  1.3350589E-03
   7077.50  1.3536562E-03
   7078.00  1.3727392E-03
   7078.50  1.3923267E-03
   7079.00  1.4124387E-03
   7079.50  1.4330963E-03
   7080.00  1.4543216E-03
   7080.50  1.4761379E-03
   7081.00  1.4985699E-03
   7081.50  1.5216437E-03
   7082.00  1.5453865E-03
   7082.50  1.5698276E-03
   7083.00  1.5949978E-03
   7083.50  1.6209295E-03
   7084.00  1.6476573E-03
   7084.50  1.6752178E-03
   7085.00  1.7036500E-03
   7085.50  1.7329952E-03
   7086.00  1.7632973E-03
   7086.50  1.7946032E-03
   7087.00  1.8269628E-03
   7087.50  1.8604293E-03
   7088.00  1.8950596E-03
   7088.50  1.9309144E-03
   7089.00  1.9680589E-03
   7089.50  2.0065627E-03
   7090.00  2.0465006E-03
   7090.50  2.0879531E-03
   7091.00  2.1310065E-03
   7091.50  2.1757538E-03
   7092.00  2.2222956E-03
   7092.50  2.2707403E-03
   7093.00  2.3212050E-03
   7093.50  2.3738170E-03
   7094.00  2.4287141E-03
   7094.50  2.4860463E-03
   7095.00  2.5459767E-03
   7095.50  2.6086836E-03
   7096.00  2.6743617E-03
   7096.50  2.7432242E-03
   7097.00  2.8155055E-03
   7097.50  2.8914632E-03
   7098.00  2.9713816E-03
   7098.50  3.0555751E-03
   7099.00  3.1443922E-03
   7099.50  3.2382206E-03
   7100.00  3.3374928E-03
   7100.50  3.4426928E-03
   7101.00  3.5543640E-03
   7101.50  3.6731194E-03
   7102.00  3.7996526E-03
   7102.50  3.9347526E-03
   7103.00  4.0793209E-03
   7103.50  4.2343930E-03
   7104.00  4.4011660E-03
   7104.50  4.5810327E-03
   7105.00  4.7756263E-03
   7105.50  4.9868784E-03
   7106.00  5.2170978E-03
   7106.50  5.4690782E-03
   7107.00  5.7462523E-03
   7107.10  5.8050701E-03
   7107.20  5.8651033E-03
   7107.30  5.9263932E-03
   7107.40  5.9889836E-03
   7107.50  6.0529206E-03
   7107.60  6.1182527E-03
   7107.70  6.1850316E-03
   7107.80  6.2533116E-03
   7107.90  6.3231507E-03
   7108.00  6.3946104E-03
   7108.10  6.4677564E-03
   7108.20  6.5426586E-03
   7108.30  6.6193922E-03
   7108.40  6.6980374E-03
   7108.50  6.7786810E-03
   7108.60  6.8614164E-03
   7108.70  6.9463446E-03
   7108.80  7.0335758E-03
   7108.90  7.1232297E-03
   7109.00  7.2154376E-03
   7109.10  7.3103439E-03
   7109.20  7.4081082E-03
   7109.30  7.5089077E-03
   7109.40  7.6129404E-03
   7109.50  7.7204287E-03
   7109.60  7.8316240E-03
   7109.70  7.9468126E-03
   7109.80  8.0663229E-03
   7109.90  8.1905339E-03
   7110.00  8.3198871E-03
   7110.10  8.4549010E-03
   7110.20  8.5961890E-03
   7110.30  8.7444834E-03
   7110.40  8.9006654E-03
   7110.50  9.0658030E-03
   7110.60  9.2411995E-03
   7110.70  9.4284516E-03
   7110.80  9.6295183E-03
   7110.90  9.8467928E-03
   7111.00  1.0083161E-02
   7111.10  1.0342001E-02
   7111.20  1.0627044E-02
   7111.30  1.0941904E-02
   7111.40  1.1289011E-02
   7111.50  1.1667575E-02
   7111.60  1.2070419E-02
   7111.70  1.2480567E-02
   7111.80  1.2870383E-02
   7111.90  1.3207463E-02
   7112.00  1.3468577E-02
   7112.10  1.3650704E-02
   7112.20  1.3773184E-02
   7112.30  1.3867430E-02
   7112.40  1.3963535E-02
   7112.50  1.4082638E-02
   7112.60  1.4236104E-02
   7112.70  1.4428237E-02
   7112.80  1.4659608E-02
   7112.90  1.4929623E-02
   7113.00  1.5237972E-02
   7113.10  1.5585084E-02
   7113.20  1.5972065E-02
   7113.30  1.6400568E-02
   7113.40  1.6872789E-02
   7113.50  1.7391562E-02
   7113.60  1.7960498E-02
   7113.70  1.8584128E-02
   7113.80  1.9268054E-02
   7113.90  2.0019123E-02
   7114.00  2.0845631E-02
   7114.10  2.1757575E-02
   7114.20  2.2766953E-02
   7114.30  2.3888122E-02
   7114.40  2.5138198E-02
   7114.50  2.6537477E-02
   7114.60  2.8109823E-02
   7114.70  2.9882905E-02
   7114.80  3.1888082E-02
   7114.90  3.4159562E-02
   7115.00  3.6732253E-02
   7115.10  3.9637421E-02
   7115.20  4.2895036E-02
   7115.30  4.6501772E-02
   7115.40  5.0414719E-02
   7115.50  5.4533668E-02
   7115.60  5.8689825E-02
   7115.70  6.2653675E-02
   7115.80  6.6173387E-02
   7115.90  6.9041028E-02
   7116.00  7.1160988E-02
   7116.10  7.2583738E-02
   7116.20  7.3485781E-02
   7116.30  7.4110766E-02
   7116.40  7.4705767E-02
   7116.50  7.5478374E-02
   7116.60  7.6580136E-02
   7116.70  7.8108390E-02
   7116.80  8.0115880E-02
   7116.90  8.2620930E-02
   7117.00  8.5615025E-02
   7117.20  9.2928877E-02
   7117.40  1.0160167E-01
   7117.60  1.1099044E-01
   7117.80  1.2046181E-01
   7118.00  1.2963821E-01
   7118.20  1.3855249E-01
   7118.40  1.4760214E-01
   7118.60  1.5734953E-01
   7118.80  1.6829270E-01
   7119.00  1.8069842E-01
   7119.20  1.9451884E-01
   7119.40  2.0939082E-01
   7119.60  2.2472574E-01
   7119.80  2.3985426E-01
   7120.00  2.5411417E-01
   7120.20  2.6682764E-01
   7120.40  2.7732638E-01
   7120.60  2.8522047E-01
   7120.80  2.9075192E-01
   7121.00  2.9478940E-01
   7121.20  2.9837629E-01
   7121.40  3.0222875E-01
   7121.60  3.0651052E-01
