    Energy    <xanes>    
   7072.00  1.1655373E-03
   7072.50  1.1795454E-03
   7073.00  1.1938687E-03
   7073.50  1.2085178E-03
   7074.00  1.2235039E-03
   7074.50  1.2388384E-03
   7075.00  1.2545335E-03
   7075.50  1.2706020E-03
   7076.00  1.2870571E-03
   7076.50  1.3039128E-03
   7077.00  1.3211837E-03
   7077.50  1.3388851E-03
   7078.00  1.3570330E-03
   7078.50  1.3756445E-03
   7079.00  1.3947371E-03
   7079.50  1.4143296E-03
   7080.00  1.4344417E-03
   7080.50  1.4550939E-03
   7081.00  1.4763080E-03
   7081.50  1.4981071E-03
   7082.00  1.5205152E-03
   7082.50  1.5435580E-03
   7083.00  1.5672624E-03
   7083.50  1.5916570E-03
   7084.00  1.6167721E-03
   7084.50  1.6426395E-03
   7085.00  1.6692932E-03
   7085.50  1.6967692E-03
   7086.00  1.7251055E-03
   7086.50  1.7543429E-03
   7087.00  1.7845243E-03
   7087.50  1.8156959E-03
   7088.00  1.8479065E-03
   7088.50  1.8812084E-03
   7089.00  1.9156574E-03
   7089.50  1.9513132E-03
   7090.00  1.9882396E-03
   7090.50  2.0265052E-03
   7091.00  2.0661835E-03
   7091.50  2.1073535E-03
   7092.00  2.1501001E-03
   7092.50  2.1945152E-03
   7093.00  2.2406975E-03
   7093.50  2.2887541E-03
   7094.00  2.3388009E-03
   7094.50  2.3909637E-03
   7095.00  2.4453791E-03
   7095.50  2.5021960E-03
   7096.00  2.5615770E-03
   7096.50  2.6237001E-03
   7097.00  2.6887604E-03
   7097.50  2.7569725E-03
   7098.00  2.8285732E-03
   7098.50  2.9038243E-03
   7099.00  2.9830166E-03
   7099.50  3.0664740E-03
   7100.00  3.1545590E-03
   7100.50  3.2476789E-03
   7101.00  3.3462936E-03
   7101.50  3.4509255E-03
   7102.00  3.5621718E-03
   7102.50  3.6807201E-03
   7103.00  3.8073686E-03
   7103.50  3.9430534E-03
   7104.00  4.0888843E-03
   7104.50  4.2461955E-03
   7105.00  4.4166164E-03
   7105.50  4.6021759E-03
   7106.00  4.8054598E-03
   7106.50  5.0298574E-03
   7107.00  5.2799670E-03
   7107.10  5.3336017E-03
   7107.20  5.3885793E-03
   7107.30  5.4449691E-03
   7107.40  5.5028462E-03
   7107.50  5.5622928E-03
   7107.60  5.6233981E-03
   7107.70  5.6862600E-03
   7107.80  5.7509859E-03
   7107.90  5.8176940E-03
   7108.00  5.8865144E-03
   7108.10  5.9575915E-03
   7108.20  6.0310853E-03
   7108.30  6.1071741E-03
   7108.40  6.1860571E-03
   7108.50  6.2679577E-03
   7108.60  6.3531272E-03
   7108.70  6.4418497E-03
   7108.80  6.5344470E-03
   7108.90  6.6312859E-03
   7109.00  6.7327854E-03
   7109.10  6.8394270E-03
   7109.20  6.9517662E-03
   7109.30  7.0704468E-03
   7109.40  7.1962189E-03
   7109.50  7.3299606E-03
   7109.60  7.4727059E-03
   7109.70  7.6256784E-03
   7109.80  7.7903348E-03
   7109.90  7.9684196E-03
   7110.00  8.1620339E-03
   7110.10  8.3737245E-03
   7110.20  8.6065971E-03
   7110.30  8.8644618E-03
   7110.40  9.1520203E-03
   7110.50  9.4751051E-03
   7110.60  9.8409838E-03
   7110.70  1.0258738E-02
   7110.80  1.0739720E-02
   7110.90  1.1298069E-02
   7111.00  1.1951212E-02
   7111.10  1.2720153E-02
   7111.20  1.3629111E-02
   7111.30  1.4703622E-02
   7111.40  1.5965426E-02
   7111.50  1.7421634E-02
   7111.60  1.9045536E-02
   7111.70  2.0750029E-02
   7111.80  2.2365965E-02
   7111.90  2.3654562E-02
   7112.00  2.4381514E-02
   7112.10  2.4430008E-02
   7112.20  2.3868449E-02
   7112.30  2.2906155E-02
   7112.40  2.1782978E-02
   7112.50  2.0682328E-02
   7112.60  1.9703822E-02
   7112.70  1.8876915E-02
   7112.80  1.8187674E-02
   7112.90  1.7603883E-02
   7113.00  1.7093807E-02
   7113.10  1.6637112E-02
   7113.20  1.6227459E-02
   7113.30  1.5868434E-02
   7113.40  1.5567028E-02
   7113.50  1.5328683E-02
   7113.60  1.5155319E-02
   7113.70  1.5045568E-02
   7113.80  1.4995898E-02
   7113.90  1.5001797E-02
   7114.00  1.5058632E-02
   7114.10  1.5162179E-02
   7114.20  1.5308873E-02
   7114.30  1.5495899E-02
   7114.40  1.5721187E-02
   7114.50  1.5983373E-02
   7114.60  1.6281740E-02
   7114.70  1.6616169E-02
   7114.80  1.6987095E-02
   7114.90  1.7395477E-02
   7115.00  1.7842776E-02
   7115.10  1.8330948E-02
   7115.20  1.8862441E-02
   7115.30  1.9440210E-02
   7115.40  2.0067731E-02
   7115.50  2.0749028E-02
   7115.60  2.1488712E-02
   7115.70  2.2292024E-02
   7115.80  2.3164883E-02
   7115.90  2.4113921E-02
   7116.00  2.5146484E-02
   7116.10  2.6270555E-02
   7116.20  2.7494595E-02
   7116.30  2.8827258E-02
   7116.40  3.0276996E-02
   7116.50  3.1851550E-02
   7116.60  3.3557295E-02
   7116.70  3.5398379E-02
   7116.80  3.7375552E-02
   7116.90  3.9484657E-02
   7117.00  4.1714968E-02
   7117.20  4.6458251E-02
   7117.40  5.1394311E-02
   7117.60  5.6363942E-02
   7117.80  6.1452897E-02
   7118.00  6.6974777E-02
   7118.20  7.3250031E-02
   7118.40  8.0466099E-02
   7118.60  8.8710823E-02
   7118.80  9.8031095E-02
   7119.00  1.0841919E-01
   7119.20  1.1976489E-01
   7119.40  1.3183494E-01
   7119.60  1.4429107E-01
   7119.80  1.5672781E-01
   7120.00  1.6870911E-01
   7120.20  1.7979563E-01
   7120.40  1.8958833E-01
   7120.60  1.9783808E-01
   7120.80  2.0459368E-01
   7121.00  2.1024978E-01
   7121.20  2.1543708E-01
   7121.40  2.2085269E-01
   7121.60  2.2711298E-01
   7121.80  2.3464239E-01
   7122.00  2.4361234E-01
   7122.20  2.5394361E-01
   7122.40  2.6535886E-01
   7122.60  2.7745515E-01
   7122.80  2.8976995E-01
   7123.00  3.0183561E-01
   7123.20  3.1323686E-01
   7123.40  3.2367726E-01
   7123.60  3.3303083E-01
   7123.80  3.4134351E-01
   7124.00  3.4877720E-01
   7124.20  3.5552698E-01
   7124.40  3.6175168E-01
   7124.60  3.6753991E-01
   7124.80  3.7291132E-01
   7125.00  3.7783891E-01
   7125.20  3.8227432E-01
   7125.40  3.8616405E-01
   7125.60  3.8945951E-01
   7125.80  3.9212935E-01
   7126.00  3.9417470E-01
   7126.20  3.9563631E-01
   7126.40  3.9658409E-01
   7126.60  3.9709174E-01
   7126.80  3.9721092E-01
   7127.00  3.9695862E-01
   7127.20  3.9632239E-01
   7127.40  3.9527802E-01
   7127.60  3.9380936E-01
   7127.80  3.9192127E-01
   7128.00  3.8964234E-01
   7128.20  3.8701897E-01
   7128.40  3.8410574E-01
   7128.60  3.8095677E-01
   7128.80  3.7762061E-01
   7129.00  3.7413898E-01
   7129.20  3.7054771E-01
   7129.40  3.6687842E-01
   7129.60  3.6315972E-01
   7129.80  3.5941758E-01
   7130.00  3.5567532E-01
   7130.20  3.5195355E-01
   7130.40  3.4827040E-01
   7130.60  3.4464220E-01
   7130.80  3.4108432E-01
   7131.00  3.3761181E-01
   7131.20  3.3423967E-01
   7131.40  3.3098251E-01
   7131.60  3.2785375E-01
   7131.80  3.2486456E-01
   7132.00  3.2202277E-01
   7133.00  3.1000931E-01
   7134.00  3.0080089E-01
   7135.00  2.9318727E-01
   7136.00  2.8689565E-01
   7137.00  2.8209831E-01
   7138.00  2.7879014E-01
   7139.00  2.7663692E-01
   7140.00  2.7494999E-01
   7141.00  2.7269504E-01
   7142.00  2.6882155E-01
   7143.00  2.6282384E-01
   7144.00  2.5500969E-01
   7145.00  2.4626553E-01
   7146.00  2.3761836E-01
   7147.00  2.2992327E-01
   7148.00  2.2374505E-01
   7149.00  2.1935258E-01
   7150.00  2.1676681E-01
   7151.00  2.1584445E-01
   7152.00  2.1637314E-01
   7153.00  2.1814484E-01
   7154.00  2.2098916E-01
   7155.00  2.2477098E-01
   7156.00  2.2936926E-01
   7157.00  2.3465395E-01
   7158.00  2.4047282E-01
   7159.00  2.4665498E-01
   7160.00  2.5302914E-01
   7161.00  2.5944433E-01
   7162.00  2.6577771E-01
   7163.00  2.7192484E-01
   7164.00  2.7778182E-01
   7165.00  2.8323299E-01
   7166.00  2.8815061E-01
   7167.00  2.9240489E-01
   7168.00  2.9588070E-01
   7169.00  2.9849894E-01
   7170.00  3.0023893E-01
   7171.00  3.0115213E-01
   7172.00  3.0135537E-01
   7173.00  3.0100123E-01
   7174.00  3.0023922E-01
   7175.00  2.9919020E-01
   7176.00  2.9794836E-01
   7177.00  2.9660461E-01
   7178.00  2.9526943E-01
   7179.00  2.9407535E-01
   7180.00  2.9315557E-01
   7181.00  2.9261206E-01
   7182.00  2.9249083E-01
   7183.00  2.9277506E-01
   7184.00  2.9339595E-01
   7185.00  2.9425403E-01
   7186.00  2.9524093E-01
   7187.00  2.9625392E-01
   7188.00  2.9720021E-01
   7189.00  2.9799471E-01
   7190.00  2.9855786E-01
   7191.00  2.9881880E-01
   7192.00  2.9872297E-01
   7193.00  2.9823958E-01
   7194.00  2.9736387E-01
   7195.00  2.9611352E-01
   7196.00  2.9452213E-01
   7197.00  2.9263413E-01
   7198.00  2.9050352E-01
   7199.00  2.8819518E-01
   7200.00  2.8578566E-01
   7201.00  2.8336013E-01
   7202.00  2.8100520E-01
   7203.00  2.7879953E-01
   7204.00  2.7680525E-01
   7205.00  2.7506219E-01
   7206.00  2.7358577E-01
   7207.00  2.7236860E-01
   7208.00  2.7138546E-01
   7209.00  2.7060042E-01
   7210.00  2.6997430E-01
   7211.00  2.6947056E-01
   7212.00  2.6905870E-01
