    Energy    <xanes>    
   7072.00  1.1422103E-03
   7072.50  1.1558157E-03
   7073.00  1.1697222E-03
   7073.50  1.1839397E-03
   7074.00  1.1984786E-03
   7074.50  1.2133496E-03
   7075.00  1.2285642E-03
   7075.50  1.2441341E-03
   7076.00  1.2600717E-03
   7076.50  1.2763899E-03
   7077.00  1.2931023E-03
   7077.50  1.3102231E-03
   7078.00  1.3277672E-03
   7078.50  1.3457501E-03
   7079.00  1.3641883E-03
   7079.50  1.3830989E-03
   7080.00  1.4024999E-03
   7080.50  1.4224104E-03
   7081.00  1.4428504E-03
   7081.50  1.4638407E-03
   7082.00  1.4854036E-03
   7082.50  1.5075624E-03
   7083.00  1.5303416E-03
   7083.50  1.5537671E-03
   7084.00  1.5778664E-03
   7084.50  1.6026684E-03
   7085.00  1.6282037E-03
   7085.50  1.6545047E-03
   7086.00  1.6816057E-03
   7086.50  1.7095431E-03
   7087.00  1.7383555E-03
   7087.50  1.7680838E-03
   7088.00  1.7987715E-03
   7088.50  1.8304651E-03
   7089.00  1.8632139E-03
   7089.50  1.8970704E-03
   7090.00  1.9320908E-03
   7090.50  1.9683349E-03
   7091.00  2.0058670E-03
   7091.50  2.0447555E-03
   7092.00  2.0850740E-03
   7092.50  2.1269015E-03
   7093.00  2.1703227E-03
   7093.50  2.2154288E-03
   7094.00  2.2623181E-03
   7094.50  2.3110967E-03
   7095.00  2.3618791E-03
   7095.50  2.4147893E-03
   7096.00  2.4699619E-03
   7096.50  2.5275429E-03
   7097.00  2.5876910E-03
   7097.50  2.6505796E-03
   7098.00  2.7163978E-03
   7098.50  2.7853527E-03
   7099.00  2.8576717E-03
   7099.50  2.9336049E-03
   7100.00  3.0134279E-03
   7100.50  3.0974461E-03
   7101.00  3.1859982E-03
   7101.50  3.2794611E-03
   7102.00  3.3782568E-03
   7102.50  3.4828584E-03
   7103.00  3.5938001E-03
   7103.50  3.7116875E-03
   7104.00  3.8372119E-03
   7104.50  3.9711680E-03
   7105.00  4.1144773E-03
   7105.50  4.2682195E-03
   7106.00  4.4336762E-03
   7106.50  4.6123923E-03
   7107.00  4.8062691E-03
   7107.10  4.8470640E-03
   7107.20  4.8885813E-03
   7107.30  4.9308443E-03
   7107.40  4.9738779E-03
   7107.50  5.0177082E-03
   7107.60  5.0623630E-03
   7107.70  5.1078719E-03
   7107.80  5.1542664E-03
   7107.90  5.2015803E-03
   7108.00  5.2498496E-03
