    Energy    <xanes>    
   7072.00  1.2999110E-04
   7072.50  1.3143650E-04
   7073.00  1.3291233E-04
   7073.50  1.3441956E-04
   7074.00  1.3595919E-04
   7074.50  1.3753227E-04
   7075.00  1.3913990E-04
   7075.50  1.4078322E-04
   7076.00  1.4246341E-04
   7076.50  1.4418174E-04
   7077.00  1.4593950E-04
   7077.50  1.4773805E-04
   7078.00  1.4957883E-04
   7078.50  1.5146333E-04
   7079.00  1.5339311E-04
   7079.50  1.5536982E-04
   7080.00  1.5739518E-04
   7080.50  1.5947100E-04
   7081.00  1.6159917E-04
   7081.50  1.6378169E-04
   7082.00  1.6602065E-04
   7082.50  1.6831827E-04
   7083.00  1.7067686E-04
   7083.50  1.7309888E-04
   7084.00  1.7558690E-04
   7084.50  1.7814364E-04
   7085.00  1.8077199E-04
   7085.50  1.8347498E-04
   7086.00  1.8625582E-04
   7086.50  1.8911792E-04
   7087.00  1.9206488E-04
   7087.50  1.9510053E-04
   7088.00  1.9822891E-04
   7088.50  2.0145435E-04
   7089.00  2.0478142E-04
   7089.50  2.0821500E-04
   7090.00  2.1176031E-04
   7090.50  2.1542288E-04
   7091.00  2.1920866E-04
   7091.50  2.2312398E-04
   7092.00  2.2717565E-04
   7092.50  2.3137096E-04
   7093.00  2.3571773E-04
   7093.50  2.4022440E-04
   7094.00  2.4490005E-04
   7094.50  2.4975449E-04
   7095.00  2.5479831E-04
   7095.50  2.6004303E-04
   7096.00  2.6550113E-04
   7096.50  2.7118619E-04
   7097.00  2.7711305E-04
   7097.50  2.8329795E-04
   7098.00  2.8975869E-04
   7098.50  2.9651490E-04
   7099.00  3.0358823E-04
   7099.50  3.1100272E-04
   7100.00  3.1878512E-04
   7100.50  3.2696540E-04
   7101.00  3.3557723E-04
   7101.50  3.4465874E-04
   7102.00  3.5425339E-04
   7102.50  3.6441103E-04
   7103.00  3.7518945E-04
   7103.50  3.8665622E-04
   7104.00  3.9889134E-04
   7104.50  4.1199078E-04
   7105.00  4.2607148E-04
   7105.50  4.4127859E-04
   7106.00  4.5779612E-04
   7106.50  4.7586327E-04
   7107.00  4.9580018E-04
   7107.10  5.0004810E-04
   7107.20  5.0439224E-04
   7107.30  5.0883724E-04
   7107.40  5.1338808E-04
   7107.50  5.1805017E-04
   7107.60  5.2282934E-04
   7107.70  5.2773193E-04
   7107.80  5.3276482E-04
   7107.90  5.3793553E-04
   7108.00  5.4325223E-04
   7108.10  5.4872387E-04
   7108.20  5.5436027E-04
