    Energy    <xanes>    
   7072.00  1.0396784E-03
   7072.50  1.0501976E-03
   7073.00  1.0628289E-03
   7073.50  1.0757478E-03
   7074.00  1.0889642E-03
   7074.50  1.1024883E-03
   7075.00  1.1163310E-03
   7075.50  1.1305036E-03
   7076.00  1.1450180E-03
   7076.50  1.1598866E-03
   7077.00  1.1751224E-03
   7077.50  1.1907392E-03
   7078.00  1.2067514E-03
   7078.50  1.2231741E-03
   7079.00  1.2400231E-03
   7079.50  1.2573152E-03
   7080.00  1.2750681E-03
   7080.50  1.2933003E-03
   7081.00  1.3120313E-03
   7081.50  1.3312819E-03
   7082.00  1.3510739E-03
   7082.50  1.3714302E-03
   7083.00  1.3923754E-03
   7083.50  1.4139352E-03
   7084.00  1.4361369E-03
   7084.50  1.4590095E-03
   7085.00  1.4825839E-03
   7085.50  1.5068926E-03
   7086.00  1.5319705E-03
   7086.50  1.5578544E-03
   7087.00  1.5845839E-03
   7087.50  1.6122008E-03
   7088.00  1.6407500E-03
   7088.50  1.6702794E-03
   7089.00  1.7008404E-03
   7089.50  1.7324877E-03
   7090.00  1.7652804E-03
   7090.50  1.7992817E-03
   7091.00  1.8345595E-03
   7091.50  1.8711873E-03
   7092.00  1.9092440E-03
   7092.50  1.9488149E-03
   7093.00  1.9899925E-03
   7093.50  2.0328767E-03
   7094.00  2.0775763E-03
   7094.50  2.1242093E-03
   7095.00  2.1729045E-03
   7095.50  2.2238024E-03
   7096.00  2.2770569E-03
   7096.50  2.3328365E-03
   7097.00  2.3913268E-03
   7097.50  2.4527319E-03
   7098.00  2.5172776E-03
   7098.50  2.5852140E-03
   7099.00  2.6568191E-03
   7099.50  2.7324029E-03
   7100.00  2.8123120E-03
   7100.50  2.8969360E-03
   7101.00  2.9867138E-03
   7101.50  3.0821427E-03
   7102.00  3.1837885E-03
   7102.50  3.2922982E-03
   7103.00  3.4084160E-03
   7103.50  3.5330034E-03
   7104.00  3.6670646E-03
   7104.50  3.8117796E-03
   7105.00  3.9685474E-03
   7105.50  4.1390445E-03
   7106.00  4.3253036E-03
   7106.50  4.5298265E-03
   7107.00  4.7557458E-03
   7107.10  4.8034367E-03
   7107.20  4.8525383E-03
   7107.30  4.9031206E-03
   7107.40  4.9546878E-03
   7107.50  5.0070714E-03
   7107.60  5.0603638E-03
   7107.70  5.1153485E-03
   7107.80  5.1721115E-03
   7107.90  5.2300844E-03
   7108.00  5.2890797E-03
   7108.10  5.3492151E-03
   7108.20  5.4114255E-03
   7108.30  5.4758159E-03
   7108.40  5.5417327E-03
   7108.50  5.6089705E-03
   7108.59  5.6730753E-03
   7108.69  5.7437864E-03
   7108.72  5.7642378E-03
   7108.82  5.8381676E-03
   7108.92  5.9143705E-03
   7109.02  5.9929829E-03
   7109.12  6.0741552E-03
   7109.22  6.1580539E-03
   7109.32  6.2448639E-03
   7109.42  6.3347917E-03
   7109.52  6.4280691E-03
   7109.62  6.5249573E-03
   7109.72  6.6257524E-03
   7109.82  6.7307925E-03
   7109.92  6.8404650E-03
   7110.02  6.9552178E-03
   7110.12  7.0755713E-03
   7110.22  7.2021351E-03
   7110.32  7.3356281E-03
   7110.42  7.4769043E-03
   7110.52  7.6269863E-03
   7110.62  7.7871072E-03
   7110.72  7.9587644E-03
   7110.82  8.1437870E-03
   7110.92  8.3444207E-03
   7111.02  8.5634281E-03
   7111.12  8.8042030E-03
   7111.22  9.0708801E-03
   7111.32  9.3684005E-03
   7111.42  9.7024413E-03
   7111.52  1.0079030E-02
   7111.62  1.0503535E-02
   7111.72  1.0978605E-02
   7111.82  1.1500728E-02
   7111.92  1.2055875E-02
   7112.02  1.2616450E-02
   7112.12  1.3143173E-02
   7112.22  1.3594521E-02
   7112.32  1.3941076E-02
   7112.42  1.4174891E-02
   7112.52  1.4310424E-02
   7112.62  1.4380290E-02
   7112.72  1.4427820E-02
   7112.82  1.4496631E-02
   7112.92  1.4621030E-02
   7113.02  1.4821525E-02
   7113.12  1.5104960E-02
   7113.22  1.5466102E-02
   7113.32  1.5888976E-02
   7113.42  1.6349307E-02
   7113.52  1.6820886E-02
   7113.62  1.7286118E-02
   7113.72  1.7745088E-02
   7113.82  1.8215194E-02
   7113.92  1.8720118E-02
   7114.02  1.9278127E-02
   7114.12  1.9897661E-02
   7114.22  2.0582244E-02
   7114.32  2.1339723E-02
   7114.42  2.2188012E-02
   7114.52  2.3153476E-02
   7114.62  2.4265334E-02
   7114.72  2.5551376E-02
   7114.82  2.7036639E-02
   7114.92  2.8743593E-02
   7115.02  3.0692458E-02
   7115.12  3.2901590E-02
   7115.22  3.5388641E-02
   7115.32  3.8172295E-02
   7115.42  4.1272404E-02
   7115.52  4.4706015E-02
   7115.62  4.8479849E-02
   7115.72  5.2582991E-02
   7115.82  5.6983095E-02
   7115.92  6.1626428E-02
   7116.02  6.6440250E-02
   7116.12  7.1336156E-02
   7116.22  7.6214033E-02
   7116.32  8.0967074E-02
   7116.42  8.5488251E-02
   7116.52  8.9678082E-02
   7116.62  9.3453089E-02
   7116.72  9.6754417E-02
   7116.82  9.9556164E-02
   7116.92  1.0187230E-01
   7117.02  1.0371029E-01
   7117.12  1.0513684E-01
   7117.22  1.0664055E-01
   7117.32  1.0786005E-01
   7117.42  1.0930972E-01
   7117.52  1.1085544E-01
   7117.62  1.1273121E-01
   7117.72  1.1492682E-01
   7117.82  1.1741926E-01
   7117.92  1.2017757E-01
   7118.02  1.2298967E-01
   7118.12  1.2573154E-01
   7118.22  1.2810403E-01
   7118.32  1.2999476E-01
   7118.42  1.3118574E-01
   7118.52  1.3176585E-01
   7118.62  1.3172231E-01
   7118.72  1.3133496E-01
   7118.92  1.3002971E-01
   7119.12  1.2914058E-01
   7119.32  1.2936172E-01
   7119.52  1.3093292E-01
   7119.72  1.3377340E-01
   7119.92  1.3756924E-01
   7120.12  1.4189643E-01
   7120.32  1.4634459E-01
   7120.52  1.5060157E-01
   7120.72  1.5449216E-01
   7120.92  1.5796263E-01
   7121.12  1.6104244E-01
   7121.32  1.6383683E-01
   7121.52  1.6653405E-01
   7121.72  1.6936369E-01
   7121.92  1.7250908E-01
   7122.12  1.7605293E-01
   7122.32  1.8000710E-01
   7122.52  1.8438559E-01
   7122.72  1.8924299E-01
   7122.92  1.9465554E-01
   7123.12  2.0068409E-01
   7123.32  2.0735544E-01
   7123.52  2.1466405E-01
   7123.72  2.2257972E-01
   7123.92  2.3105034E-01
   7124.12  2.3999677E-01
   7124.32  2.4930668E-01
   7124.52  2.5883854E-01
   7124.72  2.6843870E-01
   7124.92  2.7796153E-01
   7125.12  2.8727950E-01
   7125.32  2.9627957E-01
   7125.52  3.0485213E-01
   7125.72  3.1288042E-01
   7125.92  3.2023527E-01
   7126.12  3.2677672E-01
   7126.32  3.3236380E-01
   7126.52  3.3687233E-01
   7126.72  3.4021823E-01
   7126.92  3.4237882E-01
   7127.12  3.4340223E-01
   7127.32  3.4339830E-01
   7127.52  3.4251294E-01
   7127.72  3.4089634E-01
   7127.92  3.3867790E-01
   7128.12  3.3595546E-01
   7128.32  3.3279859E-01
   7128.52  3.2925982E-01
   7128.72  3.2538655E-01
   7128.92  3.2122917E-01
   7129.12  3.1684446E-01
   7129.32  3.1229558E-01
   7129.52  3.0765045E-01
   7129.72  3.0297936E-01
   7129.92  2.9835208E-01
   7130.12  2.9383479E-01
   7130.32  2.8948686E-01
   7130.52  2.8535825E-01
   7130.72  2.8148777E-01
   7130.92  2.7790262E-01
   7131.12  2.7461888E-01
   7131.32  2.7164283E-01
   7131.52  2.6897258E-01
   7131.72  2.6659979E-01
   7131.92  2.6451124E-01
   7132.12  2.6271221E-01
   7132.32  2.6116253E-01
   7132.52  2.5982163E-01
   7132.72  2.5867171E-01
   7132.92  2.5769371E-01
   7133.12  2.5690610E-01
   7133.32  2.5627651E-01
   7133.52  2.5576279E-01
   7133.72  2.5540208E-01
   7134.72  2.5438910E-01
   7135.72  2.5405132E-01
   7136.72  2.5328598E-01
   7137.72  2.5143819E-01
   7138.72  2.4830444E-01
   7139.72  2.4417181E-01
   7140.72  2.3968518E-01
   7141.72  2.3546419E-01
   7142.72  2.3177208E-01
   7143.72  2.2851268E-01
   7144.72  2.2544730E-01
   7145.72  2.2237965E-01
   7146.72  2.1921956E-01
   7147.72  2.1599031E-01
   7148.72  2.1282922E-01
   7149.72  2.0996737E-01
   7150.72  2.0767888E-01
   7151.72  2.0621749E-01
   7152.72  2.0575953E-01
   7153.72  2.0636487E-01
   7154.72  2.0796705E-01
   7155.72  2.1039568E-01
   7156.72  2.1341945E-01
   7157.72  2.1679150E-01
   7158.72  2.2028567E-01
   7159.72  2.2372186E-01
   7160.72  2.2698272E-01
   7161.72  2.3002073E-01
   7162.72  2.3285165E-01
   7163.72  2.3553308E-01
   7164.72  2.3813428E-01
   7165.72  2.4070886E-01
   7166.72  2.4327997E-01
   7167.72  2.4584129E-01
   7168.72  2.4836920E-01
   7169.72  2.5083800E-01
   7170.72  2.5323099E-01
   7171.72  2.5554355E-01
   7172.72  2.5777914E-01
   7173.72  2.5994111E-01
   7174.72  2.6202397E-01
   7175.72  2.6400677E-01
   7176.72  2.6585025E-01
   7177.72  2.6749846E-01
   7178.72  2.6888459E-01
   7179.72  2.6994021E-01
   7180.72  2.7060651E-01
   7181.72  2.7084571E-01
   7182.72  2.7065016E-01
   7183.72  2.7004669E-01
   7184.72  2.6909434E-01
   7185.72  2.6787593E-01
   7186.72  2.6648585E-01
   7187.72  2.6501768E-01
   7188.72  2.6355457E-01
   7189.72  2.6216380E-01
   7190.72  2.6089525E-01
   7191.72  2.5978188E-01
   7192.72  2.5884138E-01
   7193.72  2.5807837E-01
   7194.72  2.5748701E-01
   7195.72  2.5705304E-01
   7196.72  2.5675453E-01
   7197.72  2.5656137E-01
   7198.72  2.5643485E-01
   7199.72  2.5632913E-01
   7200.72  2.5619546E-01
   7201.72  2.5598894E-01
   7202.72  2.5567594E-01
   7203.72  2.5524009E-01
   7204.72  2.5468476E-01
   7205.72  2.5403133E-01
