    Energy    <xanes>    
   7072.00  1.2889791E-04
   7072.50  1.3043715E-04
   7073.00  1.3201083E-04
   7073.50  1.3362009E-04
   7074.00  1.3526615E-04
   7074.50  1.3695024E-04
   7075.00  1.3867370E-04
   7075.50  1.4043790E-04
   7076.00  1.4224427E-04
   7076.50  1.4409434E-04
   7077.00  1.4598967E-04
   7077.50  1.4793192E-04
   7078.00  1.4992284E-04
   7078.50  1.5196425E-04
   7079.00  1.5405807E-04
   7079.50  1.5620631E-04
   7080.00  1.5841108E-04
   7080.50  1.6067462E-04
   7081.00  1.6299927E-04
   7081.50  1.6538750E-04
   7082.00  1.6784192E-04
   7082.50  1.7036527E-04
   7083.00  1.7296046E-04
   7083.50  1.7563054E-04
   7084.00  1.7837876E-04
   7084.50  1.8120855E-04
   7085.00  1.8412352E-04
   7085.50  1.8712754E-04
   7086.00  1.9022466E-04
   7086.50  1.9341923E-04
   7087.00  1.9671583E-04
   7087.50  2.0011936E-04
   7088.00  2.0363502E-04
   7088.50  2.0726835E-04
   7089.00  2.1102526E-04
   7089.50  2.1491206E-04
   7090.00  2.1893550E-04
   7090.50  2.2310278E-04
   7091.00  2.2742163E-04
   7091.50  2.3190033E-04
   7092.00  2.3654778E-04
   7092.50  2.4137353E-04
   7093.00  2.4638786E-04
   7093.50  2.5160187E-04
   7094.00  2.5702752E-04
   7094.50  2.6267775E-04
   7095.00  2.6856654E-04
   7095.50  2.7470909E-04
   7096.00  2.8112188E-04
   7096.50  2.8782285E-04
   7097.00  2.9483153E-04
   7097.50  3.0216928E-04
   7098.00  3.0985945E-04
   7098.50  3.1792764E-04
   7099.00  3.2640200E-04
   7099.50  3.3531352E-04
   7100.00  3.4469642E-04
   7100.50  3.5458856E-04
   7101.00  3.6503201E-04
   7101.50  3.7607357E-04
   7102.00  3.8776552E-04
   7102.50  4.0016643E-04
   7103.00  4.1334218E-04
   7103.50  4.2736713E-04
   7104.00  4.4232561E-04
   7104.50  4.5831364E-04
   7105.00  4.7544118E-04
   7105.50  4.9383481E-04
   7106.00  5.1364125E-04
   7106.50  5.3503182E-04
   7107.00  5.5820830E-04
   7107.10  5.6307827E-04
   7107.20  5.6803126E-04
   7107.30  5.7306950E-04
   7107.40  5.7819529E-04
   7107.50  5.8341102E-04
   7107.60  5.8871921E-04
   7107.70  5.9412244E-04
   7107.80  5.9962343E-04
   7107.90  6.0522501E-04
   7108.00  6.1093014E-04
   7108.10  6.1674191E-04
   7108.20  6.2266356E-04
   7108.30  6.2869849E-04
   7108.40  6.3485026E-04
   7108.50  6.4112261E-04
   7108.60  6.4751950E-04
   7108.70  6.5404510E-04
   7108.80  6.6070380E-04
   7108.90  6.6750028E-04
   7109.00  6.7443950E-04
   7109.10  6.8152673E-04
   7109.20  6.8876762E-04
   7109.30  6.9616822E-04
   7109.40  7.0373504E-04
   7109.50  7.1147512E-04
   7109.60  7.1939610E-04
   7109.70  7.2750631E-04
   7109.80  7.3581490E-04
   7109.90  7.4433200E-04
   7110.00  7.5306883E-04
   7110.10  7.6203801E-04
   7110.20  7.7125378E-04
   7110.30  7.8073240E-04
   7110.40  7.9049254E-04
   7110.50  8.0055593E-04
   7110.60  8.1094802E-04
   7110.70  8.2169890E-04
   7110.80  8.3284446E-04
   7110.90  8.4442760E-04
   7111.00  8.5649969E-04
   7111.10  8.6912173E-04
   7111.20  8.8236457E-04
   7111.30  8.9630673E-04
   7111.40  9.1102685E-04
   7111.50  9.2658610E-04
   7111.60  9.4299501E-04
   7111.70  9.6016365E-04
   7111.80  9.7785122E-04
   7111.90  9.9565992E-04
   7112.00  1.0131484E-03
   7112.10  1.0300819E-03
   7112.20  1.0463951E-03
   7112.30  1.0622750E-03
   7112.40  1.0780565E-03
   7112.50  1.0940872E-03
   7112.60  1.1106512E-03
   7112.70  1.1279526E-03
   7112.80  1.1461294E-03
   7112.90  1.1652749E-03
   7113.00  1.1854572E-03
   7113.10  1.2067327E-03
   7113.20  1.2291544E-03
   7113.30  1.2527767E-03
   7113.40  1.2776582E-03
   7113.50  1.3038639E-03
   7113.60  1.3314659E-03
   7113.70  1.3605445E-03
   7113.80  1.3911883E-03
   7113.90  1.4234943E-03
   7114.00  1.4575680E-03
   7114.10  1.4935251E-03
   7114.20  1.5314931E-03
   7114.30  1.5716135E-03
   7114.40  1.6140447E-03
   7114.50  1.6589640E-03
   7114.60  1.7065697E-03
   7114.70  1.7570840E-03
   7114.80  1.8107559E-03
   7114.90  1.8678642E-03
   7115.00  1.9287219E-03
   7115.10  1.9936807E-03
   7115.20  2.0631364E-03
   7115.30  2.1375349E-03
   7115.40  2.2173792E-03
   7115.50  2.3032367E-03
   7115.60  2.3957472E-03
   7115.70  2.4956311E-03
   7115.80  2.6036974E-03
   7115.90  2.7208505E-03
   7116.00  2.8480956E-03
   7116.10  2.9865405E-03
   7116.20  3.1373936E-03
   7116.30  3.3019564E-03
   7116.40  3.4816082E-03
   7116.50  3.6777821E-03
   7116.60  3.8919242E-03
   7116.70  4.1254252E-03
   7116.80  4.3795086E-03
   7116.90  4.6550641E-03
   7117.00  4.9524399E-03
   7117.20  5.6102847E-03
   7117.40  6.3409910E-03
   7117.60  7.1275892E-03
   7117.80  7.9608375E-03
   7118.00  8.8435703E-03
   7118.20  9.7817010E-03
   7118.40  1.0769310E-02
   7118.60  1.1780400E-02
   7118.80  1.2773823E-02
   7119.00  1.3703746E-02
   7119.20  1.4531029E-02
   7119.40  1.5238473E-02
   7119.60  1.5841841E-02
   7119.80  1.6383269E-02
   7120.00  1.6909315E-02
   7120.20  1.7450540E-02
   7120.40  1.8016961E-02
   7120.60  1.8607906E-02
   7120.80  1.9224699E-02
   7121.00  1.9878427E-02
   7121.20  2.0591823E-02
   7121.40  2.1396607E-02
   7121.60  2.2328818E-02
   7121.80  2.3424508E-02
   7122.00  2.4714400E-02
   7122.20  2.6214705E-02
   7122.40  2.7915747E-02
   7122.60  2.9774991E-02
   7122.80  3.1720721E-02
   7123.00  3.3666034E-02
   7123.20  3.5525092E-02
   7123.40  3.7223024E-02
   7123.60  3.8698741E-02
   7123.80  3.9906513E-02
   7124.00  4.0820392E-02
   7124.20  4.1439970E-02
   7124.40  4.1793771E-02
   7124.60  4.1937690E-02
   7124.80  4.1947458E-02
   7125.00  4.1905946E-02
   7125.20  4.1888822E-02
   7125.40  4.1953188E-02
   7125.60  4.2132076E-02
   7125.80  4.2434691E-02
   7126.00  4.2850505E-02
   7126.20  4.3354964E-02
   7126.40  4.3915190E-02
   7126.60  4.4494762E-02
   7126.80  4.5057252E-02
   7127.00  4.5568639E-02
   7127.20  4.5998962E-02
   7127.40  4.6323598E-02
   7127.60  4.6524332E-02
   7127.80  4.6590162E-02
   7128.00  4.6517593E-02
   7128.20  4.6310183E-02
   7128.40  4.5977338E-02
   7128.60  4.5532551E-02
   7128.80  4.4991492E-02
   7129.00  4.4370344E-02
   7129.20  4.3684685E-02
   7129.40  4.2948964E-02
   7129.60  4.2176463E-02
   7129.80  4.1379492E-02
   7130.00  4.0569615E-02
   7130.20  3.9757744E-02
   7130.40  3.8954072E-02
   7130.60  3.8167903E-02
   7130.80  3.7407422E-02
   7131.00  3.6679508E-02
   7131.20  3.5989619E-02
   7131.40  3.5341771E-02
   7131.60  3.4738613E-02
   7131.80  3.4181563E-02
   7132.00  3.3670992E-02
   7133.00  3.1779232E-02
   7134.00  3.0803562E-02
   7135.00  3.0443952E-02
   7136.00  3.0413217E-02
   7137.00  3.0495748E-02
   7138.00  3.0568070E-02
   7139.00  3.0557535E-02
   7140.00  3.0407281E-02
   7141.00  3.0080840E-02
   7142.00  2.9576200E-02
   7143.00  2.8926346E-02
   7144.00  2.8182949E-02
   7145.00  2.7395646E-02
   7146.00  2.6606821E-02
   7147.00  2.5860344E-02
   7148.00  2.5205517E-02
   7149.00  2.4689569E-02
   7150.00  2.4347096E-02
   7151.00  2.4194258E-02
   7152.00  2.4228967E-02
   7153.00  2.4435495E-02
   7154.00  2.4791046E-02
   7155.00  2.5270883E-02
   7156.00  2.5849786E-02
   7157.00  2.6500551E-02
   7158.00  2.7191874E-02
   7159.00  2.7887785E-02
   7160.00  2.8550204E-02
   7161.00  2.9144606E-02
   7162.00  2.9646562E-02
   7163.00  3.0046018E-02
   7164.00  3.0347715E-02
   7165.00  3.0568266E-02
   7166.00  3.0731678E-02
   7167.00  3.0864974E-02
   7168.00  3.0994638E-02
   7169.00  3.1143641E-02
   7170.00  3.1328682E-02
   7171.00  3.1557898E-02
   7172.00  3.1829910E-02
   7173.00  3.2135032E-02
   7174.00  3.2458601E-02
   7175.00  3.2785131E-02
   7176.00  3.3101403E-02
   7177.00  3.3397264E-02
   7178.00  3.3664567E-02
   7179.00  3.3895868E-02
   7180.00  3.4084163E-02
   7181.00  3.4223795E-02
   7182.00  3.4311734E-02
   7183.00  3.4348328E-02
   7184.00  3.4337132E-02
   7185.00  3.4283902E-02
   7186.00  3.4195131E-02
   7187.00  3.4076545E-02
   7188.00  3.3932060E-02
   7189.00  3.3763663E-02
   7190.00  3.3572310E-02
   7191.00  3.3359293E-02
   7192.00  3.3127204E-02
   7193.00  3.2879982E-02
   7194.00  3.2622270E-02
   7195.00  3.2358676E-02
   7196.00  3.2093348E-02
   7197.00  3.1829951E-02
   7198.00  3.1571861E-02
   7199.00  3.1322422E-02
   7200.00  3.1085147E-02
   7201.00  3.0863809E-02
   7202.00  3.0662351E-02
   7203.00  3.0484560E-02
   7204.00  3.0333477E-02
   7205.00  3.0210706E-02
   7206.00  3.0115868E-02
   7207.00  3.0046505E-02
   7208.00  2.9998532E-02
   7209.00  2.9967066E-02
   7210.00  2.9947310E-02
   7211.00  2.9935185E-02
   7212.00  2.9927599E-02
