    Energy    <xanes>    
   7072.00  2.5207289E-04
   7072.50  2.5507733E-04
   7073.00  2.5814840E-04
   7073.50  2.6128831E-04
   7074.00  2.6449936E-04
   7074.50  2.6778395E-04
   7075.00  2.7114459E-04
   7075.50  2.7458392E-04
   7076.00  2.7810469E-04
   7076.50  2.8170977E-04
   7077.00  2.8540217E-04
   7077.50  2.8918506E-04
   7078.00  2.9306175E-04
   7078.50  2.9703570E-04
   7079.00  3.0111058E-04
   7079.50  3.0529019E-04
   7080.00  3.0957858E-04
   7080.50  3.1397996E-04
   7081.00  3.1849879E-04
   7081.50  3.2313975E-04
   7082.00  3.2790778E-04
   7082.50  3.3280807E-04
   7083.00  3.3784613E-04
   7083.50  3.4302774E-04
   7084.00  3.4835902E-04
   7084.50  3.5384643E-04
   7085.00  3.5949684E-04
   7085.50  3.6531748E-04
   7086.00  3.7131603E-04
   7086.50  3.7750064E-04
   7087.00  3.8387996E-04
   7087.50  3.9046318E-04
   7088.00  3.9726006E-04
   7088.50  4.0428101E-04
   7089.00  4.1153710E-04
   7089.50  4.1904015E-04
   7090.00  4.2680280E-04
   7090.50  4.3483851E-04
   7091.00  4.4316174E-04
   7091.50  4.5178795E-04
   7092.00  4.6073371E-04
   7092.50  4.7001686E-04
   7093.00  4.7965656E-04
   7093.50  4.8967344E-04
   7094.00  5.0008976E-04
   7094.50  5.1092956E-04
   7095.00  5.2221885E-04
   7095.50  5.3398583E-04
   7096.00  5.4626107E-04
   7096.50  5.5907787E-04
   7097.00  5.7247248E-04
   7097.50  5.8648449E-04
   7098.00  6.0115722E-04
   7098.50  6.1653820E-04
   7099.00  6.3267968E-04
   7099.50  6.4963926E-04
   7100.00  6.6748066E-04
   7100.50  6.8627452E-04
   7101.00  7.0609950E-04
   7101.50  7.2704346E-04
   7102.00  7.4920497E-04
   7102.50  7.7269516E-04
   7103.00  7.9763995E-04
   7103.50  8.2418291E-04
   7104.00  8.5248888E-04
   7104.50  8.8274873E-04
   7105.00  9.1518563E-04
   7105.50  9.5006373E-04
   7106.00  9.8770036E-04
   7106.50  1.0284839E-03
   7107.00  1.0729015E-03
   7107.10  1.0822732E-03
   7107.20  1.0918208E-03
   7107.30  1.1015504E-03
   7107.40  1.1114686E-03
   7107.50  1.1215827E-03
   7107.60  1.1319001E-03
   7107.70  1.1424291E-03
   7107.80  1.1531783E-03
   7107.90  1.1641571E-03
   7108.00  1.1753757E-03
   7108.10  1.1868451E-03
   7108.20  1.1985770E-03
   7108.30  1.2105846E-03
   7108.40  1.2228819E-03
   7108.50  1.2354845E-03
   7108.60  1.2484094E-03
   7108.70  1.2616753E-03
   7108.80  1.2753033E-03
   7108.90  1.2893163E-03
   7109.00  1.3037404E-03
   7109.10  1.3186047E-03
   7109.20  1.3339418E-03
   7109.30  1.3497889E-03
   7109.40  1.3661882E-03
   7109.50  1.3831882E-03
   7109.60  1.4008444E-03
   7109.70  1.4192212E-03
   7109.80  1.4383936E-03
   7109.90  1.4584492E-03
   7110.00  1.4794914E-03
   7110.10  1.5016427E-03
   7110.20  1.5250494E-03
   7110.30  1.5498871E-03
   7110.40  1.5763683E-03
   7110.50  1.6047515E-03
   7110.60  1.6353536E-03
   7110.70  1.6685652E-03
   7110.80  1.7048702E-03
   7110.90  1.7448707E-03
   7111.00  1.7893172E-03
   7111.10  1.8391437E-03
   7111.20  1.8955047E-03
   7111.30  1.9598044E-03
   7111.40  2.0336960E-03
   7111.50  2.1190061E-03
   7111.60  2.2175017E-03
   7111.70  2.3303674E-03
   7111.80  2.4572391E-03
   7111.90  2.5947293E-03
   7112.00  2.7347509E-03
   7112.10  2.8637167E-03
   7112.20  2.9640677E-03
   7112.30  3.0201924E-03
   7112.40  3.0260328E-03
   7112.50  2.9885371E-03
   7112.60  2.9236589E-03
   7112.70  2.8486283E-03
   7112.80  2.7764276E-03
   7112.90  2.7144312E-03
   7113.00  2.6656027E-03
   7113.10  2.6302589E-03
   7113.20  2.6074431E-03
   7113.30  2.5957507E-03
   7113.40  2.5937482E-03
   7113.50  2.6001549E-03
   7113.60  2.6139005E-03
   7113.70  2.6341267E-03
   7113.80  2.6601638E-03
   7113.90  2.6915021E-03
   7114.00  2.7277619E-03
   7114.10  2.7686704E-03
   7114.20  2.8140426E-03
   7114.30  2.8637678E-03
   7114.40  2.9177994E-03
   7114.50  2.9761477E-03
   7114.60  3.0388755E-03
   7114.70  3.1060942E-03
   7114.80  3.1779621E-03
   7114.90  3.2546828E-03
   7115.00  3.3365039E-03
   7115.10  3.4237152E-03
   7115.20  3.5166459E-03
   7115.30  3.6156617E-03
   7115.40  3.7211629E-03
   7115.50  3.8335858E-03
   7115.60  3.9534104E-03
   7115.70  4.0811756E-03
   7115.80  4.2174966E-03
   7115.90  4.3630805E-03
   7116.00  4.5187366E-03
   7116.10  4.6853831E-03
   7116.20  4.8640527E-03
   7116.30  5.0558997E-03
   7116.40  5.2622076E-03
   7116.50  5.4843997E-03
   7116.60  5.7240491E-03
   7116.70  5.9828889E-03
   7116.80  6.2628203E-03
   7116.90  6.5659180E-03
   7117.00  6.8944325E-03
   7117.20  7.6375647E-03
   7117.40  8.5132136E-03
   7117.60  9.5422655E-03
   7117.80  1.0739422E-02
   7118.00  1.2106577E-02
   7118.20  1.3633982E-02
   7118.40  1.5307152E-02
   7118.60  1.7104518E-02
   7118.80  1.8989242E-02
   7119.00  2.0910780E-02
   7119.20  2.2817101E-02
   7119.40  2.4672257E-02
   7119.60  2.6464181E-02
   7119.80  2.8190561E-02
   7120.00  2.9839597E-02
   7120.20  3.1389792E-02
   7120.40  3.2825447E-02
   7120.60  3.4151052E-02
   7120.80  3.5395144E-02
   7121.00  3.6601513E-02
   7121.20  3.7817110E-02
   7121.40  3.9087295E-02
   7121.60  4.0453184E-02
   7121.80  4.1943822E-02
   7122.00  4.3572712E-02
   7122.20  4.5349831E-02
   7122.40  4.7299925E-02
   7122.60  4.9467804E-02
   7122.80  5.1904902E-02
   7123.00  5.4646428E-02
   7123.20  5.7689326E-02
   7123.40  6.0977349E-02
   7123.60  6.4399121E-02
   7123.80  6.7803549E-02
   7124.00  7.1030021E-02
   7124.20  7.3942620E-02
   7124.40  7.6454814E-02
   7124.60  7.8536252E-02
   7124.80  8.0203419E-02
   7125.00  8.1503627E-02
   7125.20  8.2501207E-02
   7125.40  8.3268146E-02
   7125.60  8.3876419E-02
   7125.80  8.4389909E-02
   7126.00  8.4857106E-02
   7126.20  8.5307487E-02
   7126.40  8.5753098E-02
   7126.60  8.6194272E-02
   7126.80  8.6626642E-02
   7127.00  8.7046680E-02
   7127.20  8.7454156E-02
   7127.40  8.7851531E-02
   7127.60  8.8241265E-02
