    Energy    <xanes>    
   7072.00  2.5445820E-04
   7072.50  2.5753768E-04
   7073.00  2.6068650E-04
   7073.50  2.6390699E-04
   7074.00  2.6720158E-04
   7074.50  2.7057281E-04
   7075.00  2.7402335E-04
   7075.50  2.7755599E-04
   7076.00  2.8117362E-04
   7076.50  2.8487932E-04
   7077.00  2.8867627E-04
   7077.50  2.9256783E-04
   7078.00  2.9655752E-04
   7078.50  3.0064904E-04
   7079.00  3.0484627E-04
   7079.50  3.0915329E-04
   7080.00  3.1357438E-04
   7080.50  3.1811406E-04
   7081.00  3.2277709E-04
   7081.50  3.2756846E-04
   7082.00  3.3249347E-04
   7082.50  3.3755768E-04
   7083.00  3.4276697E-04
   7083.50  3.4812756E-04
   7084.00  3.5364602E-04
   7084.50  3.5932930E-04
   7085.00  3.6518477E-04
   7085.50  3.7122023E-04
   7086.00  3.7744397E-04
   7086.50  3.8386476E-04
   7087.00  3.9049196E-04
   7087.50  3.9733550E-04
   7088.00  4.0440594E-04
   7088.50  4.1171458E-04
   7089.00  4.1927341E-04
   7089.50  4.2709530E-04
   7090.00  4.3519394E-04
   7090.50  4.4358404E-04
   7091.00  4.5228133E-04
   7091.50  4.6130267E-04
   7092.00  4.7066620E-04
   7092.50  4.8039139E-04
   7093.00  4.9049925E-04
   7093.50  5.0101238E-04
   7094.00  5.1195523E-04
   7094.50  5.2335421E-04
   7095.00  5.3523794E-04
   7095.50  5.4763745E-04
   7096.00  5.6058649E-04
   7096.50  5.7412175E-04
   7097.00  5.8828330E-04
   7097.50  6.0311488E-04
   7098.00  6.1866441E-04
   7098.50  6.3498446E-04
   7099.00  6.5213284E-04
   7099.50  6.7017330E-04
   7100.00  6.8917627E-04
   7100.50  7.0921981E-04
   7101.00  7.3039067E-04
   7101.50  7.5278553E-04
   7102.00  7.7651252E-04
   7102.50  8.0169299E-04
   7103.00  8.2846363E-04
   7103.50  8.5697902E-04
   7104.00  8.8741482E-04
   7104.50  9.1997157E-04
   7105.00  9.5487950E-04
   7105.50  9.9240457E-04
   7106.00  1.0328562E-03
   7106.50  1.0765972E-03
   7107.00  1.1240578E-03
   7107.10  1.1340398E-03
   7107.20  1.1441955E-03
   7107.30  1.1545297E-03
   7107.40  1.1650473E-03
   7107.50  1.1757535E-03
   7107.60  1.1866538E-03
   7107.70  1.1977539E-03
   7107.80  1.2090596E-03
   7107.90  1.2205771E-03
   7108.00  1.2323130E-03
   7108.10  1.2442741E-03
   7108.20  1.2564676E-03
   7108.30  1.2689009E-03
   7108.40  1.2815820E-03
   7108.50  1.2945192E-03
   7108.60  1.3077216E-03
   7108.70  1.3211983E-03
   7108.80  1.3349595E-03
   7108.90  1.3490158E-03
   7109.00  1.3633785E-03
   7109.10  1.3780597E-03
   7109.20  1.3930726E-03
   7109.30  1.4084313E-03
   7109.40  1.4241511E-03
   7109.50  1.4402487E-03
   7109.60  1.4567422E-03
   7109.70  1.4736518E-03
   7109.80  1.4909996E-03
   7109.90  1.5088104E-03
   7110.00  1.5271121E-03
   7110.10  1.5459360E-03
   7110.20  1.5653181E-03
   7110.30  1.5852996E-03
   7110.40  1.6059285E-03
   7110.50  1.6272609E-03
   7110.60  1.6493634E-03
   7110.70  1.6723151E-03
   7110.80  1.6962112E-03
   7110.90  1.7211662E-03
