    Energy    <xanes>    
  17958.00  6.0824944E-04
  17958.50  6.1546507E-04
  17959.00  6.2284231E-04
  17959.50  6.3038663E-04
  17960.00  6.3810373E-04
  17960.50  6.4599955E-04
  17961.00  6.5408034E-04
  17961.50  6.6235262E-04
  17962.00  6.7082324E-04
  17962.50  6.7949936E-04
  17963.00  6.8838850E-04
  17963.50  6.9749855E-04
  17964.00  7.0683779E-04
  17964.50  7.1641493E-04
  17965.00  7.2623911E-04
  17965.50  7.3631996E-04
  17966.00  7.4666761E-04
  17966.50  7.5729273E-04
  17967.00  7.6820658E-04
  17967.50  7.7942100E-04
  17968.00  7.9094854E-04
  17968.50  8.0280242E-04
  17969.00  8.1499664E-04
  17969.50  8.2754599E-04
  17970.00  8.4046616E-04
  17970.50  8.5377375E-04
  17971.00  8.6748640E-04
  17971.50  8.8162282E-04
  17972.00  8.9620290E-04
  17972.50  9.1124780E-04
  17973.00  9.2678005E-04
  17973.50  9.4282368E-04
  17974.00  9.5940433E-04
  17974.50  9.7654938E-04
  17975.00  9.9428813E-04
  17975.50  1.0126520E-03
  17976.00  1.0316745E-03
  17976.50  1.0513919E-03
  17977.00  1.0718430E-03
  17977.50  1.0930696E-03
  17978.00  1.1151167E-03
  17978.50  1.1380332E-03
  17979.00  1.1618716E-03
  17979.50  1.1866891E-03
  17980.00  1.2125476E-03
  17980.50  1.2395145E-03
  17981.00  1.2676632E-03
  17981.50  1.2970740E-03
  17982.00  1.3278345E-03
  17982.50  1.3600411E-03
  17983.00  1.3937995E-03
  17983.50  1.4292265E-03
  17984.00  1.4664511E-03
  17984.50  1.5056162E-03
  17985.00  1.5468811E-03
  17985.50  1.5904232E-03
  17986.00  1.6364415E-03
  17986.50  1.6851594E-03
  17987.00  1.7368297E-03
  17987.50  1.7917386E-03
  17988.00  1.8502128E-03
  17988.50  1.9126265E-03
  17989.00  1.9794111E-03
  17989.50  2.0510673E-03
  17990.00  2.1281803E-03
  17990.50  2.2114395E-03
  17991.00  2.3016641E-03
  17991.50  2.3998375E-03
  17992.00  2.5071524E-03
  17992.50  2.6250742E-03
  17993.00  2.7554268E-03
  17993.10  2.7831816E-03
  17993.20  2.8115450E-03
  17993.30  2.8405392E-03
  17993.40  2.8701877E-03
  17993.50  2.9005151E-03
  17993.60  2.9315475E-03
  17993.70  2.9633122E-03
  17993.80  2.9958384E-03
  17993.90  3.0291564E-03
  17994.00  3.0632987E-03
  17994.10  3.0982994E-03
  17994.20  3.1341946E-03
  17994.30  3.1710226E-03
  17994.40  3.2088240E-03
  17994.50  3.2476415E-03
  17994.60  3.2875209E-03
  17994.70  3.3285103E-03
  17994.80  3.3706609E-03
  17994.90  3.4140271E-03
  17995.00  3.4586666E-03
  17995.10  3.5046406E-03
  17995.20  3.5520139E-03
  17995.30  3.6008554E-03
  17995.40  3.6512380E-03
  17995.50  3.7032391E-03
  17995.60  3.7569401E-03
  17995.70  3.8124275E-03
  17995.80  3.8697918E-03
  17995.90  3.9291286E-03
  17996.00  3.9905376E-03
  17996.10  4.0541231E-03
  17996.20  4.1199928E-03
  17996.30  4.1882581E-03
  17996.40  4.2590326E-03
  17996.50  4.3324314E-03
  17996.60  4.4085694E-03
  17996.70  4.4875597E-03
  17996.80  4.5695114E-03
  17996.90  4.6545268E-03
  17997.00  4.7426984E-03
  17997.10  4.8341057E-03
  17997.20  4.9288109E-03
  17997.30  5.0268559E-03
  17997.40  5.1282574E-03
  17997.50  5.2330046E-03
  17997.60  5.3410556E-03
  17997.70  5.4523363E-03
  17997.80  5.5667402E-03
  17997.90  5.6841301E-03
  17998.00  5.8043419E-03
  17998.10  5.9272972E-03
  17998.20  6.0529046E-03
  17998.30  6.1809646E-03
  17998.40  6.3112869E-03
  17998.50  6.4437024E-03
  17998.60  6.5780733E-03
  17998.70  6.7143027E-03
  17998.80  6.8523401E-03
  17998.90  6.9921861E-03
  17999.00  7.1338926E-03
  17999.10  7.2775635E-03
  17999.20  7.4233536E-03
  17999.30  7.5714689E-03
  17999.40  7.7221684E-03
  17999.50  7.8757677E-03
  17999.60  8.0326449E-03
  17999.70  8.1932453E-03
  17999.80  8.3580864E-03
  17999.90  8.5277586E-03
  18000.00  8.7029207E-03
  18000.10  8.8842899E-03
  18000.20  9.0726249E-03
  18000.30  9.2687040E-03
  18000.40  9.4732979E-03
  18000.50  9.6871401E-03
  18000.60  9.9108964E-03
  18000.70  1.0145134E-02
  18000.80  1.0390294E-02
  18000.90  1.0646664E-02
  18001.00  1.0914351E-02
  18001.10  1.1193268E-02
  18001.20  1.1483109E-02
  18001.30  1.1783341E-02
  18001.40  1.2093198E-02
  18001.50  1.2411682E-02
  18001.60  1.2737574E-02
  18001.70  1.3069460E-02
  18001.80  1.3405765E-02
  18001.90  1.3744802E-02
  18002.00  1.4084835E-02
  18002.10  1.4424144E-02
  18002.20  1.4761102E-02
  18002.30  1.5094244E-02
  18002.40  1.5422331E-02
  18002.50  1.5744400E-02
  18002.60  1.6059797E-02
  18002.70  1.6368191E-02
  18002.80  1.6669563E-02
  18002.90  1.6964185E-02
  18003.00  1.7252574E-02
  18003.20  1.7813668E-02
  18003.40  1.8359983E-02
  18003.60  1.8899299E-02
  18003.80  1.9438698E-02
  18004.00  1.9983708E-02
  18004.20  2.0537936E-02
  18004.40  2.1103140E-02
  18004.60  2.1679655E-02
  18004.80  2.2267047E-02
  18005.00  2.2864849E-02
  18005.20  2.3473239E-02
  18005.40  2.4093522E-02
  18005.60  2.4728347E-02
  18005.80  2.5381633E-02
  18006.00  2.6058231E-02
  18006.20  2.6763421E-02
  18006.40  2.7502343E-02
  18006.60  2.8279492E-02
  18006.80  2.9098339E-02
  18007.00  2.9961119E-02
  18007.20  3.0868723E-02
  18007.40  3.1820647E-02
  18007.60  3.2814920E-02
  18007.80  3.3847971E-02
  18008.00  3.4914454E-02
  18008.20  3.6007109E-02
  18008.40  3.7116724E-02
  18008.60  3.8232295E-02
  18008.80  3.9341413E-02
  18009.00  4.0430872E-02
  18009.20  4.1487444E-02
  18009.40  4.2498719E-02
  18009.60  4.3453908E-02
  18009.80  4.4344472E-02
  18010.00  4.5164511E-02
  18010.20  4.5910843E-02
  18010.40  4.6582788E-02
  18010.60  4.7181718E-02
  18010.80  4.7710459E-02
  18011.00  4.8172681E-02
  18011.20  4.8572361E-02
  18011.40  4.8913393E-02
  18011.60  4.9199375E-02
  18011.80  4.9433567E-02
  18012.00  4.9618967E-02
  18012.20  4.9758473E-02
  18012.40  4.9855053E-02
  18012.60  4.9911900E-02
  18012.80  4.9932528E-02
  18013.00  4.9920808E-02
  18013.20  4.9880934E-02
  18013.40  4.9817334E-02
  18013.60  4.9734556E-02
  18013.80  4.9637126E-02
  18014.00  4.9529416E-02
  18014.20  4.9415532E-02
  18014.40  4.9299223E-02
  18014.60  4.9183827E-02
  18014.80  4.9072238E-02
  18015.00  4.8966904E-02
  18015.20  4.8869841E-02
  18015.40  4.8782664E-02
  18015.60  4.8706617E-02
  18015.80  4.8642619E-02
  18016.00  4.8591304E-02
  18016.20  4.8553064E-02
  18016.40  4.8528091E-02
  18016.60  4.8516417E-02
  18016.80  4.8517954E-02
  18017.00  4.8532521E-02
  18017.20  4.8559883E-02
  18017.40  4.8599764E-02
  18017.60  4.8651874E-02
  18017.80  4.8715912E-02
  18018.00  4.8791571E-02
  18019.00  4.9332591E-02
  18020.00  5.0103709E-02
  18021.00  5.1016156E-02
  18022.00  5.1939466E-02
  18023.00  5.2717179E-02
  18024.00  5.3186698E-02
  18025.00  5.3210526E-02
  18026.00  5.2721368E-02
  18027.00  5.1754112E-02
  18028.00  5.0436180E-02
  18029.00  4.8940006E-02
  18030.00  4.7428204E-02
  18031.00  4.6018372E-02
  18032.00  4.4774172E-02
  18033.00  4.3714540E-02
  18034.00  4.2830122E-02
  18035.00  4.2099386E-02
  18036.00  4.1500552E-02
  18037.00  4.1018051E-02
  18038.00  4.0643945E-02
  18039.00  4.0375905E-02
  18040.00  4.0213692E-02
  18041.00  4.0155798E-02
  18042.00  4.0197109E-02
  18043.00  4.0327762E-02
  18044.00  4.0533023E-02
  18045.00  4.0794059E-02
  18046.00  4.1089573E-02
  18047.00  4.1398278E-02
  18048.00  4.1701811E-02
  18049.00  4.1987305E-02
  18050.00  4.2248733E-02
  18051.00  4.2486600E-02
  18052.00  4.2706331E-02
  18053.00  4.2916198E-02
  18054.00  4.3125595E-02
  18055.00  4.3343981E-02
  18056.00  4.3580279E-02
  18057.00  4.3842306E-02
  18058.00  4.4135946E-02
  18059.00  4.4464155E-02
  18060.00  4.4826105E-02
  18061.00  4.5216779E-02
  18062.00  4.5627147E-02
  18063.00  4.6044878E-02
  18064.00  4.6455488E-02
  18065.00  4.6843833E-02
  18066.00  4.7195891E-02
  18067.00  4.7500687E-02
  18068.00  4.7752042E-02
  18069.00  4.7949635E-02
  18070.00  4.8098909E-02
  18071.00  4.8209681E-02
  18072.00  4.8293836E-02
  18073.00  4.8362818E-02
  18074.00  4.8425587E-02
  18075.00  4.8487438E-02
  18076.00  4.8549720E-02
  18077.00  4.8610327E-02
  18078.00  4.8664719E-02
  18079.00  4.8707248E-02
  18080.00  4.8732487E-02
  18081.00  4.8736336E-02
  18082.00  4.8716669E-02
  18083.00  4.8673499E-02
  18084.00  4.8608698E-02
  18085.00  4.8525478E-02
  18086.00  4.8427802E-02
  18087.00  4.8319898E-02
  18088.00  4.8205931E-02
  18089.00  4.8089825E-02
  18090.00  4.7975192E-02
  18091.00  4.7865300E-02
  18092.00  4.7763039E-02
  18093.00  4.7670824E-02
  18094.00  4.7590443E-02
  18095.00  4.7522867E-02
  18096.00  4.7468137E-02
  18097.00  4.7425397E-02
  18098.00  4.7393100E-02
