    Energy    <xanes>    
   7072.00  2.1110030E-03
   7072.50  2.1334754E-03
   7073.00  2.1593545E-03
   7073.50  2.1858232E-03
   7074.00  2.2129015E-03
   7074.50  2.2406105E-03
   7075.00  2.2689723E-03
   7075.50  2.2980099E-03
   7076.00  2.3277473E-03
   7076.50  2.3582099E-03
   7077.00  2.3894242E-03
   7077.50  2.4214180E-03
   7078.00  2.4542204E-03
   7078.50  2.4878621E-03
   7079.00  2.5223753E-03
   7079.50  2.5577938E-03
   7080.00  2.5941534E-03
   7080.50  2.6314914E-03
   7081.00  2.6698473E-03
   7081.50  2.7092629E-03
   7082.00  2.7497820E-03
   7082.50  2.7914511E-03
   7083.00  2.8343190E-03
   7083.50  2.8784376E-03
   7084.00  2.9238617E-03
   7084.50  2.9706493E-03
   7085.00  3.0188618E-03
   7085.50  3.0685645E-03
   7086.00  3.1198265E-03
   7086.50  3.1727215E-03
   7087.00  3.2273275E-03
   7087.50  3.2837279E-03
   7088.00  3.3420112E-03
   7088.50  3.4022720E-03
   7089.00  3.4646114E-03
   7089.50  3.5291371E-03
   7090.00  3.5959646E-03
   7090.50  3.6652177E-03
   7091.00  3.7370288E-03
   7091.50  3.8115404E-03
   7092.00  3.8889055E-03
   7092.50  3.9692890E-03
   7093.00  4.0528685E-03
   7093.50  4.1398357E-03
   7094.00  4.2303980E-03
   7094.50  4.3247799E-03
   7095.00  4.4232248E-03
   7095.50  4.5259974E-03
   7096.00  4.6333854E-03
   7096.50  4.7457027E-03
   7097.00  4.8632921E-03
   7097.50  4.9865290E-03
   7098.00  5.1158250E-03
   7098.50  5.2516325E-03
   7099.00  5.3944504E-03
   7099.50  5.5448293E-03
   7100.00  5.7033795E-03
   7100.50  5.8707785E-03
   7101.00  6.0477813E-03
   7101.50  6.2352313E-03
   7102.00  6.4340743E-03
   7102.50  6.6453748E-03
   7103.00  6.8703352E-03
   7103.50  7.1103202E-03
   7104.00  7.3668852E-03
   7104.50  7.6418128E-03
   7105.00  7.9371577E-03
   7105.50  8.2553036E-03
   7106.00  8.5990373E-03
   7106.50  8.9716455E-03
   7107.00  9.3770466E-03
   7107.10  9.4614513E-03
   7107.20  9.5491469E-03
   7107.30  9.6383782E-03
   7107.40  9.7286432E-03
   7107.50  9.8199749E-03
   7107.60  9.9124077E-03
   7107.62  9.9299053E-03
   7107.72  1.0025570E-02
   7107.82  1.0123081E-02
   7107.92  1.0222496E-02
   7108.02  1.0323878E-02
   7108.12  1.0427290E-02
   7108.22  1.0532801E-02
   7108.32  1.0640482E-02
   7108.42  1.0750409E-02
   7108.52  1.0862662E-02
   7108.62  1.0977326E-02
   7108.72  1.1094490E-02
   7108.82  1.1214253E-02
   7108.92  1.1336715E-02
   7109.02  1.1461987E-02
   7109.12  1.1590188E-02
   7109.22  1.1721444E-02
   7109.32  1.1855893E-02
   7109.42  1.1993685E-02
