    Energy    <xanes>    
   7072.00  5.1322374E-04
   7072.50  5.1814193E-04
   7073.00  5.2429726E-04
   7073.50  5.3058943E-04
   7074.00  5.3702298E-04
   7074.50  5.4360266E-04
   7075.00  5.5033344E-04
   7075.50  5.5722049E-04
   7076.00  5.6426926E-04
   7076.50  5.7148541E-04
   7077.00  5.7887490E-04
   7077.50  5.8644394E-04
   7078.00  5.9419907E-04
   7078.50  6.0214713E-04
   7079.00  6.1029531E-04
   7079.50  6.1865114E-04
   7080.00  6.2722254E-04
   7080.50  6.3601783E-04
   7081.00  6.4504578E-04
   7081.50  6.5431559E-04
   7082.00  6.6383697E-04
   7082.50  6.7362013E-04
   7083.00  6.8367587E-04
   7083.50  6.9401555E-04
   7084.00  7.0465118E-04
   7084.50  7.1559545E-04
   7085.00  7.2686180E-04
   7085.50  7.3846442E-04
   7086.00  7.5041835E-04
   7086.50  7.6273956E-04
   7087.00  7.7544495E-04
   7087.50  7.8855249E-04
   7088.00  8.0208129E-04
   7088.50  8.1605166E-04
   7089.00  8.3048522E-04
   7089.50  8.4540503E-04
   7090.00  8.6083570E-04
   7090.50  8.7680349E-04
   7091.00  8.9333651E-04
   7091.50  9.1046482E-04
   7092.00  9.2822066E-04
   7092.50  9.4663861E-04
   7093.00  9.6575583E-04
   7093.50  9.8561228E-04
   7094.00  1.0062510E-03
   7094.50  1.0277186E-03
   7095.00  1.0500650E-03
   7095.50  1.0733447E-03
   7096.00  1.0976165E-03
   7096.50  1.1229443E-03
   7097.00  1.1493976E-03
   7097.50  1.1770522E-03
   7098.00  1.2059906E-03
   7098.50  1.2363034E-03
   7099.00  1.2680897E-03
   7099.50  1.3014586E-03
   7100.00  1.3365300E-03
   7100.50  1.3734367E-03
   7101.00  1.4123256E-03
   7101.50  1.4533599E-03
   7102.00  1.4967218E-03
   7102.50  1.5426149E-03
   7103.00  1.5912679E-03
   7103.50  1.6429391E-03
   7104.00  1.6979211E-03
   7104.50  1.7565475E-03
   7105.00  1.8192012E-03
   7105.50  1.8863246E-03
   7106.00  1.9584336E-03
   7106.50  2.0361359E-03
   7107.00  2.1201576E-03
   7107.10  2.1376652E-03
   7107.20  2.1553973E-03
   7107.30  2.1738680E-03
   7107.40  2.1925269E-03
   7107.50  2.2113799E-03
   7107.60  2.2304331E-03
   7107.70  2.2497466E-03
   7107.80  2.2699069E-03
   7107.90  2.2902880E-03
   7108.00  2.3108976E-03
   7108.10  2.3317438E-03
   7108.19  2.3511902E-03
   7108.29  2.3729720E-03
   7108.39  2.3951799E-03
   7108.49  2.4178294E-03
   7108.59  2.4409371E-03
   7108.69  2.4645206E-03
   7108.79  2.4885990E-03
   7108.89  2.5131927E-03
   7108.99  2.5383238E-03
   7109.09  2.5640161E-03
   7109.19  2.5902958E-03
   7109.29  2.6171910E-03
   7109.39  2.6447331E-03
   7109.49  2.6729562E-03
   7109.59  2.7018984E-03
   7109.69  2.7316017E-03
   7109.79  2.7621135E-03
   7109.89  2.7934868E-03
   7109.99  2.8257821E-03
   7110.09  2.8590679E-03
   7110.19  2.8934231E-03
   7110.29  2.9289391E-03
   7110.39  2.9657222E-03
   7110.49  3.0038975E-03
   7110.59  3.0436129E-03
   7110.69  3.0850448E-03
   7110.79  3.1284048E-03
   7110.89  3.1739481E-03
   7110.99  3.2219831E-03
   7111.09  3.2728819E-03
   7111.19  3.3270891E-03
   7111.29  3.3851246E-03
   7111.39  3.4475704E-03
   7111.49  3.5150246E-03
   7111.59  3.5880016E-03
   7111.69  3.6667646E-03
   7111.79  3.7511306E-03
   7111.89  3.8403829E-03
   7111.99  3.9335320E-03
   7112.09  4.0299932E-03
   7112.19  4.1298165E-03
   7112.29  4.2338795E-03
   7112.39  4.3433136E-03
   7112.49  4.4584967E-03
   7112.59  4.5781294E-03
   7112.69  4.6988821E-03
   7112.79  4.8159596E-03
   7112.89  4.9244808E-03
   7112.99  5.0209857E-03
   7113.09  5.1043054E-03
   7113.19  5.1756278E-03
   7113.29  5.2381632E-03
   7113.39  5.2961700E-03
   7113.49  5.3542755E-03
   7113.59  5.4165046E-03
   7113.69  5.4852449E-03
   7113.79  5.5604704E-03
   7113.89  5.6395472E-03
   7113.99  5.7180133E-03
   7114.09  5.7914996E-03
   7114.19  5.8580700E-03
   7114.29  5.9194208E-03
   7114.39  5.9800370E-03
   7114.49  6.0451524E-03
   7114.59  6.1190668E-03
   7114.69  6.2045346E-03
   7114.79  6.3029585E-03
   7114.89  6.4148650E-03
   7114.99  6.5403369E-03
   7115.09  6.6793062E-03
   7115.19  6.8317243E-03
   7115.29  6.9976534E-03
   7115.39  7.1773126E-03
   7115.49  7.3710987E-03
   7115.59  7.5795923E-03
   7115.69  7.8035554E-03
   7115.79  8.0439275E-03
   7115.89  8.3018241E-03
   7115.99  8.5785392E-03
   7116.09  8.8755539E-03
   7116.19  9.1945489E-03
   7116.29  9.5374229E-03
   7116.39  9.9063113E-03
   7116.49  1.0303603E-02
   7116.59  1.0731956E-02
   7116.69  1.1194298E-02
   7116.79  1.1693825E-02
   7116.89  1.2233974E-02
   7116.99  1.2818373E-02
   7117.09  1.3469932E-02
   7117.19  1.4136513E-02
   7117.29  1.4895814E-02
   7117.39  1.5674421E-02
   7117.49  1.6555214E-02
   7117.59  1.7458462E-02
   7117.69  1.8469367E-02
   7117.79  1.9506046E-02
   7117.89  2.0652825E-02
   7117.99  2.1828919E-02
   7118.09  2.3119687E-02
   7118.19  2.4443814E-02
   7118.39  2.7384952E-02
   7118.59  3.0697157E-02
   7118.79  3.4391055E-02
   7118.99  3.8373166E-02
   7119.19  4.2411634E-02
   7119.39  4.6217604E-02
   7119.59  4.9627029E-02
   7119.79  5.2712336E-02
   7119.99  5.5701469E-02
   7120.19  5.8796013E-02
   7120.39  6.2040993E-02
   7120.59  6.5308354E-02
   7120.79  6.8384178E-02
   7120.99  7.1109098E-02
   7121.19  7.3480085E-02
   7121.39  7.5645979E-02
   7121.59  7.7827712E-02
   7121.79  8.0242181E-02
   7121.99  8.3065352E-02
   7122.19  8.6418612E-02
   7122.39  9.0357987E-02
   7122.59  9.4866978E-02
   7122.79  9.9861045E-02
   7122.99  1.0520211E-01
   7123.19  1.1071790E-01
   7123.39  1.1622711E-01
   7123.59  1.2157304E-01
   7123.79  1.2665882E-01
   7123.99  1.3146705E-01
   7124.19  1.3605050E-01
   7124.39  1.4050016E-01
   7124.59  1.4491225E-01
   7124.79  1.4936996E-01
   7124.99  1.5393434E-01
   7125.19  1.5863036E-01
   7125.39  1.6342664E-01
   7125.59  1.6822308E-01
   7125.79  1.7286135E-01
   7125.99  1.7715895E-01
   7126.19  1.8095233E-01
   7126.39  1.8412887E-01
   7126.59  1.8663683E-01
   7126.79  1.8847713E-01
   7126.99  1.8968797E-01
   7127.19  1.9033069E-01
   7127.39  1.9047876E-01
   7127.59  1.9020908E-01
   7127.79  1.8959430E-01
   7127.99  1.8869681E-01
   7128.19  1.8756519E-01
   7128.39  1.8623383E-01
   7128.59  1.8472525E-01
   7128.79  1.8305411E-01
   7128.99  1.8123142E-01
   7129.19  1.7926814E-01
   7129.39  1.7717753E-01
   7129.59  1.7497615E-01
   7129.79  1.7268389E-01
   7129.99  1.7032313E-01
   7130.19  1.6791732E-01
   7130.39  1.6548949E-01
   7130.59  1.6306075E-01
   7130.79  1.6064927E-01
   7130.99  1.5826984E-01
   7131.19  1.5593403E-01
   7131.39  1.5365083E-01
   7131.59  1.5142746E-01
   7131.79  1.4927025E-01
   7131.99  1.4718521E-01
   7132.19  1.4531486E-01
   7132.39  1.4346369E-01
   7132.59  1.4163165E-01
   7132.79  1.3982721E-01
   7132.99  1.3805836E-01
   7133.19  1.3662807E-01
   7134.19  1.3055488E-01
   7135.19  1.2697351E-01
   7136.19  1.2534849E-01
   7137.19  1.2511899E-01
   7138.19  1.2576897E-01
   7139.19  1.2677561E-01
