    Energy    <xanes>    
   5425.00  2.2887172E-03
   5425.50  2.3162838E-03
   5426.00  2.3444757E-03
   5426.50  2.3733140E-03
   5427.00  2.4028211E-03
   5427.50  2.4330202E-03
   5428.00  2.4639357E-03
   5428.50  2.4955930E-03
   5429.00  2.5280188E-03
   5429.50  2.5612412E-03
   5430.00  2.5952895E-03
   5430.50  2.6301945E-03
   5431.00  2.6659887E-03
   5431.50  2.7027060E-03
   5432.00  2.7403822E-03
   5432.50  2.7790549E-03
   5433.00  2.8187637E-03
   5433.50  2.8595503E-03
   5434.00  2.9014587E-03
   5434.50  2.9445353E-03
   5435.00  2.9888290E-03
   5435.50  3.0343916E-03
   5436.00  3.0812778E-03
   5436.50  3.1295453E-03
   5437.00  3.1792554E-03
   5437.50  3.2304731E-03
   5438.00  3.2832672E-03
   5438.50  3.3377108E-03
   5439.00  3.3938815E-03
   5439.50  3.4518619E-03
   5440.00  3.5117399E-03
   5440.50  3.5736092E-03
   5441.00  3.6375698E-03
   5441.50  3.7037282E-03
   5442.00  3.7721986E-03
   5442.50  3.8431030E-03
   5443.00  3.9165722E-03
   5443.50  3.9927465E-03
   5444.00  4.0717768E-03
   5444.50  4.1538250E-03
   5445.00  4.2390658E-03
   5445.50  4.3276876E-03
   5446.00  4.4198940E-03
   5446.50  4.5159050E-03
   5447.00  4.6159593E-03
   5447.50  4.7203160E-03
   5448.00  4.8292570E-03
   5448.50  4.9430893E-03
   5449.00  5.0621482E-03
   5449.50  5.1868008E-03
   5450.00  5.3174493E-03
   5450.50  5.4545363E-03
   5451.00  5.5985493E-03
   5451.50  5.7500271E-03
   5452.00  5.9095668E-03
   5452.50  6.0778324E-03
   5453.00  6.2555644E-03
   5453.50  6.4435915E-03
   5454.00  6.6428453E-03
   5454.50  6.8543771E-03
   5455.00  7.0793789E-03
   5455.50  7.3192094E-03
   5456.00  7.5754261E-03
   5456.50  7.8498259E-03
   5457.00  8.1444978E-03
   5457.50  8.4618903E-03
   5458.00  8.8049022E-03
   5458.50  9.1770054E-03
   5459.00  9.5824169E-03
   5459.50  1.0026347E-02
   5460.00  1.0515373E-02
   5460.10  1.0619297E-02
   5460.20  1.0725437E-02
   5460.30  1.0833878E-02
   5460.40  1.0944709E-02
   5460.50  1.1058028E-02
   5460.60  1.1173936E-02
   5460.70  1.1292543E-02
   5460.80  1.1413966E-02
   5460.90  1.1538333E-02
   5461.00  1.1665779E-02
   5461.10  1.1796450E-02
   5461.20  1.1930506E-02
   5461.30  1.2068120E-02
   5461.40  1.2209479E-02
   5461.50  1.2354788E-02
   5461.60  1.2504273E-02
   5461.70  1.2658181E-02
   5461.80  1.2816786E-02
   5461.90  1.2980392E-02
   5462.00  1.3149336E-02
   5462.10  1.3323997E-02
   5462.20  1.3504802E-02
   5462.30  1.3692231E-02
   5462.40  1.3886834E-02
   5462.50  1.4089237E-02
   5462.60  1.4300163E-02
   5462.70  1.4520450E-02
   5462.80  1.4751075E-02
   5462.90  1.4993190E-02
   5463.00  1.5248160E-02
   5463.10  1.5517617E-02
   5463.20  1.5803534E-02
   5463.30  1.6108309E-02
   5463.40  1.6434897E-02
   5463.50  1.6786964E-02
   5463.60  1.7169115E-02
   5463.70  1.7587185E-02
   5463.80  1.8048647E-02
   5463.90  1.8563150E-02
   5464.00  1.9143235E-02
   5464.10  1.9805241E-02
   5464.20  2.0570332E-02
   5464.30  2.1465380E-02
   5464.40  2.2522837E-02
   5464.50  2.3777561E-02
   5464.60  2.5256423E-02
   5464.70  2.6955016E-02
   5464.80  2.8801226E-02
   5464.90  3.0629474E-02
   5465.00  3.2219112E-02
   5465.10  3.3410772E-02
   5465.20  3.4197549E-02
   5465.30  3.4700401E-02
   5465.40  3.5072353E-02
   5465.50  3.5419737E-02
   5465.60  3.5752609E-02
   5465.70  3.5972845E-02
   5465.80  3.5942326E-02
   5465.90  3.5613596E-02
   5466.00  3.5094456E-02
   5466.10  3.4573446E-02
   5466.20  3.4207531E-02
   5466.30  3.4078325E-02
   5466.40  3.4208665E-02
   5466.50  3.4592209E-02
   5466.60  3.5213390E-02
   5466.70  3.6056263E-02
   5466.80  3.7106355E-02
   5466.90  3.8348899E-02
   5467.00  3.9765761E-02
   5467.10  4.1333264E-02
   5467.20  4.3023683E-02
   5467.30  4.4812700E-02
   5467.40  4.6691891E-02
   5467.50  4.8680380E-02
   5467.60  5.0828157E-02
   5467.70  5.3208516E-02
   5467.80  5.5904224E-02
   5467.90  5.8993902E-02
   5468.00  6.2541091E-02
   5468.10  6.6583998E-02
   5468.20  7.1122951E-02
   5468.30  7.6105588E-02
   5468.40  8.1415591E-02
   5468.50  8.6876917E-02
   5468.60  9.2285944E-02
   5468.70  9.7471622E-02
   5468.80  1.0236135E-01
   5468.90  1.0701759E-01
   5469.00  1.1162571E-01
   5469.10  1.1644629E-01
   5469.20  1.2176197E-01
   5469.30  1.2783966E-01
   5469.40  1.3491007E-01
   5469.50  1.4315548E-01
   5469.60  1.5269570E-01
   5469.70  1.6356532E-01
   5469.80  1.7568211E-01
   5469.90  1.8881331E-01
   5470.00  2.0255534E-01
   5470.20  2.2953491E-01
   5470.40  2.5165334E-01
   5470.60  2.6578400E-01
   5470.80  2.7223291E-01
   5471.00  2.7369857E-01
   5471.20  2.7350115E-01
   5471.40  2.7411137E-01
   5471.60  2.7662124E-01
   5471.80  2.8119066E-01
   5472.00  2.8773034E-01
   5472.20  2.9637225E-01
   5472.40  3.0763885E-01
   5472.60  3.2232611E-01
   5472.80  3.4120821E-01
   5473.00  3.6466590E-01
   5473.20  3.9226786E-01
   5473.40  4.2244327E-01
   5473.60  4.5260564E-01
   5473.80  4.8001042E-01
   5474.00  5.0305740E-01
   5474.20  5.2215699E-01
   5474.40  5.3945097E-01
   5474.60  5.5762547E-01
   5474.80  5.7873849E-01
   5475.00  6.0372255E-01
   5475.20  6.3255555E-01
   5475.40  6.6475443E-01
   5475.60  6.9985221E-01
   5475.80  7.3760876E-01
   5476.00  7.7784472E-01
   5476.20  8.2002277E-01
   5476.40  8.6289355E-01
   5476.60  9.0446418E-01
   5476.80  9.4227409E-01
   5477.00  9.7378069E-01
   5477.20  9.9673369E-01
   5477.40  1.0095609E+00
   5477.60  1.0117482E+00
   5477.80  1.0040424E+00
   5478.00  9.8830502E-01
   5478.20  9.6705365E-01
   5478.40  9.4291713E-01
   5478.60  9.1822623E-01
   5478.80  8.9481517E-01
   5479.00  8.7398538E-01
   5479.20  8.5654801E-01
   5479.40  8.4288884E-01
   5479.60  8.3303584E-01
   5479.80  8.2672821E-01
   5480.00  8.2348891E-01
   5480.20  8.2269756E-01
   5480.40  8.2365765E-01
   5480.60  8.2565236E-01
   5480.80  8.2798818E-01
   5481.00  8.3002963E-01
   5481.20  8.3122948E-01
   5481.40  8.3115674E-01
   5481.60  8.2952040E-01
   5481.80  8.2618378E-01
   5482.00  8.2116420E-01
   5482.20  8.1461559E-01
   5482.40  8.0679634E-01
   5482.60  7.9802873E-01
   5482.80  7.8865801E-01
   5483.00  7.7901819E-01
   5483.20  7.6940843E-01
   5483.40  7.6008072E-01
   5483.60  7.5123667E-01
   5483.80  7.4303041E-01
   5484.00  7.3557454E-01
   5484.20  7.2894688E-01
   5484.40  7.2319689E-01
   5484.60  7.1835132E-01
   5484.80  7.1441888E-01
   5485.00  7.1139406E-01
   5486.00  7.0900931E-01
   5487.00  7.2349892E-01
   5488.00  7.4517347E-01
   5489.00  7.6209159E-01
   5490.00  7.6664684E-01
   5491.00  7.5849663E-01
   5492.00  7.4188775E-01
   5493.00  7.2193053E-01
   5494.00  7.0171194E-01
   5495.00  6.8155255E-01
   5496.00  6.6045042E-01
   5497.00  6.3783190E-01
   5498.00  6.1412903E-01
   5499.00  5.9044331E-01
   5500.00  5.6807463E-01
   5501.00  5.4814341E-01
   5502.00  5.3134017E-01
   5503.00  5.1793595E-01
   5504.00  5.0803005E-01
   5505.00  5.0177784E-01
   5506.00  4.9937454E-01
   5507.00  5.0084516E-01
   5508.00  5.0586170E-01
   5509.00  5.1371987E-01
   5510.00  5.2345983E-01
   5511.00  5.3406307E-01
   5512.00  5.4466566E-01
   5513.00  5.5473158E-01
   5514.00  5.6412371E-01
   5515.00  5.7303700E-01
   5516.00  5.8183585E-01
   5517.00  5.9088949E-01
   5518.00  6.0046852E-01
   5519.00  6.1070563E-01
