    Energy    <xanes>    
  16998.00  2.3259793E-03
  16998.50  2.3532762E-03
  16999.00  2.3811764E-03
  16999.50  2.4096999E-03
  17000.00  2.4388678E-03
  17000.50  2.4687019E-03
  17001.00  2.4992251E-03
  17001.50  2.5304614E-03
  17002.00  2.5624358E-03
  17002.50  2.5951748E-03
  17003.00  2.6287057E-03
  17003.50  2.6630575E-03
  17004.00  2.6982606E-03
  17004.50  2.7343466E-03
  17005.00  2.7713490E-03
  17005.50  2.8093029E-03
  17006.00  2.8482454E-03
  17006.50  2.8882152E-03
  17007.00  2.9292533E-03
  17007.50  2.9714028E-03
  17008.00  3.0147094E-03
  17008.50  3.0592209E-03
  17009.00  3.1049882E-03
  17009.50  3.1520649E-03
  17010.00  3.2005077E-03
  17010.50  3.2503767E-03
  17011.00  3.3017356E-03
  17011.50  3.3546519E-03
  17012.00  3.4091972E-03
  17012.50  3.4654478E-03
  17013.00  3.5234847E-03
  17013.50  3.5833941E-03
  17014.00  3.6452680E-03
  17014.50  3.7092045E-03
  17015.00  3.7753084E-03
  17015.50  3.8436918E-03
  17016.00  3.9144746E-03
  17016.50  3.9877857E-03
  17017.00  4.0637630E-03
  17017.50  4.1425552E-03
  17018.00  4.2243221E-03
  17018.50  4.3092362E-03
  17019.00  4.3974836E-03
  17019.50  4.4892658E-03
  17020.00  4.5848012E-03
  17020.50  4.6843267E-03
  17021.00  4.7881002E-03
  17021.50  4.8964028E-03
  17022.00  5.0095416E-03
  17022.50  5.1278528E-03
  17023.00  5.2517056E-03
  17023.50  5.3815065E-03
  17024.00  5.5177039E-03
  17024.50  5.6607945E-03
  17025.00  5.8113303E-03
  17025.50  5.9699266E-03
  17026.00  6.1372720E-03
  17026.50  6.3141408E-03
  17027.00  6.5014079E-03
  17027.50  6.7000662E-03
  17028.00  6.9112504E-03
  17028.50  7.1362646E-03
  17029.00  7.3766196E-03
  17029.50  7.6340801E-03
  17030.00  7.9107274E-03
  17030.50  8.2090435E-03
  17031.00  8.5320265E-03
  17031.50  8.8833512E-03
  17032.00  9.2675994E-03
  17032.50  9.6905923E-03
  17033.00  1.0159879E-02
  17033.10  1.0260117E-02
  17033.20  1.0362690E-02
  17033.30  1.0467696E-02
  17033.40  1.0575243E-02
  17033.50  1.0685443E-02
  17033.60  1.0798414E-02
  17033.70  1.0914284E-02
  17033.80  1.1033187E-02
  17033.90  1.1155264E-02
  17034.00  1.1280667E-02
  17034.10  1.1409552E-02
  17034.20  1.1542088E-02
  17034.30  1.1678449E-02
  17034.40  1.1818818E-02
  17034.50  1.1963384E-02
  17034.60  1.2112343E-02
  17034.70  1.2265895E-02
  17034.80  1.2424243E-02
  17034.90  1.2587593E-02
  17035.00  1.2756144E-02
  17035.10  1.2930094E-02
  17035.20  1.3109631E-02
  17035.30  1.3294931E-02
  17035.40  1.3486154E-02
  17035.50  1.3683443E-02
  17035.60  1.3886918E-02
  17035.70  1.4096678E-02
  17035.80  1.4312796E-02
  17035.90  1.4535323E-02
  17036.00  1.4764280E-02
  17036.10  1.5000028E-02
  17036.20  1.5242897E-02
  17036.30  1.5492814E-02
  17036.40  1.5749646E-02
  17036.50  1.6013192E-02
  17036.60  1.6283159E-02
  17036.70  1.6559151E-02
  17036.80  1.6840649E-02
  17036.90  1.7127003E-02
  17037.00  1.7417433E-02
  17037.10  1.7711045E-02
  17037.20  1.8006859E-02
  17037.30  1.8303857E-02
  17037.40  1.8601052E-02
  17037.50  1.8897560E-02
  17037.60  1.9192693E-02
  17037.70  1.9486038E-02
  17037.80  1.9777533E-02
  17037.90  2.0067517E-02
  17038.00  2.0356756E-02
  17038.10  2.0646431E-02
  17038.20  2.0938103E-02
  17038.30  2.1233639E-02
  17038.40  2.1535139E-02
  17038.50  2.1844840E-02
  17038.60  2.2165035E-02
  17038.70  2.2497994E-02
  17038.80  2.2845914E-02
  17038.90  2.3210871E-02
  17039.00  2.3594799E-02
  17039.10  2.3999485E-02
  17039.20  2.4426562E-02
  17039.30  2.4877523E-02
  17039.40  2.5353727E-02
  17039.50  2.5856408E-02
  17039.60  2.6386686E-02
  17039.70  2.6945566E-02
  17039.80  2.7533936E-02
  17039.90  2.8152562E-02
  17040.00  2.8802070E-02
  17040.10  2.9482931E-02
  17040.20  3.0195435E-02
  17040.30  3.0939669E-02
  17040.40  3.1715492E-02
  17040.50  3.2522513E-02
  17040.60  3.3360078E-02
  17040.70  3.4227267E-02
  17040.80  3.5122912E-02
  17040.90  3.6045626E-02
  17041.00  3.6993861E-02
  17041.10  3.7965990E-02
  17041.20  3.8960399E-02
  17041.30  3.9975603E-02
  17041.40  4.1010357E-02
  17041.50  4.2063766E-02
  17041.60  4.3135371E-02
  17041.70  4.4225198E-02
  17041.80  4.5333780E-02
  17041.90  4.6462119E-02
  17042.00  4.7611619E-02
  17042.10  4.8783978E-02
  17042.20  4.9981054E-02
  17042.30  5.1204720E-02
  17042.40  5.2456709E-02
  17042.50  5.3738480E-02
  17042.60  5.5051085E-02
  17042.70  5.6395066E-02
  17042.80  5.7770381E-02
  17042.90  5.9176351E-02
  17043.00  6.0611643E-02
  17043.20  6.3561666E-02
  17043.40  6.6597783E-02
  17043.60  6.9690449E-02
  17043.80  7.2807326E-02
  17044.00  7.5918230E-02
  17044.20  7.9000006E-02
  17044.40  8.2040235E-02
  17044.60  8.5038856E-02
  17044.80  8.8007332E-02
  17045.00  9.0965649E-02
  17045.20  9.3937939E-02
  17045.40  9.6947777E-02
  17045.60  1.0001411E-01
  17045.80  1.0314855E-01
  17046.00  1.0635435E-01
  17046.20  1.0962718E-01
  17046.40  1.1295728E-01
  17046.60  1.1633247E-01
  17046.80  1.1974127E-01
  17047.00  1.2317559E-01
  17047.20  1.2663241E-01
  17047.40  1.3011441E-01
  17047.60  1.3362947E-01
  17047.80  1.3718923E-01
  17048.00  1.4080687E-01
  17048.20  1.4449446E-01
  17048.40  1.4826011E-01
  17048.60  1.5210525E-01
  17048.80  1.5602241E-01
  17049.00  1.5999362E-01
  17049.20  1.6398981E-01
  17049.40  1.6797122E-01
  17049.60  1.7188889E-01
  17049.80  1.7568735E-01
  17050.00  1.7930826E-01
  17050.20  1.8269473E-01
  17050.40  1.8579586E-01
  17050.60  1.8857110E-01
  17050.80  1.9099357E-01
  17051.00  1.9305217E-01
  17051.20  1.9475204E-01
  17051.40  1.9611351E-01
  17051.60  1.9716964E-01
  17051.80  1.9796300E-01
  17052.00  1.9854197E-01
  17052.20  1.9895722E-01
  17052.40  1.9925847E-01
  17052.60  1.9949192E-01
  17052.80  1.9969838E-01
  17053.00  1.9991201E-01
  17053.20  2.0015965E-01
  17053.40  2.0046064E-01
  17053.60  2.0082707E-01
  17053.80  2.0126430E-01
  17054.00  2.0177174E-01
  17054.20  2.0234380E-01
  17054.40  2.0297104E-01
  17054.60  2.0364124E-01
  17054.80  2.0434067E-01
  17055.00  2.0505514E-01
  17055.20  2.0577106E-01
  17055.40  2.0647622E-01
  17055.60  2.0716051E-01
  17055.80  2.0781625E-01
  17056.00  2.0843844E-01
  17056.20  2.0902468E-01
  17056.40  2.0957501E-01
  17056.60  2.1009157E-01
  17056.80  2.1057817E-01
  17057.00  2.1103987E-01
  17057.20  2.1148250E-01
  17057.40  2.1191228E-01
  17057.60  2.1233541E-01
  17057.80  2.1275781E-01
  17058.00  2.1318487E-01
  17059.00  2.1552260E-01
  17060.00  2.1829186E-01
  17061.00  2.2118958E-01
  17062.00  2.2352555E-01
  17063.00  2.2451071E-01
  17064.00  2.2359424E-01
  17065.00  2.2066855E-01
  17066.00  2.1604708E-01
  17067.00  2.1029751E-01
  17068.00  2.0404624E-01
  17069.00  1.9782674E-01
  17070.00  1.9201257E-01
  17071.00  1.8682829E-01
  17072.00  1.8239298E-01
  17073.00  1.7875703E-01
  17074.00  1.7592146E-01
  17075.00  1.7384781E-01
  17076.00  1.7246728E-01
  17077.00  1.7169154E-01
  17078.00  1.7142225E-01
  17079.00  1.7155687E-01
  17080.00  1.7199070E-01
  17081.00  1.7261786E-01
  17082.00  1.7333393E-01
  17083.00  1.7404277E-01
  17084.00  1.7466877E-01
  17085.00  1.7517267E-01
  17086.00  1.7556465E-01
  17087.00  1.7590702E-01
  17088.00  1.7630233E-01
  17089.00  1.7687038E-01
  17090.00  1.7772253E-01
  17091.00  1.7894083E-01
  17092.00  1.8056582E-01
  17093.00  1.8259305E-01
  17094.00  1.8497727E-01
  17095.00  1.8764250E-01
  17096.00  1.9049505E-01
  17097.00  1.9343602E-01
  17098.00  1.9637052E-01
  17099.00  1.9921352E-01
  17100.00  2.0189353E-01
  17101.00  2.0435563E-01
  17102.00  2.0656404E-01
  17103.00  2.0850310E-01
  17104.00  2.1017527E-01
  17105.00  2.1159501E-01
  17106.00  2.1277954E-01
  17107.00  2.1373937E-01
  17108.00  2.1447254E-01
  17109.00  2.1496511E-01
  17110.00  2.1519758E-01
  17111.00  2.1515414E-01
  17112.00  2.1483095E-01
  17113.00  2.1424104E-01
  17114.00  2.1341502E-01
  17115.00  2.1239817E-01
  17116.00  2.1124514E-01
  17117.00  2.1001327E-01
  17118.00  2.0875614E-01
  17119.00  2.0751838E-01
  17120.00  2.0633251E-01
  17121.00  2.0521817E-01
  17122.00  2.0418347E-01
  17123.00  2.0322801E-01
  17124.00  2.0234669E-01
  17125.00  2.0153357E-01
  17126.00  2.0078476E-01
  17127.00  2.0009982E-01
  17128.00  1.9948150E-01
  17129.00  1.9893420E-01
  17130.00  1.9846217E-01
  17131.00  1.9806795E-01
  17132.00  1.9775156E-01
  17133.00  1.9751042E-01
  17134.00  1.9733949E-01
  17135.00  1.9723155E-01
  17136.00  1.9717740E-01
  17137.00  1.9716628E-01
  17138.00  1.9718673E-01
