    Energy    <xanes>    
  30451.00  1.0777806E-03
  30451.50  1.0943558E-03
  30452.00  1.1113955E-03
  30452.50  1.1289188E-03
  30453.00  1.1469457E-03
  30453.50  1.1654972E-03
  30454.00  1.1845955E-03
  30454.50  1.2042643E-03
  30455.00  1.2245283E-03
  30455.50  1.2454137E-03
  30456.00  1.2669483E-03
  30456.50  1.2891614E-03
  30457.00  1.3120843E-03
  30457.50  1.3357498E-03
  30458.00  1.3601930E-03
  30458.50  1.3854510E-03
  30459.00  1.4115633E-03
  30459.50  1.4385720E-03
  30460.00  1.4665216E-03
  30460.50  1.4954598E-03
  30461.00  1.5254374E-03
  30461.50  1.5565085E-03
  30462.00  1.5887310E-03
  30462.50  1.6221667E-03
  30463.00  1.6568819E-03
  30463.50  1.6929475E-03
  30464.00  1.7304396E-03
  30464.50  1.7694398E-03
  30465.00  1.8100360E-03
  30465.50  1.8523225E-03
  30466.00  1.8964011E-03
  30466.50  1.9423816E-03
  30467.00  1.9903824E-03
  30467.50  2.0405318E-03
  30468.00  2.0929684E-03
  30468.50  2.1478426E-03
  30469.00  2.2053178E-03
  30469.50  2.2655714E-03
  30470.00  2.3287969E-03
  30470.50  2.3952049E-03
  30471.00  2.4650258E-03
  30471.50  2.5385116E-03
  30472.00  2.6159382E-03
  30472.50  2.6976089E-03
  30473.00  2.7838569E-03
  30473.50  2.8750497E-03
  30474.00  2.9715927E-03
  30474.50  3.0739346E-03
  30475.00  3.1825727E-03
  30475.50  3.2980594E-03
  30476.00  3.4210098E-03
  30476.50  3.5521101E-03
  30477.00  3.6921280E-03
  30477.50  3.8419241E-03
  30478.00  4.0024656E-03
  30478.50  4.1748424E-03
  30479.00  4.3602857E-03
  30479.50  4.5601899E-03
  30480.00  4.7761389E-03
  30480.50  5.0099357E-03
  30481.00  5.2636392E-03
  30481.50  5.5396057E-03
  30482.00  5.8405386E-03
  30482.50  6.1695468E-03
  30483.00  6.5302122E-03
  30483.50  6.9266675E-03
  30484.00  7.3636852E-03
  30484.50  7.8467758E-03
  30485.00  8.3822940E-03
  30485.50  8.9775442E-03
  30486.00  9.6408760E-03
  30486.10  9.7825247E-03
  30486.20  9.9273525E-03
