    Energy    <xanes>    
   9619.00  1.7228362E-03
   9619.50  1.7458194E-03
   9620.00  1.7693789E-03
   9620.50  1.7935363E-03
   9621.00  1.8183142E-03
   9621.50  1.8437366E-03
   9622.00  1.8698283E-03
   9622.50  1.8966159E-03
   9623.00  1.9241270E-03
   9623.50  1.9523908E-03
   9624.00  1.9814381E-03
   9624.50  2.0113015E-03
   9625.00  2.0420151E-03
   9625.50  2.0736151E-03
   9626.00  2.1061399E-03
   9626.50  2.1396299E-03
   9627.00  2.1741279E-03
   9627.50  2.2096793E-03
   9628.00  2.2463322E-03
   9628.50  2.2841377E-03
   9629.00  2.3231500E-03
   9629.50  2.3634267E-03
   9630.00  2.4050292E-03
   9630.50  2.4480227E-03
   9631.00  2.4924770E-03
   9631.50  2.5384661E-03
   9632.00  2.5860696E-03
   9632.50  2.6353723E-03
   9633.00  2.6864649E-03
   9633.50  2.7394448E-03
   9634.00  2.7944164E-03
   9634.50  2.8514919E-03
   9635.00  2.9107919E-03
   9635.50  2.9724465E-03
   9636.00  3.0365956E-03
   9636.50  3.1033907E-03
   9637.00  3.1729955E-03
   9637.50  3.2455872E-03
   9638.00  3.3213581E-03
   9638.50  3.4005173E-03
   9639.00  3.4832923E-03
   9639.50  3.5699312E-03
   9640.00  3.6607050E-03
   9640.50  3.7559104E-03
   9641.00  3.8558729E-03
   9641.50  3.9609501E-03
   9642.00  4.0715363E-03
   9642.50  4.1880665E-03
   9643.00  4.3110226E-03
   9643.50  4.4409395E-03
   9644.00  4.5784124E-03
   9644.50  4.7241059E-03
   9645.00  4.8787641E-03
   9645.50  5.0432233E-03
   9646.00  5.2184263E-03
   9646.50  5.4054404E-03
   9647.00  5.6054783E-03
   9647.50  5.8199248E-03
   9648.00  6.0503679E-03
   9648.50  6.2986388E-03
   9649.00  6.5668607E-03
   9649.50  6.8575112E-03
   9650.00  7.1735013E-03
   9650.50  7.5182782E-03
   9651.00  7.8959597E-03
   9651.50  8.3115148E-03
   9652.00  8.7710089E-03
   9652.50  9.2819483E-03
   9653.00  9.8537748E-03
