    Energy    <xanes>    
   9619.00  3.5799841E-03
   9619.50  3.6298310E-03
   9620.00  3.6809875E-03
   9620.50  3.7335048E-03
   9621.00  3.7874371E-03
   9621.50  3.8428413E-03
   9622.00  3.8997774E-03
   9622.50  3.9583087E-03
   9623.00  4.0185018E-03
   9623.50  4.0804272E-03
   9624.00  4.1441594E-03
   9624.50  4.2097771E-03
   9625.00  4.2773635E-03
   9625.50  4.3470068E-03
   9626.00  4.4188004E-03
   9626.50  4.4928434E-03
   9627.00  4.5692410E-03
   9627.50  4.6481049E-03
   9628.00  4.7295538E-03
   9628.50  4.8137143E-03
   9629.00  4.9007209E-03
   9629.50  4.9907172E-03
   9630.00  5.0838563E-03
   9630.50  5.1803020E-03
   9631.00  5.2802292E-03
   9631.50  5.3838253E-03
   9632.00  5.4912909E-03
   9632.50  5.6028416E-03
   9633.00  5.7187086E-03
   9633.50  5.8391407E-03
   9634.00  5.9644060E-03
   9634.50  6.0947931E-03
   9635.00  6.2306140E-03
   9635.50  6.3722057E-03
   9636.00  6.5199332E-03
   9636.50  6.6741923E-03
   9637.00  6.8354126E-03
   9637.50  7.0040615E-03
   9638.00  7.1806481E-03
   9638.50  7.3657282E-03
   9639.00  7.5599091E-03
   9639.50  7.7638562E-03
   9640.00  7.9782999E-03
   9640.50  8.2040432E-03
   9641.00  8.4419710E-03
   9641.50  8.6930607E-03
   9642.00  8.9583946E-03
   9642.50  9.2391735E-03
   9643.00  9.5367336E-03
   9643.50  9.8525655E-03
   9644.00  1.0188337E-02
   9644.50  1.0545920E-02
   9645.00  1.0927421E-02
   9645.50  1.1335220E-02
   9646.00  1.1772016E-02
   9646.50  1.2240878E-02
   9647.00  1.2745314E-02
   9647.50  1.3289350E-02
   9648.00  1.3877629E-02
   9648.50  1.4515530E-02
   9649.00  1.5209324E-02
   9649.50  1.5966362E-02
   9650.00  1.6795323E-02
   9650.50  1.7706527E-02
   9651.00  1.8712351E-02
   9651.50  1.9827782E-02
   9652.00  2.1071163E-02
   9652.50  2.2465247E-02
   9653.00  2.4038691E-02
   9653.50  2.5828295E-02
   9654.00  2.7882485E-02
   9654.10  2.8330464E-02
   9654.20  2.8792207E-02
   9654.30  2.9268390E-02
   9654.40  2.9759743E-02
   9654.50  3.0267053E-02
   9654.60  3.0791169E-02
   9654.70  3.1333011E-02
   9654.80  3.1893578E-02
   9654.90  3.2473958E-02
   9655.00  3.3075341E-02
   9655.10  3.3699029E-02
   9655.20  3.4346455E-02
   9655.30  3.5019200E-02
   9655.40  3.5719016E-02
   9655.50  3.6447848E-02
   9655.60  3.7207868E-02
   9655.70  3.8001509E-02
   9655.80  3.8831499E-02
   9655.90  3.9700915E-02
   9656.00  4.0613225E-02
   9656.10  4.1572346E-02
   9656.20  4.2582688E-02
   9656.30  4.3649204E-02
   9656.40  4.4777405E-02
   9656.50  4.5973363E-02
   9656.60  4.7243661E-02
   9656.70  4.8595329E-02
   9656.80  5.0035778E-02
   9656.90  5.1572822E-02
   9657.00  5.3214846E-02
   9657.10  5.4974076E-02
   9657.20  5.6864071E-02
   9657.30  5.8896546E-02
   9657.40  6.1083424E-02
   9657.50  6.3434995E-02
   9657.60  6.5956806E-02
   9657.70  6.8645181E-02
   9657.80  7.1481575E-02
   9657.90  7.4426785E-02
   9658.00  7.7417356E-02
   9658.10  8.0367849E-02
   9658.20  8.3182486E-02
   9658.30  8.5776409E-02
   9658.40  8.8100638E-02
   9658.50  9.0159926E-02
   9658.60  9.2014445E-02
   9658.70  9.3764834E-02
   9658.80  9.5528847E-02
   9658.90  9.7420005E-02
   9659.00  9.9534407E-02
   9659.10  1.0194618E-01
   9659.20  1.0470887E-01
   9659.30  1.0785939E-01
   9659.40  1.1142225E-01
   9659.50  1.1541264E-01
   9659.60  1.1983810E-01
   9659.70  1.2469921E-01
   9659.80  1.2999019E-01
   9659.90  1.3570058E-01
   9660.00  1.4181879E-01
   9660.10  1.4833760E-01
   9660.20  1.5526039E-01
   9660.30  1.6260668E-01
   9660.40  1.7041603E-01
   9660.50  1.7875017E-01
   9660.60  1.8769363E-01
   9660.70  1.9735261E-01
   9660.80  2.0785183E-01
   9660.90  2.1932943E-01
   9661.00  2.3193084E-01
   9661.10  2.4580226E-01
   9661.20  2.6108456E-01
   9661.30  2.7790726E-01
   9661.40  2.9638291E-01
   9661.50  3.1660247E-01
   9661.60  3.3863338E-01
   9661.70  3.6252292E-01
   9661.80  3.8830919E-01
   9661.90  4.1604001E-01
   9662.00  4.4579558E-01
   9662.10  4.7770702E-01
   9662.20  5.1196085E-01
   9662.30  5.4878184E-01
   9662.40  5.8839238E-01
   9662.50  6.3095138E-01
   9662.60  6.7647911E-01
   9662.70  7.2477571E-01
   9662.80  7.7534396E-01
   9662.90  8.2733144E-01
   9663.00  8.7951306E-01
   9663.10  9.3033716E-01
   9663.20  9.7805175E-01
