    Energy    <xanes>    
   9619.00  5.7499440E-04
   9619.50  5.8293822E-04
   9620.00  5.9108617E-04
   9620.50  5.9944605E-04
   9621.00  6.0802604E-04
   9621.50  6.1683475E-04
   9622.00  6.2588125E-04
   9622.50  6.3517509E-04
   9623.00  6.4472629E-04
   9623.50  6.5454547E-04
   9624.00  6.6464380E-04
   9624.50  6.7503307E-04
   9625.00  6.8572574E-04
   9625.50  6.9673497E-04
   9626.00  7.0807471E-04
   9626.50  7.1975970E-04
   9627.00  7.3180556E-04
   9627.50  7.4422885E-04
   9628.00  7.5704717E-04
   9628.50  7.7027918E-04
   9629.00  7.8394472E-04
   9629.50  7.9806491E-04
   9630.00  8.1266223E-04
   9630.50  8.2776065E-04
   9631.00  8.4338575E-04
   9631.50  8.5956482E-04
   9632.00  8.7632707E-04
   9632.50  8.9370374E-04
   9633.00  9.1172832E-04
   9633.50  9.3043671E-04
   9634.00  9.4986747E-04
   9634.50  9.7006208E-04
   9635.00  9.9106517E-04
   9635.50  1.0129249E-03
   9636.00  1.0356931E-03
   9636.50  1.0594260E-03
   9637.00  1.0841843E-03
   9637.50  1.1100340E-03
   9638.00  1.1370465E-03
   9638.50  1.1652997E-03
   9639.00  1.1948782E-03
   9639.50  1.2258746E-03
   9640.00  1.2583900E-03
   9640.50  1.2925352E-03
   9641.00  1.3284316E-03
   9641.50  1.3662130E-03
   9642.00  1.4060267E-03
   9642.50  1.4480356E-03
   9643.00  1.4924201E-03
   9643.50  1.5393803E-03
   9644.00  1.5891391E-03
   9644.50  1.6419456E-03
   9645.00  1.6980784E-03
   9645.50  1.7578507E-03
   9646.00  1.8216156E-03
   9646.50  1.8897727E-03
   9647.00  1.9627757E-03
   9647.50  2.0411426E-03
   9648.00  2.1254669E-03
   9648.50  2.2164324E-03
   9649.00  2.3148312E-03
   9649.50  2.4215869E-03
   9650.00  2.5377836E-03
   9650.50  2.6647040E-03
   9651.00  2.8038800E-03
   9651.50  2.9571603E-03
   9652.00  3.1268050E-03
   9652.50  3.3156196E-03
   9653.00  3.5271547E-03
   9653.50  3.7660152E-03
   9654.00  4.0383651E-03
   9654.10  4.0975534E-03
   9654.20  4.1584971E-03
   9654.30  4.2212872E-03
   9654.40  4.2860224E-03
   9654.50  4.3528101E-03
   9654.60  4.4217673E-03
   9654.70  4.4930224E-03
   9654.80  4.5667161E-03
   9654.90  4.6430036E-03
   9655.00  4.7220565E-03
   9655.10  4.8040654E-03
   9655.20  4.8892427E-03
   9655.30  4.9778260E-03
   9655.40  5.0700825E-03
   9655.50  5.1663137E-03
   9655.60  5.2668617E-03
   9655.70  5.3721157E-03
   9655.80  5.4825211E-03
   9655.90  5.5985895E-03
   9656.00  5.7209107E-03
   9656.10  5.8501669E-03
   9656.20  5.9871499E-03
   9656.30  6.1327794E-03
   9656.40  6.2881240E-03
   9656.50  6.4544226E-03
   9656.60  6.6331024E-03
   9656.70  6.8257900E-03
   9656.80  7.0343028E-03
   9656.90  7.2606059E-03
   9657.00  7.5067041E-03
   9657.10  7.7744307E-03
   9657.20  8.0650776E-03
   9657.30  8.3788173E-03
   9657.40  8.7138990E-03
   9657.50  9.0657122E-03
   9657.60  9.4260076E-03
   9657.70  9.7827970E-03
   9657.80  1.0121642E-02
   9657.90  1.0428695E-02
   9658.00  1.0693680E-02
   9658.10  1.0913670E-02
   9658.20  1.1094425E-02
   9658.30  1.1248896E-02
   9658.40  1.1393781E-02
   9658.50  1.1545774E-02
   9658.60  1.1718829E-02
   9658.70  1.1922847E-02
   9658.80  1.2163433E-02
   9658.90  1.2442144E-02
   9659.00  1.2756806E-02
   9659.10  1.3101776E-02
   9659.20  1.3468316E-02
   9659.30  1.3845365E-02
   9659.40  1.4221000E-02
   9659.50  1.4584563E-02
   9659.60  1.4929005E-02
   9659.70  1.5252618E-02
   9659.80  1.5559469E-02
   9659.90  1.5858350E-02
   9660.00  1.6160799E-02
   9660.10  1.6479003E-02
   9660.20  1.6824226E-02
   9660.30  1.7206012E-02
   9660.40  1.7632044E-02
   9660.50  1.8108416E-02
   9660.60  1.8640078E-02
   9660.70  1.9231306E-02
   9660.80  1.9886102E-02
   9660.90  2.0608529E-02
   9661.00  2.1402957E-02
   9661.10  2.2274247E-02
   9661.20  2.3227902E-02
   9661.30  2.4270171E-02
   9661.40  2.5408144E-02
   9661.50  2.6649834E-02
   9661.60  2.8004250E-02
   9661.70  2.9481485E-02
   9661.80  3.1092810E-02
   9661.90  3.2850777E-02
   9662.00  3.4769346E-02
   9662.10  3.6864013E-02
   9662.20  3.9151950E-02
   9662.30  4.1652126E-02
   9662.40  4.4385393E-02
   9662.50  4.7374494E-02
   9662.60  5.0643935E-02
   9662.70  5.4219662E-02
   9662.80  5.8128472E-02
   9662.90  6.2397105E-02
   9663.00  6.7050957E-02
   9663.10  7.2112404E-02
   9663.20  7.7598734E-02
   9663.30  8.3519767E-02
   9663.40  8.9875331E-02
   9663.50  9.6652881E-02
   9663.60  1.0382566E-01
   9663.70  1.1135185E-01
   9663.80  1.1917494E-01
   9663.90  1.2722542E-01
   9664.00  1.3542337E-01
   9664.20  1.5190623E-01
   9664.40  1.6786789E-01
   9664.60  1.8250642E-01
   9664.80  1.9503572E-01
   9665.00  2.0482164E-01
   9665.20  2.1152983E-01
   9665.40  2.1517141E-01
   9665.60  2.1603144E-01
   9665.80  2.1456184E-01
   9666.00  2.1130802E-01
   9666.20  2.0687076E-01
   9666.40  2.0186153E-01
   9666.60  1.9681627E-01
   9666.80  1.9208141E-01
   9667.00  1.8773158E-01
   9667.20  1.8357561E-01
   9667.40  1.7926006E-01
   9667.60  1.7442605E-01
   9667.80  1.6884588E-01
   9668.00  1.6248281E-01
   9668.20  1.5546859E-01
   9668.40  1.4803637E-01
   9668.60  1.4045102E-01
   9668.80  1.3295841E-01
   9669.00  1.2575730E-01
   9669.20  1.1898983E-01
   9669.40  1.1274492E-01
   9669.60  1.0706851E-01
   9669.80  1.0197552E-01
   9670.00  9.7460426E-02
   9670.20  9.3505500E-02
   9670.40  9.0086160E-02
   9670.60  8.7173842E-02
   9670.80  8.4736901E-02
   9671.00  8.2740635E-02
   9671.20  8.1147529E-02
   9671.40  7.9918350E-02
   9671.60  7.9014060E-02
   9671.80  7.8397956E-02
   9672.00  7.8037321E-02
   9672.20  7.7904008E-02
   9672.40  7.7973795E-02
   9672.60  7.8224790E-02
   9672.80  7.8635439E-02
   9673.00  7.9182781E-02
   9673.20  7.9841411E-02
   9673.40  8.0583409E-02
   9673.60  8.1379152E-02
   9673.80  8.2198799E-02
   9674.00  8.3014076E-02
   9674.20  8.3800010E-02
   9674.40  8.4536295E-02
   9674.60  8.5208086E-02
   9674.80  8.5806143E-02
   9675.00  8.6326376E-02
   9675.20  8.6768952E-02
   9675.40  8.7137158E-02
   9675.60  8.7436247E-02
   9675.80  8.7672389E-02
   9676.00  8.7851847E-02
   9676.20  8.7980376E-02
   9676.40  8.8062861E-02
   9676.60  8.8103135E-02
   9676.80  8.8103963E-02
   9677.00  8.8067146E-02
   9677.20  8.7993708E-02
   9677.40  8.7884139E-02
   9677.60  8.7738656E-02
   9677.80  8.7557461E-02
   9678.00  8.7340962E-02
   9678.20  8.7089955E-02
   9678.40  8.6805737E-02
   9678.60  8.6490164E-02
   9678.80  8.6145654E-02
   9679.00  8.5775129E-02
   9680.00  8.3657147E-02
   9681.00  8.1431534E-02
   9682.00  7.9446905E-02
   9683.00  7.7885196E-02
   9684.00  7.6825676E-02
   9685.00  7.6299156E-02
   9686.00  7.6308951E-02
   9687.00  7.6838121E-02
   9688.00  7.7845524E-02
   9689.00  7.9257954E-02
   9690.00  8.0971013E-02
   9691.00  8.2857607E-02
   9692.00  8.4772334E-02
   9693.00  8.6553201E-02
   9694.00  8.8037603E-02
   9695.00  8.9099803E-02
   9696.00  8.9689866E-02
   9697.00  8.9844403E-02
   9698.00  8.9662019E-02
   9699.00  8.9262411E-02
   9700.00  8.8752919E-02
   9701.00  8.8214524E-02
   9702.00  8.7704355E-02
   9703.00  8.7263367E-02
   9704.00  8.6920838E-02
   9705.00  8.6696427E-02
   9706.00  8.6604270E-02
   9707.00  8.6658987E-02
   9708.00  8.6878589E-02
   9709.00  8.7280637E-02
   9710.00  8.7873721E-02
   9711.00  8.8650041E-02
   9712.00  8.9583656E-02
   9713.00  9.0634603E-02
   9714.00  9.1755633E-02
   9715.00  9.2897976E-02
   9716.00  9.4014781E-02
   9717.00  9.5063227E-02
   9718.00  9.6006876E-02
   9719.00  9.6818438E-02
   9720.00  9.7481536E-02
   9721.00  9.7989676E-02
   9722.00  9.8341897E-02
   9723.00  9.8536764E-02
   9724.00  9.8567884E-02
   9725.00  9.8423748E-02
   9726.00  9.8092556E-02
   9727.00  9.7569981E-02
   9728.00  9.6866121E-02
   9729.00  9.6008073E-02
   9730.00  9.5036667E-02
   9731.00  9.3998756E-02
   9732.00  9.2938383E-02
   9733.00  9.1890225E-02
   9734.00  9.0877181E-02
   9735.00  8.9911861E-02
   9736.00  8.9000299E-02
   9737.00  8.8145889E-02
   9738.00  8.7352200E-02
   9739.00  8.6624179E-02
   9740.00  8.5967964E-02
   9741.00  8.5389844E-02
   9742.00  8.4895005E-02
   9743.00  8.4486464E-02
   9744.00  8.4164121E-02
   9745.00  8.3923599E-02
   9746.00  8.3754795E-02
   9747.00  8.3640772E-02
   9748.00  8.3558050E-02
   9749.00  8.3479117E-02
   9750.00  8.3376995E-02
   9751.00  8.3230643E-02
   9752.00  8.3029390E-02
   9753.00  8.2774790E-02
   9754.00  8.2479206E-02
   9755.00  8.2161683E-02
   9756.00  8.1842662E-02
   9757.00  8.1539354E-02
   9758.00  8.1263091E-02
   9759.00  8.1018962E-02
